update,timesteps,violation_g1_util,violation_g2_class,violation_g3_geom,lambda_g1_util,lambda_g2_class,lambda_g3_geom
1,2048,2.4009239881229325,0.025788155297533158,0.055926722460844125,12.004619940614663,0.12894077648766578,0.11185344492168825
2,4096,1.9667557557835165,0.03290723325531438,0.058349609375,21.838398719532243,0.2934769427642377,0.22855266367168825
3,6144,2.475679538010323,0.016294035917340372,0.04203856779996901,34.21679640958386,0.3749471223509395,0.31262979927162626
4,8192,1.9157251198620822,0.022147524387624663,0.053925884127274615,43.79542200889426,0.48568474428906283,0.4204815675261755
5,10240,1.7972271519585712,0.026608778515621583,0.06535343874013866,52.78155776868712,0.6187286368671707,0.5511884450064528
6,12288,0.1888340705426816,0.0,0.0,53.72572812140053,0.6187286368671707,0.5511884450064528
7,14336,0.2091210969465354,0.0,0.0,54.771333606133204,0.6187286368671707,0.5511884450064528
8,16384,0.24476229473460587,0.0,0.0,55.995145079806235,0.6187286368671707,0.5511884450064528
9,18432,0.14768456208926772,0.0,0.0,56.73356789025257,0.6187286368671707,0.5511884450064528
10,20480,0.12514303940665522,0.0,0.0,57.359283087285846,0.6187286368671707,0.5511884450064528
11,22528,0.13257669171134842,0.0,0.0,58.02216654584259,0.6187286368671707,0.5511884450064528
12,24576,0.13874115589532499,0.0,0.0,58.71587232531921,0.6187286368671707,0.5511884450064528
13,26624,0.1143174399761164,0.0,0.0,59.28745952519979,0.6187286368671707,0.5511884450064528
14,28672,0.15967200875857024,0.0,0.0,60.08581956899265,0.6187286368671707,0.5511884450064528
15,30720,0.14014451167032682,0.0,0.0,60.78654212734428,0.6187286368671707,0.5511884450064528
16,32768,0.23046051772280562,0.0,0.0,61.93884471595831,0.6187286368671707,0.5511884450064528
17,34816,0.1463203212303463,0.0,0.0,62.670446322110045,0.6187286368671707,0.5511884450064528
18,36864,0.2706916935098205,0.0,0.0,64.02390478965914,0.6187286368671707,0.5511884450064528
19,38912,0.1608525472208095,0.0,0.0,64.82816752576319,0.6187286368671707,0.5511884450064528
20,40960,0.06796017728708081,6.360115184473312e-05,0.000244140625,65.16796841219859,0.6190466426263944,0.5516767262564528
21,43008,0.07552739019460498,0.0001480321460768922,0.00048828125,65.54560536317162,0.6197868033567788,0.5526532887564528
22,45056,0.05351005825451009,0.0,0.0,65.81315565444417,0.6197868033567788,0.5526532887564528
23,47104,0.08420895746544398,0.0,0.0,66.23420044177139,0.6197868033567788,0.5526532887564528
24,49152,0.06678707451534004,2.5355690764667705e-05,0.000244140625,66.5681358143481,0.6199135818106022,0.5531415700064528
25,51200,0.09557122500137766,0.004189085448284611,0.013427734375,67.04599193935499,0.6408590090520252,0.5799970387564528
26,53248,0.05920882469504414,0.0,0.0,67.34203606283022,0.6408590090520252,0.5799970387564528
27,55296,0.12152908815394595,0.0036471013353497504,0.017333984375,67.94968150359995,0.659094515728774,0.6146650075064528
