model,N,topk,mode,n_runs,n_label_sets,feasibility_rate,gap_mean,gap_median,gap_p90,gap_worst,labelset_sd,frac_gap_le_5pct,mean_n_total,mean_n_repair,label_evals
poly3,50,3,scale+thin,426,3,1.0,0.07455389622786435,0.0339380957399092,0.14374583300767435,0.9313983771722132,0.009656808585915503,0.5938967136150235,76.23474178403755,64.47417840375587,240000.0
gp,100,1,scale+thin,426,3,0.9929577464788732,0.037922240030643865,0.0197253309344038,0.08957420209017689,0.7036085758118353,0.006154245581264472,0.7488262910798122,66.0469483568075,61.502347417840376,480000.0
gp,100,2,scale+thin,426,3,1.0,0.04158060097249988,0.01905196097614955,0.10380236381668201,0.8927272467724188,0.0038950518501399563,0.755868544600939,72.07511737089202,62.52582159624413,480000.0
gp,100,3,scale+thin,426,3,1.0,0.05144549267515984,0.0219231058007386,0.13677104838780962,0.8927272467724188,0.005998175656173889,0.7206572769953051,76.60798122065728,62.617370892018776,480000.0
knn,100,1,scale+thin,426,3,0.9929577464788732,0.006227574711211119,-0.0013887110827572,0.03199414344514434,0.7203463366841241,0.0019597287620992322,0.9553990610328639,64.1924882629108,60.58450704225352,480000.0
knn,100,2,scale+thin,426,3,1.0,0.007678437346750595,-0.00139787234155285,0.03025110354997505,0.9077472025353156,0.0031205551590799663,0.9624413145539906,69.27934272300469,61.30046948356807,480000.0
knn,100,3,scale+thin,426,3,1.0,0.007935962970310705,-0.00139787234155285,0.03143530510065555,0.9077472025353156,0.0031335194829379596,0.9553990610328639,73.04460093896714,61.28403755868545,480000.0
mlp,100,1,scale+thin,426,3,0.9929577464788732,0.0524693944042409,0.0274602851939707,0.13427851441443364,0.7329925142680749,0.00467444085182583,0.6150234741784038,65.6924882629108,61.90845070422535,480000.0
mlp,100,2,scale+thin,426,3,1.0,0.05343278821125101,0.024775881850237,0.13762539439478233,0.9083918485500522,0.005920839252010944,0.6291079812206573,70.72065727699531,62.71596244131455,480000.0
mlp,100,3,scale+thin,426,3,1.0,0.05366328696876274,0.02548014062514785,0.13869331174364058,0.9083918485500522,0.005399356379717975,0.6220657276995305,74.2018779342723,62.69718309859155,480000.0
