label_set,j,span_m,load_kNm,n_evals,feasible,economy,h,b,tf,tw,fy,section_type
0,0,10.692471641775565,58.97977017713763,4800,1,1596.2800174020242,525.6843896402305,271.6619253080046,16.007931937596943,8.038605445819247,355.0,rolled
0,1,11.434576623056966,94.52176384269806,4800,1,2599.4192869277554,585.9452440269773,293.45592584514293,19.904594174526714,10.12291026896074,460.0,rolled
0,2,10.238476175900285,81.1937247804857,4800,1,1737.1553896055318,570.5542262382668,285.36286344777307,16.992052751776953,8.753913361790502,355.0,rolled
0,3,7.8292314829021095,109.12020417753016,4800,1,1102.2821330145923,514.6314096775184,260.51744480924566,15.591865331456873,7.903414762316671,355.0,rolled
0,4,10.758831230580473,68.66165167888536,4800,1,1767.4007921473828,562.4681702289154,282.12933204762714,16.60604672377893,8.629236396951239,355.0,rolled
0,5,7.719326520727099,35.33239658700026,4800,1,546.5350300420541,365.8501932441036,183.12348575698852,10.755145597505486,6.0050153337878545,355.0,rolled
0,6,8.533910387776665,137.70385288326213,4800,1,1584.3359079105696,665.2197554901757,280.67721831770785,16.43347655363661,10.319954610693593,355.0,rolled
0,7,12.783133969724346,114.60651061628398,4800,1,4377.211606665034,749.0143083002984,299.62276186345036,30.757452274302572,15.447300871373612,355.0,rolled
0,8,10.965045990580927,94.08268674034737,4800,1,2323.2765152824377,712.6926967200347,299.2097512359848,17.519847284886318,11.055629790567725,355.0,rolled
0,9,13.773498681375496,101.31421538535946,4800,1,4894.1520491178535,749.7193661823585,299.82856098991704,28.426212815717353,14.224232084839088,460.0,rolled
0,10,13.248349988153295,129.85114547823684,4800,1,5334.560665741047,749.7190860814834,299.6204129600759,32.358333088859226,16.195740741386384,460.0,rolled
0,11,8.23535396885525,32.559052275695194,4800,1,607.6933910196642,374.38481851495357,187.45472745107264,11.060991938452101,6.000076677864473,355.0,rolled
0,12,7.708716708733863,25.15435992309913,4800,1,463.53726135419845,330.15883788290216,165.86429976502916,9.758121968301673,6.002285634461432,355.0,rolled
0,13,14.85596023702955,89.98764553761207,4800,1,5738.631174666084,749.0611414486409,299.6436097392014,31.017103866267444,15.511439021937328,460.0,rolled
0,14,12.02997449351609,115.21256368835809,4800,1,3549.5915234698255,731.3925552941099,299.962324319901,22.69153823875517,12.71910160173257,460.0,rolled
0,15,8.523445469809095,38.79363922431175,4800,1,722.3586705559756,403.4896096491678,202.5813330438694,11.950670866670166,6.18634272908496,355.0,rolled
0,16,7.835219108467811,110.21006115989273,4800,1,1117.7059223663634,516.3849785901228,262.5610435099066,15.463767834241017,8.203211606193754,355.0,rolled
0,17,11.625582169072088,21.44827588400563,4800,1,1116.2445896951485,422.3249539046843,217.33479317555827,12.831923327692188,6.475179363240813,355.0,rolled
0,18,11.873438842758503,62.54236582825395,4800,1,2127.962473232408,582.9697961861596,294.2719275005108,17.50221766984134,8.95017955553078,355.0,rolled
0,19,14.089267758736185,43.791954253949285,4800,1,2635.062742070457,597.5292016410319,299.7606497194414,17.883261705806458,9.160573912341587,355.0,rolled
0,20,14.772874026364503,125.41103808136006,4800,1,14621.829504486233,749.7603532117525,299.95595927188003,34.99751979489214,18.06070557805411,690.0,rolled
0,21,7.385391325519841,99.79560663677351,4800,1,902.2194259438647,485.7349954520216,242.98055674092984,14.32236002322524,7.447715024710099,355.0,rolled
0,22,12.291803478330941,114.96433778117398,4800,1,3765.7560668045408,749.8817561008873,299.48314254641537,23.432395841492852,13.028127676328126,460.0,rolled
0,23,10.025173022019187,102.73113456512422,4800,1,1975.3300162848186,545.6544217069953,275.4576831112514,18.352108461068056,9.444658690212954,460.0,rolled
0,24,6.157618881941441,90.16754704597784,4800,1,562.1115814722306,470.75318516652777,195.22722042679777,11.43427920590295,7.3240192968341224,355.0,rolled
0,25,8.619224150347288,87.68102440333264,4800,1,1204.1989300308862,518.5477091386102,259.64328766014626,15.36251526391548,7.944766389424668,355.0,rolled
0,26,9.431129498377919,82.17677131314247,4800,1,1434.5074020786715,541.963422779182,271.2605989082224,15.969084163033006,8.315313342495749,355.0,rolled
0,27,8.889251209248313,102.7124497344222,4800,1,1436.376133055526,552.4678274205392,277.63243169538214,16.766397741523924,8.477513760683665,355.0,rolled
0,28,14.48290201210416,135.72319581249184,4800,1,15127.835992844693,749.707291237399,299.98687487985495,34.99698366603907,20.465045719996322,690.0,rolled
0,29,12.324002752816133,86.13044562772583,4800,1,3003.179107103878,743.2838405057478,299.8768421989639,21.09708078282777,11.44136277455607,355.0,rolled
0,30,7.2280528678221225,89.59413281510516,4800,1,812.9369369401522,455.38536012285186,230.2330441884459,14.137434345533924,7.0993708047629696,355.0,rolled
0,31,9.088881661193163,24.7894647102828,4800,1,666.897203449975,370.7345103364863,187.16355780541898,11.029744183606283,6.012675485554116,355.0,rolled
0,32,13.307951423360734,75.83713044321453,4800,1,3599.7697039574496,659.0473443760136,299.93490128688626,22.466210526965575,11.401927124163882,460.0,rolled
