label_set,N,model,topk,context_idx,span_m,load_kNm,gt_economy,mode,feasible,gap,n_dec,n_repair,n_total
0,50,knn,1,0,6.0,20.0,241.3288087904857,none,1,0.003107977162652542,10,0,10
0,50,knn,1,0,6.0,20.0,241.3288087904857,scale,1,-1.94496650153253e-05,10,18,28
0,50,knn,1,0,6.0,20.0,241.3288087904857,scale+thin,1,-1.94496650153253e-05,10,18,28
0,50,knn,2,0,6.0,20.0,241.3288087904857,none,1,0.003107977162652542,16,0,16
0,50,knn,2,0,6.0,20.0,241.3288087904857,scale,1,-1.94496650153253e-05,16,18,34
0,50,knn,2,0,6.0,20.0,241.3288087904857,scale+thin,1,-1.94496650153253e-05,16,18,34
0,50,knn,3,0,6.0,20.0,241.3288087904857,none,1,0.003107977162652542,26,0,26
0,50,knn,3,0,6.0,20.0,241.3288087904857,scale,1,-1.94496650153253e-05,26,18,44
0,50,knn,3,0,6.0,20.0,241.3288087904857,scale+thin,1,-1.94496650153253e-05,26,18,44
0,50,knn,1,4,6.0,63.63636363636363,431.68145507497405,none,1,0.026603674559380286,3,0,3
0,50,knn,1,4,6.0,63.63636363636363,431.68145507497405,scale,1,0.025100411296100855,3,18,21
0,50,knn,1,4,6.0,63.63636363636363,431.68145507497405,scale+thin,1,0.0036077999023580443,3,73,76
0,50,knn,2,4,6.0,63.63636363636363,431.68145507497405,none,1,0.026603674559380286,6,0,6
0,50,knn,2,4,6.0,63.63636363636363,431.68145507497405,scale,1,0.025100411296100855,6,18,24
0,50,knn,2,4,6.0,63.63636363636363,431.68145507497405,scale+thin,1,0.0036077999023580443,6,73,79
0,50,knn,3,4,6.0,63.63636363636363,431.68145507497405,none,1,0.026603674559380286,9,0,9
0,50,knn,3,4,6.0,63.63636363636363,431.68145507497405,scale,1,0.025100411296100855,9,18,27
0,50,knn,3,4,6.0,63.63636363636363,431.68145507497405,scale+thin,1,0.0036077999023580443,9,73,82
0,50,knn,1,3,6.0,52.72727272727273,386.25765574493386,none,1,-0.006996323284734429,2,0,2
0,50,knn,1,3,6.0,52.72727272727273,386.25765574493386,scale,1,-0.00774298696712139,2,18,20
0,50,knn,1,3,6.0,52.72727272727273,386.25765574493386,scale+thin,1,-0.008282826209545346,2,55,57
0,50,knn,2,3,6.0,52.72727272727273,386.25765574493386,none,1,-0.006996323284734429,7,0,7
0,50,knn,2,3,6.0,52.72727272727273,386.25765574493386,scale,1,-0.00774298696712139,7,18,25
0,50,knn,2,3,6.0,52.72727272727273,386.25765574493386,scale+thin,1,-0.008282826209545346,7,55,62
0,50,knn,3,3,6.0,52.72727272727273,386.25765574493386,none,1,-0.006996323284734429,10,0,10
0,50,knn,3,3,6.0,52.72727272727273,386.25765574493386,scale,1,-0.00774298696712139,10,18,28
0,50,knn,3,3,6.0,52.72727272727273,386.25765574493386,scale+thin,1,-0.008282826209545346,10,55,65
0,50,knn,1,5,6.0,74.54545454545453,466.9500019446189,none,1,0.02327169684561503,3,0,3
0,50,knn,1,5,6.0,74.54545454545453,466.9500019446189,scale,1,0.021656297589354168,3,18,21
0,50,knn,1,5,6.0,74.54545454545453,466.9500019446189,scale+thin,1,0.021656297589354168,3,55,58
0,50,knn,2,5,6.0,74.54545454545453,466.9500019446189,none,1,0.02327169684561503,8,0,8
0,50,knn,2,5,6.0,74.54545454545453,466.9500019446189,scale,1,0.021656297589354168,8,18,26
0,50,knn,2,5,6.0,74.54545454545453,466.9500019446189,scale+thin,1,0.021656297589354168,8,55,63
0,50,knn,3,5,6.0,74.54545454545453,466.9500019446189,none,1,0.02327169684561503,11,0,11
0,50,knn,3,5,6.0,74.54545454545453,466.9500019446189,scale,1,0.021656297589354168,11,18,29
0,50,knn,3,5,6.0,74.54545454545453,466.9500019446189,scale+thin,1,0.021656297589354168,11,55,66
0,50,knn,1,2,6.0,41.81818181818181,342.2853688824266,none,1,-0.0059792559185579686,4,0,4
0,50,knn,1,2,6.0,41.81818181818181,342.2853688824266,scale,1,-0.007236469786526589,4,18,22
0,50,knn,1,2,6.0,41.81818181818181,342.2853688824266,scale+thin,1,-0.007664075656720781,4,53,57
0,50,knn,2,2,6.0,41.81818181818181,342.2853688824266,none,1,-0.0059792559185579686,9,0,9
0,50,knn,2,2,6.0,41.81818181818181,342.2853688824266,scale,1,-0.007236469786526589,9,18,27
0,50,knn,2,2,6.0,41.81818181818181,342.2853688824266,scale+thin,1,-0.007664075656720781,9,53,62
0,50,knn,3,2,6.0,41.81818181818181,342.2853688824266,none,1,-0.0059792559185579686,12,0,12
0,50,knn,3,2,6.0,41.81818181818181,342.2853688824266,scale,1,-0.007236469786526589,12,18,30
0,50,knn,3,2,6.0,41.81818181818181,342.2853688824266,scale+thin,1,-0.007664075656720781,12,53,65
0,50,knn,1,1,6.0,30.909090909090907,292.67799548197263,none,1,-0.00027639108885568753,4,0,4
0,50,knn,1,1,6.0,30.909090909090907,292.67799548197263,scale,1,-0.001505216848211699,4,18,22
0,50,knn,1,1,6.0,30.909090909090907,292.67799548197263,scale+thin,1,-0.002317770016025289,4,54,58
0,50,knn,2,1,6.0,30.909090909090907,292.67799548197263,none,1,-0.00027639108885568753,9,0,9
0,50,knn,2,1,6.0,30.909090909090907,292.67799548197263,scale,1,-0.001505216848211699,9,18,27
0,50,knn,2,1,6.0,30.909090909090907,292.67799548197263,scale+thin,1,-0.002317770016025289,9,54,63
0,50,knn,3,1,6.0,30.909090909090907,292.67799548197263,none,1,-0.00027639108885568753,14,0,14
0,50,knn,3,1,6.0,30.909090909090907,292.67799548197263,scale,1,-0.001505216848211699,14,18,32
0,50,knn,3,1,6.0,30.909090909090907,292.67799548197263,scale+thin,1,-0.002317770016025289,14,54,68
0,50,knn,1,7,6.0,96.36363636363636,549.7256874002802,none,1,0.001767305283041809,3,0,3
0,50,knn,1,7,6.0,96.36363636363636,549.7256874002802,scale,1,0.00027749838743296174,3,18,21
0,50,knn,1,7,6.0,96.36363636363636,549.7256874002802,scale+thin,1,0.00027749838743296174,3,55,58
0,50,knn,2,7,6.0,96.36363636363636,549.7256874002802,none,1,0.001767305283041809,6,0,6
0,50,knn,2,7,6.0,96.36363636363636,549.7256874002802,scale,1,0.00027749838743296174,6,18,24
0,50,knn,2,7,6.0,96.36363636363636,549.7256874002802,scale+thin,1,0.00027749838743296174,6,55,61
0,50,knn,3,7,6.0,96.36363636363636,549.7256874002802,none,1,0.001767305283041809,11,0,11
0,50,knn,3,7,6.0,96.36363636363636,549.7256874002802,scale,1,0.00027749838743296174,11,18,29
0,50,knn,3,7,6.0,96.36363636363636,549.7256874002802,scale+thin,1,0.00027749838743296174,11,55,66
0,50,knn,1,6,6.0,85.45454545454545,518.2473353887603,none,1,-0.010131048152914768,3,0,3
0,50,knn,1,6,6.0,85.45454545454545,518.2473353887603,scale,1,-0.011671077252344064,3,18,21
0,50,knn,1,6,6.0,85.45454545454545,518.2473353887603,scale+thin,1,-0.011671077252344064,3,55,58
0,50,knn,2,6,6.0,85.45454545454545,518.2473353887603,none,1,-0.010131048152914768,8,0,8
0,50,knn,2,6,6.0,85.45454545454545,518.2473353887603,scale,1,-0.011671077252344064,8,18,26
0,50,knn,2,6,6.0,85.45454545454545,518.2473353887603,scale+thin,1,-0.011671077252344064,8,55,63
0,50,knn,3,6,6.0,85.45454545454545,518.2473353887603,none,1,-0.010131048152914768,13,0,13
0,50,knn,3,6,6.0,85.45454545454545,518.2473353887603,scale,1,-0.011671077252344064,13,18,31
0,50,knn,3,6,6.0,85.45454545454545,518.2473353887603,scale+thin,1,-0.011671077252344064,13,55,68
0,50,knn,1,8,6.0,107.27272727272728,586.6560772595034,none,1,-0.0010408239406572983,2,0,2
0,50,knn,1,8,6.0,107.27272727272728,586.6560772595034,scale,1,-0.0017037803815554975,2,18,20
0,50,knn,1,8,6.0,107.27272727272728,586.6560772595034,scale+thin,1,-0.0017037803815554975,2,55,57
0,50,knn,2,8,6.0,107.27272727272728,586.6560772595034,none,1,-0.0010408239406572983,5,0,5
0,50,knn,2,8,6.0,107.27272727272728,586.6560772595034,scale,1,-0.0017037803815554975,5,18,23
0,50,knn,2,8,6.0,107.27272727272728,586.6560772595034,scale+thin,1,-0.0017037803815554975,5,55,60
0,50,knn,3,8,6.0,107.27272727272728,586.6560772595034,none,1,-0.0010408239406572983,10,0,10
0,50,knn,3,8,6.0,107.27272727272728,586.6560772595034,scale,1,-0.0017037803815554975,10,18,28
0,50,knn,3,8,6.0,107.27272727272728,586.6560772595034,scale+thin,1,-0.0017037803815554975,10,55,65
0,50,knn,1,9,6.0,118.18181818181816,628.4217050081675,none,1,-0.0072088944818100575,4,0,4
0,50,knn,1,9,6.0,118.18181818181816,628.4217050081675,scale,1,-0.00870805831731214,4,18,22
0,50,knn,1,9,6.0,118.18181818181816,628.4217050081675,scale+thin,1,-0.00870805831731214,4,55,59
0,50,knn,2,9,6.0,118.18181818181816,628.4217050081675,none,1,-0.0072088944818100575,7,0,7
0,50,knn,2,9,6.0,118.18181818181816,628.4217050081675,scale,1,-0.00870805831731214,7,18,25
0,50,knn,2,9,6.0,118.18181818181816,628.4217050081675,scale+thin,1,-0.00870805831731214,7,55,62
0,50,knn,3,9,6.0,118.18181818181816,628.4217050081675,none,1,-0.0072088944818100575,12,0,12
0,50,knn,3,9,6.0,118.18181818181816,628.4217050081675,scale,1,-0.00870805831731214,12,18,30
0,50,knn,3,9,6.0,118.18181818181816,628.4217050081675,scale+thin,1,-0.00870805831731214,12,55,67
0,50,knn,1,11,6.0,140.0,697.879425726456,none,1,-0.01383173941768634,4,0,4
0,50,knn,1,11,6.0,140.0,697.879425726456,scale,1,-0.015320902428684002,4,18,22
0,50,knn,1,11,6.0,140.0,697.879425726456,scale+thin,1,-0.015320902428684002,4,55,59
0,50,knn,2,11,6.0,140.0,697.879425726456,none,1,-0.01383173941768634,9,0,9
