method,space,hp,score,median,feas,runs
cmaes,raw,"{""pop_mult"": 0.25}",0.22726747545056325,0.09461023241354571,0.9861111111111112,72
cmaes,raw,"{""pop_mult"": 0.5}",0.21495830562276474,0.08757464207384402,0.9861111111111112,72
cmaes,raw,"{""pop_mult"": 1.0}",0.25686375732669914,0.10151442609989991,0.9722222222222222,72
cmaes,raw,"{""pop_mult"": 2.0}",0.383163730397753,0.22936050507429095,0.9583333333333334,72
cmaes,reparam,"{""pop_mult"": 0.25}",0.18653259294533828,0.07766467171810143,0.9722222222222222,72
cmaes,reparam,"{""pop_mult"": 0.5}",0.1573862762342529,0.07883827598781434,0.9861111111111112,72
cmaes,reparam,"{""pop_mult"": 1.0}",0.18620283819554675,0.09415616533275739,0.9861111111111112,72
cmaes,reparam,"{""pop_mult"": 2.0}",0.216578046086262,0.11753299045981469,0.9861111111111112,72
de,raw,"{""pop_mult"": 0.5}",0.2766239599236556,0.09325178279887203,0.9861111111111112,72
de,raw,"{""pop_mult"": 1.0}",0.23254461258489664,0.09994483309927105,0.9861111111111112,72
de,raw,"{""pop_mult"": 2.0}",0.29719347297317805,0.15759951741408662,0.9722222222222222,72
de,reparam,"{""pop_mult"": 0.5}",0.1613003033940188,0.053758595441035784,0.9722222222222222,72
de,reparam,"{""pop_mult"": 1.0}",0.10977820227948594,0.0669124755083692,1.0,72
de,reparam,"{""pop_mult"": 2.0}",0.14053958987268853,0.10029128787760089,1.0,72
ga,raw,"{""pop_mult"": 0.5}",0.30182187370124275,0.1729095721497077,0.9722222222222222,72
ga,raw,"{""pop_mult"": 1.0}",0.2967386586812403,0.13177536085339359,0.9722222222222222,72
ga,raw,"{""pop_mult"": 2.0}",0.32031380019781364,0.16952108065748406,0.9722222222222222,72
ga,reparam,"{""pop_mult"": 0.5}",0.1313782648665205,0.06977658415723853,1.0,72
ga,reparam,"{""pop_mult"": 1.0}",0.13250255997671612,0.07603185334344231,1.0,72
ga,reparam,"{""pop_mult"": 2.0}",0.1536235536030814,0.1042719461436108,1.0,72
ms_nm,raw,"{""start_evals"": 100}",0.6452808101718799,0.34938317134918173,0.9444444444444444,72
ms_nm,raw,"{""start_evals"": 200}",0.7473687600665051,0.5285244129483222,0.9305555555555556,72
ms_nm,raw,"{""start_evals"": 25}",1.0544882926456847,0.6026277679084124,0.8472222222222222,72
ms_nm,raw,"{""start_evals"": 50}",0.7647888343056232,0.44697297494668353,0.9305555555555556,72
ms_nm,reparam,"{""start_evals"": 100}",0.5193007237617898,0.2956818069439332,0.9583333333333334,72
ms_nm,reparam,"{""start_evals"": 200}",0.6081657774762961,0.4256470311243544,0.9583333333333334,72
ms_nm,reparam,"{""start_evals"": 25}",0.32158680869671524,0.21518699592089907,0.9861111111111112,72
ms_nm,reparam,"{""start_evals"": 50}",0.43950109277969474,0.2810112261278287,0.9583333333333334,72
ms_slsqp,raw,"{""start_evals"": 100}",1.2616243364727424,0.6188670061188442,0.7638888888888888,72
ms_slsqp,raw,"{""start_evals"": 200}",1.2922570811658305,0.6070083139947261,0.75,72
ms_slsqp,raw,"{""start_evals"": 25}",1.0624425481630824,0.7214419164143111,0.8333333333333334,72
ms_slsqp,raw,"{""start_evals"": 50}",1.2389275453062671,0.6933743558921238,0.7361111111111112,72
ms_slsqp,reparam,"{""start_evals"": 100}",0.43281293907217866,0.2223584295558756,0.9583333333333334,72
ms_slsqp,reparam,"{""start_evals"": 200}",0.45293415250306857,0.2653873471266168,0.9583333333333334,72
ms_slsqp,reparam,"{""start_evals"": 25}",0.32335401349271836,0.18693288644820627,0.9722222222222222,72
ms_slsqp,reparam,"{""start_evals"": 50}",0.3718796282986755,0.20083973626597174,0.9722222222222222,72
