rl,mode,rl_gap_mean,rl_evals_per_design,baseline,space,baseline_gap_at_rl_evals,baseline_evals_to_match_rl_gap,eval_saving_per_design,breakeven_designs,note
ppo_corrected,none,0.29034326248802284,40.364788732394366,de,raw,0.6844691371463602,167.54694782986527,127.1821590974709,7862.738037287226,
ppo_corrected,none,0.29034326248802284,40.364788732394366,de,reparam,0.3728531052118255,67.58230240565948,27.21751367326511,36741.04887039215,
ppo_corrected,none,0.29034326248802284,40.364788732394366,ga,raw,0.731730981082277,187.0139576502516,146.64916891785722,6818.995343643108,
ppo_corrected,none,0.29034326248802284,40.364788732394366,ga,reparam,0.4050556729045885,80.7821243222646,40.41733558987023,24741.858546722942,
ppo_corrected,scale,0.16084359390201997,57.364788732394366,de,raw,0.5549910940038488,295.2580735025803,237.89328477018594,4203.565480908965,
ppo_corrected,scale,0.16084359390201997,57.364788732394366,de,reparam,0.37301976095145917,202.01568226741864,144.65089353502427,6913.196148061611,
ppo_corrected,scale,0.16084359390201997,57.364788732394366,ga,raw,0.6146140637829349,340.50292625640196,283.1381375240076,3531.844945879849,
ppo_corrected,scale,0.16084359390201997,57.364788732394366,ga,reparam,0.4042194159063793,244.44196916853988,187.0771804361455,5345.387383264134,
ppo_corrected,scale+thin,0.07494376580122375,111.6943661971831,de,raw,0.3002588880943492,445.5053782690511,333.811012071868,2995.7070433155886,
ppo_corrected,scale+thin,0.07494376580122375,111.6943661971831,de,reparam,0.2337519098061435,356.58595902980585,244.89159283262273,4083.439486154492,
ppo_corrected,scale+thin,0.07494376580122375,111.6943661971831,ga,raw,0.33797181734101606,455.8382874339944,344.1439212368113,2905.761044408752,
ppo_corrected,scale+thin,0.07494376580122375,111.6943661971831,ga,reparam,0.27023995690174296,436.20404230200245,324.50967610481933,3081.572210737382,
