update,timesteps,violation_g1_util,violation_g2_class,violation_g3_geom,lambda_g1_util,lambda_g2_class,lambda_g3_geom
1,8192,2.185990898209273,0.03450530282919756,0.0705969273068143,10.929954491046365,0.1725265141459878,0.1411938546136286
2,16384,2.161205246664877,0.015642328169667073,0.03639349313788502,21.735980724370748,0.25073815499432317,0.21398084088939864
3,24576,1.7445309549084174,0.010566971440959302,0.027972092895136115,30.458635498912834,0.3035730121991197,0.2699250266796709
4,32768,1.3955260974055135,0.014402872032179433,0.03434609897790533,37.4362659859404,0.3755873723600169,0.33861722463548155
5,40960,0.8389572133572707,0.010257837708080874,0.028607179209313622,41.63105205272676,0.42687656090042125,0.3958315830541088
6,49152,0.728362965631518,0.007520745467433069,0.022875694208259863,45.27286688088435,0.4644802882375866,0.4415829714706285
7,57344,0.502945056871489,0.0064075542789433695,0.01718960580318234,47.7875921652418,0.49651805963230344,0.47596218307699323
8,65536,0.41181586871723497,0.00492650580247094,0.01318448019579994,49.846671508827974,0.5211505886446581,0.5023311434685931
9,73728,0.25050664183128263,0.0013490677802261368,0.00556415106150097,51.099204717984385,0.5278959275457888,0.5134594455915951
10,81920,0.24774098884175555,0.0008428309181680621,0.00311279296875,52.33790966219316,0.5321100821366291,0.5196850315290951
11,90112,0.18183555916009914,0.0010133807055945458,0.00335693359375,53.24708745799366,0.5371769856646018,0.5263988987165951
12,98304,0.15740037456849085,0.0006262374753612782,0.00201416015625,54.03408933083611,0.5403081730414082,0.5304272190290951
13,106496,0.15625669503754158,0.00022589608896650542,0.00079345703125,54.81537280602382,0.5414376534862407,0.5320141330915951
14,114688,0.13557775620069762,0.00013119267147174396,0.0006745002717500274,55.493261587027305,0.5420936168435995,0.5333631336350951
15,122880,0.1160917399812062,0.0004236843741705447,0.00152587890625,56.07372028693334,0.5442120387144522,0.5364148914475951
16,131072,0.11888923348914064,0.00011656301933019275,0.0003662109375,56.66816645437904,0.5447948538111032,0.5371473133225951
17,139264,0.1004656441699532,0.00012142940227441681,0.0006103515625,57.17049467522881,0.5454020008224753,0.5383680164475951
18,147456,0.1051841484123194,0.00014401805855343897,0.00048828125,57.6964154172904,0.5461220911152425,0.5393445789475951
19,155648,0.09225991184684211,9.112154496678272e-05,0.00048828125,58.157714976524616,0.5465776988400763,0.5403211414475951
20,163840,0.08796236086855017,4.6938706011997566e-05,0.00030517578125,58.59752678086737,0.5468123923701363,0.5409314930100951
21,172032,0.07256212233650906,0.0001641348005695773,0.0006103515625,58.96033739254992,0.5476330663729843,0.5421521961350951
22,180224,0.06679465130268368,0.0002200827441813339,0.0006771670168708806,59.294310649063334,0.5487334800938909,0.5435065301688369
23,188416,0.07014673020538148,8.849323719829525e-05,0.0002729175200356076,59.64504430009024,0.5491759462798824,0.5440523652089081
24,196608,0.06286380284915373,4.189360312075778e-05,0.00018310546875,59.95936331433601,0.5493854142954863,0.5444185761464081
25,204800,0.054455379828367345,7.238218018368867e-05,0.0005707505864678149,60.231640213477846,0.5497473251964047,0.5455600773193438
26,212992,0.05010740974653409,5.798933087326961e-05,0.00030517578125,60.48217726221051,0.550037271850771,0.5461704288818438
27,221184,0.05921758832612617,0.0001180245297882665,0.00079345703125,60.778265203841144,0.5506273944997123,0.5477573429443438
28,229376,0.05725723503940174,0.0001678332269395639,0.0005763655284895108,61.06455137903815,0.5514665606344101,0.5489100740013227
29,237568,0.05220664872731889,4.101641120583493e-05,0.0003662109375,61.32558462267475,0.5516716426904393,0.5496424958763227
30,245760,0.049710248649969264,0.00012186188397391172,0.0006103515625,61.574135865924596,0.5522809521103089,0.5508631990013227
31,253952,0.0441194826691623,7.71151535292379e-05,0.000244140625,61.79473327927041,0.5526665278779551,0.5513514802513227
32,262144,0.03709665798826499,8.225008729940893e-06,0.0001220703125,61.980216569211734,0.5527076529216048,0.5515956208763227
33,270336,0.03688703037229838,6.500869162746268e-05,0.00018310546875,62.16465172107323,0.5530326963797422,0.5519618318138227
34,278528,0.045592622957541504,4.621620793366965e-05,0.0003662109375,62.39261483586093,0.5532637774194106,0.5526942536888227
35,286720,0.04078799152901608,2.1869433234999406e-05,0.00030517578125,62.596554793506016,0.5533731245855855,0.5533046052513227
36,294912,0.04822008788836802,2.2348138239025855e-05,0.0001220703125,62.83765523294785,0.5534848652767806,0.5535487458763227
37,303104,0.04514762006600658,0.00013795456463972606,0.00048828125,63.06339333327789,0.5541746380999792,0.5545253083763227
38,311296,0.047499782296146806,4.521557226381311e-05,0.0003662109375,63.30089224475862,0.5544007159612984,0.5552577302513227
39,319488,0.04061464968957633,5.426089428791462e-05,0.00030517578125,63.5039654932065,0.5546720204327379,0.5558680818138227
40,327680,0.036285629368567815,2.5371532514576324e-05,0.0001220703125,63.68539364004934,0.5547988780953108,0.5561122224388227
41,335872,0.04179572658882547,3.354240143009924e-05,0.0001220703125,63.894372272993465,0.5549665901024613,0.5563563630638227
42,344064,0.04309919169432934,8.472914952700766e-05,0.00018310546875,64.10986823146511,0.5553902358500964,0.5567225740013227
43,352256,0.038650630083777913,7.34255184078069e-05,0.00042724609375,64.303121381884,0.5557573634421354,0.5575770661888227
44,360448,0.0356757357328811,6.0950396266846394e-05,0.000244140625,64.4815000605484,0.5560621154234697,0.5580653474388227
45,368640,0.03816864084112026,3.461446398319608e-05,0.00018310546875,64.672343264754,0.5562351877433858,0.5584315583763227
46,376832,0.03712656876299486,1.094272970412005e-05,0.00018310546875,64.85797610856898,0.5562899013919064,0.5587977693138227
47,385024,0.038819480305625834,5.155546163875576e-05,0.000244140625,65.0520735100971,0.5565476787001001,0.5592860505638227
48,393216,0.03299034619162809,4.919910159548009e-05,0.0003662109375,65.21702524105524,0.5567936742080776,0.5600184724388227
49,401408,0.03913342519894561,4.130482934091057e-05,0.0001220703125,65.41269236704997,0.5570001983547821,0.5602626130638227
50,409600,0.04345832628158307,6.638358680210099e-05,0.00030517578125,65.62998399845789,0.5573321162887926,0.5608729646263227
51,417792,0.030827840215608457,7.074011276515606e-05,0.00042724609375,65.78412319953593,0.5576858168526184,0.5617274568138227
52,425984,0.04022426205442339,0.00011222672223030759,0.00030517578125,65.98524450980804,0.5582469504637699,0.5623378083763227
53,434176,0.0375513422944504,9.304051484318684e-05,0.00042724609375,66.17300122128029,0.5587121530379858,0.5631923005638227
54,442368,0.035299055729445285,1.9205138140039396e-06,6.103515625e-05,66.34949649992751,0.5587217556070558,0.5633143708763227
55,450560,0.04163031235616144,0.0,0.0,66.55764806170832,0.5587217556070558,0.5633143708763227
56,458752,0.04086087962935438,2.5984266922676752e-05,0.000244140625,66.7619524598551,0.5588516769416693,0.5638026521263227
57,466944,0.03337686269507849,7.165041123128799e-05,0.0003662109375,66.92883677333049,0.5592099289978257,0.5645350740013227
58,475136,0.03516094519079439,6.970914491575216e-05,0.00030517578125,67.10464149928445,0.5595584747224045,0.5651454255638227
59,483328,0.0359346994190031,2.1769817422048873e-05,0.00018310546875,67.28431499637946,0.5596673238095148,0.5655116365013227
60,491520,0.029002972523236817,2.9167050231764007e-05,0.00018310546875,67.42932985899564,0.5598131590606736,0.5658778474388227
61,499712,0.03514244924824761,2.040118757268137e-05,0.0001220703125,67.60504210523688,0.559915164998537,0.5661219880638227
62,507904,0.038985632051173946,2.1762737996197776e-05,0.00018310546875,67.79997026549275,0.5600239786885179,0.5664881990013227
63,516096,0.037346532730092516,1.8296823487575143e-05,0.0001220703125,67.9867029291432,0.5601154628059558,0.5667323396263227
64,524288,0.03351511925635833,0.0,0.0,68.154278525425,0.5601154628059558,0.5667323396263227
65,532480,0.03131116934281471,7.142275587003754e-05,0.00030517578125,68.31083437213907,0.560472576585306,0.5673426911888227
66,540672,0.03339582417814002,1.0140853978424333e-05,0.000244140625,68.47781349302977,0.5605232808551982,0.5678309724388227
67,548864,0.03597928850433058,1.4769434078283145e-05,0.0001220703125,68.65770993555142,0.5605971280255896,0.5680751130638227
68,557056,0.033464342758545554,1.5677665815854293e-05,0.00030517578125,68.82503164934415,0.5606755163546688,0.5686854646263227
