span_m,load_kNm,feasible,in_target_band,util,grade,section_type,economy,section_class,region
6.0,20.0,True,False,0.3103129680626382,355.0,rolled,554.5157271360964,1,in_distribution
6.0,33.333333333333336,True,False,0.4138484933968666,355.0,rolled,633.9092597281872,1,in_distribution
6.0,46.66666666666667,True,False,0.5672280554742694,355.0,rolled,612.6624179287994,1,in_distribution
6.0,60.0,True,False,0.5394000787305867,355.0,rolled,773.9125807696655,1,in_distribution
6.0,73.33333333333334,True,False,0.5799695429408405,355.0,rolled,839.2463264372809,1,in_distribution
6.0,86.66666666666667,True,False,0.6113165332178466,355.0,rolled,902.9499562399218,1,in_distribution
6.0,100.0,True,False,0.5971922806905259,355.0,rolled,914.7964795302267,1,in_distribution
6.0,113.33333333333334,True,False,0.6546324974607461,355.0,rolled,1027.5875873932969,1,in_distribution
6.0,126.66666666666667,True,False,0.669266646149046,355.0,rolled,1089.0863319454606,1,in_distribution
6.0,140.0,True,False,0.6804570741104237,355.0,rolled,1150.1867653494992,1,in_distribution
7.0,20.0,True,False,0.36561683957630164,355.0,rolled,726.9673508268055,1,in_distribution
7.0,33.333333333333336,True,False,0.4702483108428427,355.0,rolled,833.8821244547929,1,in_distribution
7.0,46.66666666666667,True,False,0.5487363998412232,355.0,rolled,931.4042033137869,1,in_distribution
7.0,60.0,True,False,0.6092413487094207,355.0,rolled,1020.7420556298482,1,in_distribution
7.0,73.33333333333334,True,False,0.6491703419611313,355.0,rolled,1111.4961076611164,1,in_distribution
7.0,86.66666666666667,True,False,0.6822123188260054,355.0,rolled,1197.4529871857615,1,in_distribution
7.0,100.0,True,False,0.7077268856495056,355.0,rolled,1281.7649813098387,1,in_distribution
7.0,113.33333333333334,True,False,0.7274713782843755,355.0,rolled,1364.7853822276722,1,in_distribution
7.0,126.66666666666667,True,False,0.7426786052726349,355.0,rolled,1446.6929303233082,1,in_distribution
7.0,140.0,True,False,0.7541957129548765,355.0,rolled,1527.6309595741272,1,in_distribution
8.0,20.0,True,False,0.41566836670026663,355.0,rolled,929.8604350602111,1,in_distribution
8.0,33.333333333333336,True,False,0.517674316057632,355.0,rolled,1069.7230254761942,1,in_distribution
8.0,46.66666666666667,True,False,0.6000533133866036,355.0,rolled,1198.8517357942812,1,in_distribution
8.0,60.0,True,False,0.6774741003080844,355.0,rolled,1294.4005169290517,1,in_distribution
8.0,73.33333333333334,True,False,0.7042557329586995,355.0,rolled,1436.4545993440577,1,in_distribution
8.0,86.66666666666667,True,False,0.7643406317973188,355.0,rolled,1495.1014855531187,1,in_distribution
8.0,100.0,True,False,0.7647688532201947,355.0,rolled,1658.626511531392,1,in_distribution
8.0,113.33333333333334,True,False,0.7279487067643763,355.0,rolled,1632.173170482412,2,in_distribution
8.0,126.66666666666667,True,False,0.7981319726980786,355.0,rolled,1873.6550096925077,1,in_distribution
8.0,140.0,True,False,0.806041446896461,355.0,rolled,1981.0204288896896,1,in_distribution
9.0,20.0,True,False,0.4838504185861934,355.0,rolled,1110.3311974213802,1,in_distribution
9.0,33.333333333333336,True,False,0.726269491945046,355.0,rolled,1023.4561066075673,2,in_distribution
9.0,46.66666666666667,True,False,0.6903814961569084,355.0,rolled,1444.9605629114826,1,in_distribution
9.0,60.0,True,False,0.7036018580300644,355.0,rolled,1668.723301827224,1,in_distribution
9.0,73.33333333333334,True,False,0.7494156355260617,355.0,rolled,1816.2256046938637,1,in_distribution
9.0,86.66666666666667,True,False,0.7828187356942193,355.0,rolled,1959.2180673028672,1,in_distribution
9.0,100.0,True,False,0.8049524027329814,355.0,rolled,2100.555511975398,1,in_distribution
9.0,113.33333333333334,True,False,0.8171558396106587,355.0,rolled,2241.551557955829,1,in_distribution
9.0,126.66666666666667,True,False,0.8221697100766341,355.0,rolled,2381.4673086535454,1,in_distribution
9.0,140.0,True,False,0.816821522853982,355.0,rolled,2524.36364212887,1,in_distribution
10.0,20.0,True,False,0.5121338090947781,355.0,rolled,1375.61848925392,1,in_distribution
10.0,33.333333333333336,True,False,0.5980934656927707,355.0,rolled,1669.6525722837048,1,in_distribution
10.0,46.66666666666667,True,False,0.6757586070778573,355.0,rolled,1875.97504321291,1,in_distribution
10.0,60.0,True,False,0.7360104578024279,355.0,rolled,2069.0252690240563,1,in_distribution
10.0,73.33333333333334,True,False,0.7933662507668158,355.0,rolled,2242.5195543614036,1,in_distribution
10.0,86.66666666666667,True,False,0.8017454837390237,355.0,rolled,2434.3541656080547,1,in_distribution
10.0,100.0,True,False,0.8170377593592439,355.0,rolled,2610.1466343025877,1,in_distribution
10.0,113.33333333333334,True,False,0.8206761977416714,355.0,rolled,2788.340190672463,1,in_distribution
10.0,126.66666666666667,True,False,0.8689694586101914,355.0,rolled,2977.459381696223,1,in_distribution
10.0,140.0,True,False,0.8480035254169654,355.0,rolled,3193.211467687553,1,in_distribution
11.0,20.0,True,False,0.5093945077047275,355.0,rolled,1756.4070971772592,1,in_distribution
11.0,33.333333333333336,True,False,0.6759083361919951,355.0,rolled,1952.0266945365404,1,in_distribution
11.0,46.66666666666667,True,False,0.8912404434428868,355.0,rolled,1968.5732723849928,1,in_distribution
11.0,60.0,True,False,0.7506803538574474,355.0,rolled,2522.7995954536295,1,in_distribution
11.0,73.33333333333334,True,False,0.7861628440171909,355.0,rolled,2748.007855672481,1,in_distribution
11.0,86.66666666666667,True,False,0.8097814075019766,355.0,rolled,2964.980931040757,1,in_distribution
11.0,100.0,True,False,0.871450048580494,355.0,rolled,3200.430529724619,1,in_distribution
11.0,113.33333333333334,True,False,0.8599072743060429,355.0,rolled,3455.5386437182437,1,in_distribution
11.0,126.66666666666667,True,False,0.845204281272513,355.0,rolled,3743.00257957386,1,in_distribution
11.0,140.0,True,False,0.7991938157615919,355.0,rolled,4226.56422519733,1,in_distribution
12.0,20.0,True,False,0.556887140117833,355.0,rolled,2019.0035660836552,1,in_distribution
12.0,33.333333333333336,True,False,0.6641137141835228,355.0,rolled,2408.1585504225513,1,in_distribution
12.0,46.66666666666667,True,False,0.7246192115886486,355.0,rolled,2730.099505378087,1,in_distribution
12.0,60.0,True,False,0.7585409957229489,355.0,rolled,3027.2596723982006,1,in_distribution
12.0,73.33333333333334,True,False,0.7822269549073712,355.0,rolled,3315.670215778323,1,in_distribution
12.0,86.66666666666667,True,False,0.8575963328419508,355.0,rolled,3611.3867675187553,1,in_distribution
12.0,100.0,True,False,0.8509696373268765,355.0,rolled,3951.305281020813,1,in_distribution
12.0,113.33333333333334,True,True,0.9019125273406606,355.0,rolled,4445.099152660904,1,in_distribution
12.0,126.66666666666667,True,False,0.7914019574739415,355.0,rolled,5060.616267825342,1,in_distribution
12.0,140.0,True,True,0.9670915179185807,355.0,rolled,4907.18008704034,1,in_distribution
13.0,20.0,True,False,0.5411719754155951,355.0,rolled,2414.1936850807197,1,in_distribution
13.0,33.333333333333336,True,False,0.6920350856924917,355.0,rolled,2777.6241378900863,1,in_distribution
13.0,46.66666666666667,True,False,0.7116858864598808,355.0,rolled,3257.208596159686,1,in_distribution
13.0,60.0,True,False,0.8186685009674856,355.0,rolled,3623.711044593862,1,in_distribution
13.0,73.33333333333334,True,False,0.835896012197042,355.0,rolled,4010.81320822756,1,in_distribution
13.0,86.66666666666667,True,False,0.8026789577524863,355.0,rolled,4654.3895157762645,1,in_distribution
13.0,100.0,True,False,0.8287489304069082,355.0,rolled,5542.1595214654335,1,in_distribution
13.0,113.33333333333334,True,False,0.8829978276825448,355.0,rolled,5439.988621503971,1,in_distribution
13.0,126.66666666666667,True,True,0.9336335027682748,355.0,rolled,5822.666849999999,1,in_distribution
13.0,140.0,True,True,0.9265224462450481,500.0,rolled,7995.502695464762,1,in_distribution
14.0,20.0,True,False,0.5715276661073656,355.0,rolled,2917.666900327922,1,in_distribution
14.0,33.333333333333336,True,False,0.6347605821308759,355.0,rolled,3412.2097744008724,1,in_distribution
14.0,46.66666666666667,True,False,0.755704580519046,355.0,rolled,3865.6171648122013,1,in_distribution
14.0,60.0,True,False,0.7973783626837753,355.0,rolled,4392.430065814834,1,in_distribution
14.0,73.33333333333334,True,False,0.6910354994128841,355.0,rolled,5609.325561533827,1,in_distribution
14.0,86.66666666666667,True,True,0.93265284104463,355.0,rolled,5772.946609017468,1,in_distribution
14.0,100.0,True,True,0.9849279414950449,355.0,rolled,5679.645183514944,1,in_distribution
14.0,113.33333333333334,True,False,0.8672574319790711,690.0,rolled,15127.47690805799,1,in_distribution
14.0,126.66666666666667,True,True,0.9502945104941756,500.0,rolled,9089.426159994458,1,in_distribution
14.0,140.0,True,True,0.9802646967174721,550.0,rolled,11841.548489609997,1,in_distribution
