arm,repair_mode,span_m,load_kNm,optimal,optimal_grade,optimal_type,achieved,gap,feasible,feasible_before,utilization,section_class,h,b,tf,tw,fy,section_type,grade_match,repaired,variant,scale,n_ec3_gen,n_ec3_repair,n_ec3,t_gen,t_repair,sec_per_design
e5_ppo_s42_anneal_linear,none,6.0,20.0,241.3288087904857,355,rolled,526.9848203516742,1.1836796982211366,True,True,0.33316873562374355,1,410.4514577820662,131.1203970599612,13.89309633783902,9.9520486286065,355.0,rolled,1.0,False,original,,40,1,41,0.03875398635864258,0.0001316070556640625,0.03888559341430664
e5_ppo_s42_anneal_linear,none,6.0,30.909090909090907,292.67799548197263,355,rolled,597.0847029139862,1.0400737743564443,True,True,0.3952594971449715,1,433.40192155469066,142.23145754000066,15.318347557139576,10.143279844699913,355.0,rolled,1.0,False,original,,40,1,41,0.03716564178466797,0.00016307830810546875,0.03732872009277344
e5_ppo_s42_anneal_linear,none,6.0,41.81818181818181,342.2853688824266,355,rolled,612.6624179287994,0.7899170505860741,True,True,0.5082952704899296,1,402.37247948217794,158.9406951575508,15.048085016746924,10.421364490951666,355.0,rolled,1.0,False,original,,40,1,41,0.037081003189086914,0.00016570091247558594,0.0372467041015625
e5_ppo_s42_anneal_linear,none,6.0,52.72727272727273,386.25765574493386,355,rolled,719.9023343254225,0.8637878722093517,True,True,0.4594740332487483,1,468.07827906313304,162.68387516308636,17.68124551527652,10.229841249939708,355.0,rolled,1.0,False,original,,40,1,41,0.03712964057922363,0.00012612342834472656,0.03725576400756836
e5_ppo_s42_anneal_linear,none,6.0,63.63636363636363,431.68145507497405,355,rolled,774.8134826923662,0.7948732186278358,True,True,0.47886064375271664,1,482.31729888981516,172.43215123351823,18.625205967010054,10.184544778163302,355.0,rolled,1.0,False,original,,40,1,41,0.036849260330200195,0.0001475811004638672,0.03699684143066406
e5_ppo_s42_anneal_linear,none,6.0,74.54545454545453,466.9500019446189,355,rolled,825.4727855029062,0.767796941996391,True,True,0.514719010113779,1,485.5322411989151,173.61173790146634,20.246944115462004,10.43075877385648,355.0,rolled,1.0,False,original,,40,1,41,0.03712201118469238,0.00012755393981933594,0.03724956512451172
e5_ppo_s42_anneal_linear,none,6.0,85.45454545454545,518.2473353887603,355,rolled,855.8467812382469,0.6514253384365946,True,True,0.5802751694644945,1,471.98437071100807,189.3706384278682,18.33246314199264,11.849997010934947,355.0,rolled,1.0,False,original,,40,1,41,0.03750014305114746,0.0001277923583984375,0.0376279354095459
e5_ppo_s42_anneal_linear,none,6.0,96.36363636363636,549.7256874002802,355,rolled,946.0585019109374,0.720964698566231,True,True,0.5621601475346286,1,468.70561954148917,201.12592630018568,20.862225169771044,11.676234801736413,355.0,rolled,1.0,False,original,,40,1,41,0.03845357894897461,0.00013971328735351562,0.038593292236328125
e5_ppo_s42_anneal_linear,none,6.0,107.27272727272728,586.6560772595034,355,rolled,1017.4013970336066,0.7342382299801284,True,True,0.5469172459394543,1,477.289732947275,220.01244211624277,21.431080721303093,11.408094829236092,355.0,rolled,1.0,False,original,,40,1,41,0.03873181343078613,0.00013017654418945312,0.038861989974975586
e5_ppo_s42_anneal_linear,none,6.0,118.18181818181816,628.4217050081675,355,rolled,1015.5082155749446,0.615966169662689,True,True,0.5890150431367603,1,483.5740622469177,222.70462601283404,21.502638776612695,10.85405004582655,355.0,rolled,1.0,False,original,,40,1,41,0.03927278518676758,0.00012826919555664062,0.03940105438232422
e5_ppo_s42_anneal_linear,none,6.0,129.0909090909091,657.4964976148059,355,rolled,1043.0317704038393,0.5863685573803606,True,True,0.544136325022716,1,667.1567881271437,205.04747059147172,16.574621777176997,12.541567332504407,355.0,rolled,1.0,False,original,,40,1,41,0.03833413124084473,0.00012803077697753906,0.038462162017822266
e5_ppo_s42_anneal_linear,none,6.0,140.0,697.879425726456,355,rolled,1165.7151955300715,0.6703676201897238,True,True,0.7165349226708796,1,512.0294609084527,235.3948025020383,22.5230526308558,8.469428259677779,355.0,welded,1.0,False,original,,40,1,41,0.03860068321228027,0.0001239776611328125,0.038724660873413086
e5_ppo_s42_anneal_linear,none,6.818181818181818,20.0,317.0885192434045,355,rolled,678.6961216593827,1.140399542937724,True,True,0.37153377090294054,1,437.44159904770675,140.31055657508912,14.807233397961802,10.519196618681955,355.0,rolled,1.0,False,original,,40,1,41,0.03935575485229492,0.0001442432403564453,0.03949999809265137
