arm,repair_mode,n,feasibility,gap_mean,gap_median,gap_sd,gap_p90,gap_p95,gap_worst,within_1pct,within_5pct,within_10pct,util_mean,class_mean,grade_match,repaired_frac,ec3_gen_per_design,ec3_repair_per_design,ec3_evals_per_design,sec_per_design,sec_per_design_sd
gated_cost_merged_seed42,none,142,1.0,0.35767180127647535,0.3428058690674255,0.1696414743282942,0.5479052950061187,0.6692824258426819,1.0968871679063819,0.0,0.014084507042253521,0.028169014084507043,0.803520315962932,1.147887323943662,0.971830985915493,0.0,39.53521126760563,1.0,40.53521126760563,0.06227399765605658,0.02085790754471467
gated_cost_merged_seed42,scale,142,1.0,0.19282428714219765,0.16862701337989716,0.11418375288390427,0.34338400160980664,0.39609389976871084,0.538739947940591,0.0,0.07746478873239436,0.22535211267605634,1.0009770298052045,1.1408450704225352,0.971830985915493,1.0,39.53521126760563,18.0,57.53521126760563,0.0637736975307196,0.021205145789273027
gated_cost_merged_seed42,scale+thin,142,1.0,0.06184505636770622,0.03964498423869389,0.06247300871389521,0.14204886245994877,0.1966476631549555,0.38666271655239076,0.04929577464788732,0.6056338028169014,0.8169014084507042,1.000992989900222,1.408450704225352,0.971830985915493,1.0,39.53521126760563,74.19718309859155,113.73239436619718,0.06923995219485861,0.022533150309016984
gated_cost_merged_seed43,none,142,1.0,0.2213698788055571,0.1728050788576646,0.130124162430587,0.3956268843703763,0.5269732735950257,0.7385970658667118,0.0,0.0,0.028169014084507043,0.8358172515432493,1.619718309859155,0.9225352112676056,0.0,38.96478873239437,1.0,39.96478873239437,0.0491129327827776,0.010498193351464792
gated_cost_merged_seed43,scale,142,1.0,0.10275230892057578,0.06266458208770583,0.11446343296247305,0.22821381349875539,0.305843571250719,0.6524793258028757,0.04225352112676056,0.36619718309859156,0.6830985915492958,1.0009792654542424,1.6056338028169015,0.9225352112676056,1.0,38.96478873239437,18.0,56.96478873239437,0.050353542180128504,0.010609097784612229
gated_cost_merged_seed43,scale+thin,142,1.0,0.064141897035356,0.03992174566148591,0.10220726989835147,0.12494269322429398,0.16536745011633003,0.6294348522655467,0.11971830985915492,0.6126760563380281,0.8732394366197183,1.0009862069465172,1.6619718309859155,0.9225352112676056,1.0,38.96478873239437,71.53521126760563,110.5,0.05436769337721274,0.010687709210033806
gated_cost_merged_seed44,none,142,1.0,0.31531409087943074,0.30756945104310557,0.1342432964818433,0.48823503984869304,0.5834003129908991,0.8138899651088495,0.0,0.0,0.0,0.8546344118684543,1.9225352112676057,0.9295774647887324,0.0,39.274647887323944,1.0,40.274647887323944,0.06156923569424052,0.019458408639597743
gated_cost_merged_seed44,scale,142,1.0,0.19927583922756048,0.22069739556784107,0.12558678157102773,0.30403764061216826,0.3476957449722966,0.688214232986417,0.04929577464788732,0.176056338028169,0.2112676056338028,1.0009795255288427,1.880281690140845,0.9295774647887324,1.0,39.274647887323944,18.0,57.274647887323944,0.06308073057255274,0.019766149108496438
gated_cost_merged_seed44,scale+thin,142,1.0,0.09846920859980905,0.0722308288032501,0.11734441875165934,0.18201285484351717,0.21408769694655838,0.6561399437310796,0.19014084507042253,0.4507042253521127,0.5492957746478874,1.0005052679118682,1.9577464788732395,0.9295774647887324,1.0,39.274647887323944,71.54929577464789,110.82394366197182,0.06819823594160483,0.020984622846412938
gated_cost_merged_seed45,none,142,1.0,0.2560778316589529,0.21429495927095027,0.13044642190758782,0.3670221604875142,0.44647659110771465,0.8451216774736406,0.0,0.007042253521126761,0.014084507042253521,0.8024948905580755,1.8661971830985915,0.9295774647887324,0.0,39.514084507042256,1.0,40.514084507042256,0.058460457224241445,0.01894370186136221
gated_cost_merged_seed45,scale,142,1.0,0.1093388464981648,0.06318540043146065,0.1272014806520045,0.2500186922656052,0.29022439469789985,0.6895298705566592,0.07042253521126761,0.352112676056338,0.704225352112676,1.0009771171062176,1.8591549295774648,0.9295774647887324,1.0,39.514084507042256,18.0,57.514084507042256,0.05987824352694229,0.01926389435761834
gated_cost_merged_seed45,scale+thin,142,1.0,0.06638831471769724,0.04356982459538476,0.11169494124034453,0.0912436720077858,0.23800885911911954,0.6895298705566592,0.15492957746478872,0.5915492957746479,0.9084507042253521,1.0009589728871298,1.7253521126760563,0.9295774647887324,1.0,39.514084507042256,68.67605633802818,108.19014084507042,0.06459735145031566,0.020604628672751483
gated_cost_merged_seed46,none,142,1.0,0.30128270981969807,0.26676116296357066,0.176147085335719,0.5013256299939846,0.6724799280174655,1.09384916543742,0.0,0.007042253521126761,0.04929577464788732,0.8720507015140171,1.323943661971831,0.9295774647887324,0.0,39.53521126760563,1.0,40.53521126760563,0.058679468195203324,0.01643950134097465
gated_cost_merged_seed46,scale,142,1.0,0.2000266877216011,0.16306401560339367,0.1496776354972728,0.3272664891376425,0.3730138186039524,0.9443685253776106,0.007042253521126761,0.07746478873239436,0.2605633802816901,1.000954996383334,1.3028169014084507,0.9295774647887324,1.0,39.53521126760563,18.0,57.53521126760563,0.06001813646773217,0.016728545705701054
gated_cost_merged_seed46,scale+thin,142,1.0,0.08387435228555022,0.047260668874028564,0.1098233520039551,0.16231151164808735,0.21712158589777508,0.6651105385741582,0.06338028169014084,0.5211267605633803,0.7464788732394366,1.0006792116266472,1.4647887323943662,0.9295774647887324,1.0,39.53521126760563,75.69014084507042,115.22535211267606,0.06478177661627112,0.017281649354662615
