arm,repair_mode,span_m,load_kNm,optimal,optimal_grade,optimal_type,achieved,gap,feasible,feasible_before,utilization,section_class,h,b,tf,tw,fy,section_type,grade_match,repaired,variant,scale,n_ec3_gen,n_ec3_repair,n_ec3,t_gen,t_repair,sec_per_design
e4_td3_seed42,none,6.0,20.0,241.3288087904857,355,rolled,418.5376338811442,0.7343044785196191,True,True,0.71311269011022,1,303.5461405656115,132.29835415185192,10.850725318460292,6.294502049975472,460.0,welded,0.0,False,original,,40,1,41,0.04421639442443848,0.000209808349609375,0.04442620277404785
e4_td3_seed42,none,6.0,30.909090909090907,292.67799548197263,355,rolled,672.9220319502482,1.2991890143367355,True,True,0.9573994978985719,3,349.39331817473766,120.0,9.038979923182938,6.0,690.0,rolled,0.0,False,original,,39,1,40,0.03818368911743164,0.00013947486877441406,0.038323163986206055
e4_td3_seed42,none,6.0,41.81818181818181,342.2853688824266,355,rolled,544.2161416931588,0.5899485960210423,True,True,0.7534254592501703,1,326.60845508722855,164.66347951141657,15.243280606387252,6.0,355.0,welded,1.0,False,original,,24,1,25,0.021955490112304688,0.0001308917999267578,0.022086381912231445
e4_td3_seed42,none,6.0,52.72727272727273,386.25765574493386,355,rolled,828.8159630397233,1.14575931560832,True,True,0.9525622655680561,2,335.4798989576491,135.64159085712788,16.241334668693963,6.0,620.0,welded,0.0,False,original,,24,1,25,0.023554563522338867,0.0003070831298828125,0.02386164665222168
e4_td3_seed42,none,6.0,63.63636363636363,431.68145507497405,355,rolled,580.899426584291,0.3456668563244183,True,True,0.8711016978132186,3,517.0448905869331,145.85672747962784,13.610908618841886,6.0,355.0,rolled,1.0,False,original,,25,1,26,0.023345470428466797,0.00012993812561035156,0.02347540855407715
e4_td3_seed42,none,6.0,74.54545454545453,466.9500019446189,355,rolled,796.9011463583946,0.7066091509576832,True,True,0.8751892389695132,1,331.59772279905917,170.0937634341871,22.225963005035705,8.328732243027039,355.0,welded,1.0,False,original,,40,1,41,0.03762340545654297,0.00012302398681640625,0.037746429443359375
e4_td3_seed42,none,6.0,85.45454545454545,518.2473353887603,355,rolled,909.5021374596679,0.7549576724353246,True,True,0.7770299846329901,1,348.99726268013404,157.34182573989125,20.798128875280046,7.23019534423166,500.0,rolled,0.0,False,original,,40,1,41,0.033728599548339844,0.00010824203491210938,0.03383684158325195
e4_td3_seed42,none,6.0,96.36363636363636,549.7256874002802,355,rolled,904.117508062073,0.6446702942657726,True,True,0.8879126681346007,1,339.50626151761264,167.9642052291346,19.13240508537533,7.596482395962,500.0,rolled,0.0,False,original,,40,1,41,0.033385515213012695,0.0001068115234375,0.033492326736450195
e4_td3_seed42,none,6.0,107.27272727272728,586.6560772595034,355,rolled,1104.0530415884784,0.8819425629168212,True,True,0.8380328644266606,1,383.8547912833768,161.49514613992073,19.641233338229412,7.3888590953442685,550.0,rolled,0.0,False,original,,36,1,37,0.030675888061523438,0.0001068115234375,0.030782699584960938
e4_td3_seed42,none,6.0,118.18181818181816,628.4217050081675,355,rolled,832.2060965754443,0.32427968344064173,True,True,0.8730520137232163,2,423.9605518758532,211.9368972670957,14.26287832954946,6.956279020613017,460.0,rolled,0.0,False,original,,12,1,13,0.013090133666992188,0.000118255615234375,0.013208389282226562
e4_td3_seed42,none,6.0,129.0909090909091,657.4964976148059,355,rolled,810.9129218430783,0.23333420753543138,True,True,0.7981849406160133,2,402.0872854115445,223.3203816673747,16.097145070821195,8.225316953326013,460.0,rolled,0.0,False,original,,14,1,15,0.013891220092773438,0.0001068115234375,0.013998031616210938
e4_td3_seed42,none,6.0,140.0,697.879425726456,355,rolled,1066.3022659553144,0.5279176124806222,True,True,1.0009989279735652,2,401.35934376751715,186.33861345057417,16.57281084339543,6.743773931771981,550.0,rolled,0.0,False,original,,28,1,29,0.02385568618774414,0.00010395050048828125,0.023959636688232422
e4_td3_seed42,none,6.818181818181818,20.0,317.0885192434045,355,rolled,762.9580318173054,1.4061357807522545,True,True,0.9524755295074616,3,355.53759115157936,120.0,8.84563389976536,6.0,690.0,rolled,0.0,False,original,,40,1,41,0.03352832794189453,0.0001270771026611328,0.033655405044555664
e4_td3_seed42,none,6.818181818181818,30.909090909090907,392.6423822212096,355,rolled,816.4228263648212,1.0793038737852279,True,True,0.936401367337962,2,333.66702325642086,120.0,13.886649077729786,6.0,620.0,rolled,0.0,False,original,,33,1,34,0.029346466064453125,0.00019168853759765625,0.02953815460205078
e4_td3_seed42,none,6.818181818181818,41.81818181818181,455.0251859822217,355,rolled,749.1517184348247,0.6463961589679891,True,True,0.6969328657461847,1,367.51910737583916,167.1834148931534,17.484057639714763,6.0,355.0,rolled,1.0,False,original,,26,1,27,0.025362253189086914,0.00012493133544921875,0.025487184524536133
e4_td3_seed42,none,6.818181818181818,52.72727272727273,519.9507333014534,355,rolled,1142.4041045931451,1.1971391353549838,True,True,0.8346536314597334,1,508.1495366670264,131.25173860842204,20.30570468117377,15.453586810763857,355.0,welded,1.0,False,original,,25,1,26,0.02633953094482422,0.00014472007751464844,0.026484251022338867
e4_td3_seed42,none,6.818181818181818,63.63636363636363,570.1996303697795,355,rolled,1063.3220292913552,0.8648241294049621,True,True,0.784911413412491,1,395.3146324924118,166.04918959699273,23.53839407093191,7.374441372175145,460.0,welded,0.0,False,original,,40,1,41,0.034425973892211914,9.918212890625e-05,0.034525156021118164
e4_td3_seed42,none,6.818181818181818,74.54545454545453,645.0378754655677,355,rolled,955.0993859028184,0.4806872933057741,True,True,0.7841987925837632,1,430.72348084179134,208.23508679040188,17.220044838711797,7.129798186476817,355.0,rolled,1.0,False,original,,40,1,41,0.03706860542297363,0.0001575946807861328,0.037226200103759766
