costing,gt_dir,n_contexts,space,proposals,ec3_per_context,gap_mean,gap_median,gap_p90,gap_worst,feasibility
original,research/pretrain_data,40,raw,40,40,0.7422500583503236,0.7548115361181298,1.0869782177111595,1.603364286079688,0.85
original,research/pretrain_data,40,raw,400,400,0.37980769362368855,0.3668215338926788,0.6210100611212536,0.7501634595270654,0.925
original,research/pretrain_data,40,raw,4000,4000,0.17533821332192445,0.1708708904280185,0.2463326122055752,0.4360025174709239,0.975
original,research/pretrain_data,40,reparam,10,240,0.17574599575001684,0.11969817803076743,0.3552466644759657,0.5559466918573821,1.0
original,research/pretrain_data,40,reparam,20,480,0.11358015225983879,0.1042019475997944,0.19788802875503397,0.26430703779510867,1.0
original,research/pretrain_data,40,reparam,40,960,0.0941127032528029,0.08521961600790384,0.19875540547546972,0.2531537036776528,1.0
corrected,research/pretrain_data_corrected,40,raw,40,40,0.7806932119297125,0.738733623022562,1.1226464521345516,1.9257649403557768,0.85
corrected,research/pretrain_data_corrected,40,raw,400,400,0.4402598068694576,0.38524079799072886,0.6654308764229993,1.1746980366207653,0.925
corrected,research/pretrain_data_corrected,40,raw,4000,4000,0.22632639261442927,0.20733233729861222,0.2867622395794614,0.7989410166072712,0.975
corrected,research/pretrain_data_corrected,40,reparam,10,240,0.2522270449615503,0.23111787296742514,0.3889063198055884,0.5054071310681041,1.0
corrected,research/pretrain_data_corrected,40,reparam,20,480,0.19733612813452442,0.1918875291983133,0.31191482255858377,0.36573548703107317,1.0
corrected,research/pretrain_data_corrected,40,reparam,40,960,0.14467817972051084,0.16134142538309992,0.23901790803007325,0.281090432955337,1.0
