arm,repair_mode,span_m,load_kNm,optimal,optimal_grade,optimal_type,achieved,gap,feasible,feasible_before,utilization,section_class,h,b,tf,tw,fy,section_type,grade_match,repaired,variant,scale,n_ec3_gen,n_ec3_repair,n_ec3,t_gen,t_repair,sec_per_design,method,seed,gap_mass,gap_co2
ga,none,6.0,20.0,241.3288087904857,355,rolled,241.3312656741236,1.01806479310045e-05,True,True,1.0009999608230566,2,250.0228671092266,125.50274121783502,8.001159340956008,6.000000431336195,355.0,rolled,1.0,False,original,,4800,1,4801,0.9263033866882324,0.0001320838928222,0.9264354705810548,ga,-1,0.05258384609158662,0.23041662473145053
ga,none,6.0,30.909090909090907,292.67799548197263,355,rolled,296.08360540962565,0.011636029972273,True,True,1.0009993006380602,2,284.93118150993394,143.56627661291645,8.98965168520446,6.013976957263298,355.0,rolled,1.0,False,original,,4800,1,4801,0.9453423023223876,0.0001294612884521,0.9454717636108398,ga,-1,0.09915882713903734,0.2883447452307961
ga,none,6.0,41.81818181818181,342.2853688824266,355,rolled,341.6882118953292,-0.001744617332161,True,True,1.0009997888954056,2,314.0997668197388,160.90938666230295,9.51151869488606,6.000250848172387,355.0,rolled,1.0,False,original,,4800,1,4801,1.0150110721588137,0.0001695156097412,1.015180587768555,ga,-1,0.12261989177436616,0.3070342909888568
ga,none,6.0,52.72727272727273,386.25765574493386,355,rolled,389.5282688567676,0.008467438931472,True,True,1.0009979723195692,2,385.33139528716765,162.3037122368996,10.223583568902136,6.00007769852114,355.0,rolled,1.0,False,original,,4800,1,4801,1.6059086322784424,0.0001983642578125,1.6061069965362549,ga,-1,0.16437309509106313,0.3426292523864918
ga,none,6.0,63.63636363636363,431.68145507497405,355,rolled,434.4346226754014,0.0063777759458051,True,True,1.000999972011593,2,411.1754165217207,168.57002548910216,10.8917577520551,6.345584690795913,355.0,rolled,1.0,False,original,,4800,1,4801,1.5015745162963867,0.000169038772583,1.5017435550689695,ga,-1,0.19506413011918622,0.395745589129602
ga,none,6.0,74.54545454545453,466.9500019446189,355,rolled,486.7537477709707,0.0424108485788174,True,True,1.0009999903234554,2,450.5832931337462,165.55016948570062,11.552998846521758,7.152578818773373,355.0,rolled,1.0,False,original,,4800,1,4801,1.4866554737091064,0.0001499652862548,1.486805438995361,ga,-1,0.2612484223483429,0.46809257714498065
ga,none,6.0,85.45454545454545,518.2473353887603,355,rolled,527.8392626159435,0.0185083966133426,True,True,1.0009981761061768,2,463.201322854032,166.65259739407398,13.055709197469575,7.120242652305356,355.0,rolled,1.0,False,original,,4800,1,4801,0.9466383457183838,0.0002002716064453,0.9468386173248292,ga,-1,0.2858204096657655,0.5028419212736426
ga,none,6.0,96.36363636363636,549.7256874002802,355,rolled,558.7745148906232,0.0164606233576895,True,True,1.0009958118354292,2,445.9337655364607,191.2384774753488,13.160973452244582,6.833414946027567,355.0,rolled,1.0,False,original,,4800,1,4801,0.9794149398803712,0.0001285076141357,0.9795434474945068,ga,-1,0.29210380547641557,0.5126977414711746
ga,none,6.0,107.27272727272728,586.6560772595034,355,rolled,591.1742420142319,0.0077015562096188,True,True,0.9985821842736284,2,491.5734923540123,198.13320317757464,11.89667982777765,7.792192597516244,355.0,rolled,1.0,False,original,,4800,1,4801,0.9496011734008788,0.000136375427246,0.949737548828125,ga,-1,0.30333709701193956,0.5188008619889934
ga,none,6.0,118.18181818181816,628.4217050081675,355,rolled,634.378321616042,0.0094786933048359,True,True,1.000999988457829,2,503.3318576934394,188.03423664413737,14.069272160005644,7.742511195634836,355.0,rolled,1.0,False,original,,4800,1,4801,0.921462059020996,0.0001349449157714,0.9215970039367676,ga,-1,0.33705375148861316,0.5569009753162695
