arm,repair_mode,span_m,load_kNm,optimal,optimal_grade,optimal_type,achieved,gap,feasible,feasible_before,utilization,section_class,h,b,tf,tw,fy,section_type,grade_match,repaired,variant,scale,n_ec3_gen,n_ec3_repair,n_ec3,t_gen,t_repair,sec_per_design
e4_sac_seed42,none,6.0,20.0,241.3288087904857,355,rolled,428.6440405125651,0.7761826392003647,True,True,0.5714656007862966,1,250.0,120.0,15.20884090585746,8.008495630080848,460.0,rolled,0.0,False,original,,40,1,41,0.06212806701660156,0.00017642974853515625,0.06230449676513672
e4_sac_seed42,none,6.0,30.909090909090907,292.67799548197263,355,rolled,460.07988437158457,0.5719660906312412,True,True,0.7898177118833942,1,250.0,147.17573561837764,12.664992800246301,12.363178161446857,355.0,rolled,1.0,False,original,,40,1,41,0.0641789436340332,0.00017023086547851562,0.06434917449951172
e4_sac_seed42,none,6.0,41.81818181818181,342.2853688824266,355,rolled,460.85597748733215,0.3464086384762592,True,True,0.7735442057920296,1,361.3443890016657,155.5259797612025,11.249707537160399,8.904736397733084,355.0,rolled,1.0,False,original,,40,1,41,0.05912423133850098,0.0001418590545654297,0.059266090393066406
e4_sac_seed42,none,6.0,52.72727272727273,386.25765574493386,355,rolled,511.76725756107317,0.324937512433462,True,True,0.9935318632932598,1,297.31222516068834,146.69731668706595,15.51415698410118,10.08206255937294,355.0,rolled,1.0,False,original,,40,1,41,0.05984330177307129,0.00013899803161621094,0.0599822998046875
e4_sac_seed42,none,6.0,63.63636363636363,431.68145507497405,355,rolled,549.036801470099,0.2718563538355911,True,True,0.8651247783646758,1,312.73972447252686,188.8389016622593,14.695384740187425,7.811348552945114,355.0,rolled,1.0,False,original,,40,1,41,0.057832956314086914,0.00010633468627929688,0.05793929100036621
e4_sac_seed42,none,6.0,74.54545454545453,466.9500019446189,355,rolled,596.7662752500421,0.2780089362133028,True,True,0.8992098121402528,1,323.40254938476215,196.28983885503294,15.223425941232692,8.40383704059983,355.0,rolled,1.0,False,original,,40,1,41,0.05774545669555664,0.00013875961303710938,0.05788421630859375
e4_sac_seed42,none,6.0,85.45454545454545,518.2473353887603,355,rolled,580.7033384489432,0.12051389133208344,True,True,0.9214876241984141,1,340.6086438771799,181.9640000914332,14.069813326085162,7.062897027683615,460.0,rolled,0.0,False,original,,11,1,12,0.01929640769958496,0.0001456737518310547,0.019442081451416016
e4_sac_seed42,none,6.0,96.36363636363636,549.7256874002802,355,rolled,699.4326953071267,0.27233038465935466,True,True,0.9820115596570236,1,331.3308119159589,205.75857282393196,16.2794245103417,10.679767148228775,355.0,rolled,1.0,False,original,,8,1,9,0.013105154037475586,0.00013446807861328125,0.013239622116088867
e4_sac_seed42,none,6.0,107.27272727272728,586.6560772595034,355,rolled,769.4908481277058,0.3116558030427199,True,True,0.9624719630187029,1,346.55601413188015,182.44778150919842,20.871563114523454,10.710730593648025,355.0,rolled,1.0,False,original,,5,1,6,0.008342266082763672,0.00014495849609375,0.008487224578857422
e4_sac_seed42,none,6.0,118.18181818181816,628.4217050081675,355,rolled,882.2706443938145,0.4039468041326608,True,True,0.887269636568035,2,351.72023345645664,220.95630760428176,16.034766529310847,7.006496734326144,460.0,rolled,0.0,False,original,,40,1,41,0.07273435592651367,0.00019121170043945312,0.07292556762695312
