repair_mode,n_seeds,gap_mean_of_means,gap_mean_std,gap_mean_ci95_lo,gap_mean_ci95_hi,best_seed,best_gap_mean,median_gap_mean,worst_seed,worst_gap_mean,mean_of_gap_median,feasibility_mean
none,5,0.43344106494374374,0.04993722038811299,0.3714358162174567,0.4954463136700308,45,0.3844593160437335,0.4065557695789923,46,0.4972078509251625,0.3748904084903948,1.0
scale,5,0.19499543926533616,0.019933692737593604,0.1702444906418103,0.21974638788886203,45,0.1776097045388998,0.1896549144927515,46,0.2288199837010881,0.16236544359155758,1.0
scale+thin,5,0.09048149163428101,0.020511208586489957,0.06501346237278846,0.11594952089577357,43,0.0685866382791558,0.0981940555971691,45,0.112820236602114,0.0619593134908798,1.0
