span_m,load_kNm,feasible,in_target_band,util,grade,section_type,economy,section_class,region
6.0,20.0,True,False,0.020032973127792272,500.0,welded,3752.034554493274,1,in_distribution
6.0,33.333333333333336,True,False,0.03336120379095724,500.0,welded,3754.28448,1,in_distribution
6.0,46.66666666666667,True,False,0.04670568530734014,500.0,welded,3754.28448,1,in_distribution
6.0,60.0,True,False,0.060050166823723036,500.0,welded,3754.28448,1,in_distribution
6.0,73.33333333333334,True,False,0.07339464834010595,500.0,welded,3754.28448,1,in_distribution
6.0,86.66666666666667,True,False,0.08673912985648882,500.0,welded,3754.28448,1,in_distribution
6.0,100.0,True,False,0.10008361137287172,500.0,welded,3754.28448,1,in_distribution
6.0,113.33333333333334,True,False,0.11342809288925464,500.0,welded,3754.28448,1,in_distribution
6.0,126.66666666666667,True,False,0.12677257440563752,500.0,welded,3754.28448,1,in_distribution
6.0,140.0,True,False,0.14011705592202042,500.0,welded,3754.28448,1,in_distribution
7.0,20.0,True,False,0.028750963375833365,500.0,welded,4358.537276644887,1,in_distribution
7.0,33.333333333333336,True,False,0.048470663053823373,500.0,welded,4349.467862485151,1,in_distribution
7.0,46.66666666666667,True,False,0.06662833599023626,500.0,welded,4379.99856,1,in_distribution
7.0,60.0,True,False,0.08566500341601804,500.0,welded,4379.99856,1,in_distribution
7.0,73.33333333333334,True,False,0.10470167084179985,500.0,welded,4379.99856,1,in_distribution
7.0,86.66666666666667,True,False,0.12373833826758163,500.0,welded,4379.99856,1,in_distribution
7.0,100.0,True,False,0.1427750056933634,500.0,welded,4379.99856,1,in_distribution
7.0,113.33333333333334,True,False,0.1618116731191452,500.0,welded,4379.99856,1,in_distribution
7.0,126.66666666666667,True,False,0.180848340544927,500.0,welded,4379.99856,1,in_distribution
7.0,140.0,True,False,0.19988500797070877,500.0,welded,4379.99856,1,in_distribution
8.0,20.0,True,False,0.040104930873290034,500.0,welded,4949.666598840659,1,in_distribution
8.0,33.333333333333336,True,False,0.06533423542474737,500.0,welded,5005.712639999999,1,in_distribution
8.0,46.66666666666667,True,False,0.09146792959464631,500.0,welded,5005.712639999999,1,in_distribution
8.0,60.0,True,False,0.11760162376454524,500.0,welded,5005.712639999999,1,in_distribution
8.0,73.33333333333334,True,False,0.1437353179344442,500.0,welded,5005.712639999999,1,in_distribution
8.0,86.66666666666667,True,False,0.16986901210434313,500.0,welded,5005.712639999999,1,in_distribution
8.0,100.0,True,False,0.19600270627424207,500.0,welded,5005.712639999999,1,in_distribution
8.0,113.33333333333334,True,False,0.22213640044414104,500.0,welded,5005.712639999999,1,in_distribution
8.0,126.66666666666667,True,False,0.24827009461403995,500.0,welded,5005.712639999999,1,in_distribution
8.0,140.0,True,False,0.2744037887839389,500.0,welded,5005.712639999999,1,in_distribution
9.0,20.0,True,False,0.05511020274200501,500.0,welded,5514.717548077361,1,in_distribution
9.0,33.333333333333336,True,False,0.08714871307204336,500.0,welded,5631.426719999999,1,in_distribution
9.0,46.66666666666667,True,False,0.12200819830086071,500.0,welded,5631.426719999999,1,in_distribution
9.0,60.0,True,False,0.15686768352967803,500.0,welded,5631.426719999999,1,in_distribution
9.0,73.33333333333334,True,False,0.1917271687584954,500.0,welded,5631.426719999999,1,in_distribution
9.0,86.66666666666667,True,False,0.22658665398731273,500.0,welded,5631.426719999999,1,in_distribution
9.0,100.0,True,False,0.2614461392161301,500.0,welded,5631.426719999999,1,in_distribution
9.0,113.33333333333334,True,False,0.2963056244449474,500.0,welded,5631.426719999999,1,in_distribution
9.0,126.66666666666667,True,False,0.3311651096737647,500.0,welded,5631.426719999999,1,in_distribution
9.0,140.0,True,False,0.3660245949025821,500.0,welded,5631.426719999999,1,in_distribution
10.0,20.0,True,False,0.06819875231477517,500.0,welded,6257.140799999999,1,in_distribution
10.0,33.333333333333336,True,False,0.11366458719129194,500.0,welded,6257.140799999999,1,in_distribution
10.0,46.66666666666667,True,False,0.15913042206780872,500.0,welded,6257.140799999999,1,in_distribution
10.0,60.0,True,False,0.20459625694432548,500.0,welded,6257.140799999999,1,in_distribution
10.0,73.33333333333334,True,False,0.25006209182084227,500.0,welded,6257.140799999999,1,in_distribution
10.0,86.66666666666667,True,False,0.29552792669735906,500.0,welded,6257.140799999999,1,in_distribution
10.0,100.0,True,False,0.3409937615738758,500.0,welded,6257.140799999999,1,in_distribution
10.0,113.33333333333334,True,False,0.38645959645039263,500.0,welded,6257.140799999999,1,in_distribution
10.0,126.66666666666667,True,False,0.4319254313269094,500.0,welded,6257.140799999999,1,in_distribution
