costing,space,proposals,span_m,load_kNm,reference,achieved,gap
original,raw,40,6.0,20.0,241.32394330328117,589.6607904981186,1.4434408887354744
original,raw,40,6.0,30.909090909090907,293.1784667866335,632.7694458712258,1.1583080531345313
original,raw,40,6.0,41.81818181818181,342.2463887683556,753.3614254169008,1.2012253456582194
original,raw,40,6.0,52.72727272727273,381.4244664406149,755.1351267995074,0.9797763207124435
original,raw,40,6.0,63.63636363636363,420.0142340236296,714.1303419093625,0.7002527154096072
original,raw,40,6.0,74.54545454545453,446.8639375548273,812.0112174658015,0.8171330224340891
original,raw,40,6.0,85.45454545454545,477.37692626914094,777.2104345362881,0.6280854640597011
original,raw,40,6.0,96.36363636363636,512.46686792508,1044.6622434481567,1.0384971377327772
original,raw,40,6.0,107.27272727272728,535.2426456429821,763.290201619538,0.4260638755766639
original,raw,40,6.0,118.18181818181816,564.7428560600844,855.9351033045847,0.5156191780379418
original,raw,40,6.0,129.0909090909091,594.324631241322,995.3823992354172,0.6748126308620854
original,raw,40,6.0,140.0,627.5758504760335,1175.9655665017856,0.8738222090760559
original,raw,40,6.818181818181818,20.0,318.7579376671374,517.7188837897716,0.6241756599968935
original,raw,40,6.818181818181818,30.909090909090907,391.217405378461,780.4817863666613,0.9950078284774384
original,raw,40,6.818181818181818,41.81818181818181,453.9046681994346,779.9678517975394,0.7183516858100272
original,raw,40,6.818181818181818,52.72727272727273,500.8636251128394,779.6753209302436,0.5566618972471615
original,raw,40,6.818181818181818,63.63636363636363,548.9888134965665,1067.8167113809866,0.9450609650494544
original,raw,40,6.818181818181818,74.54545454545453,589.9325742722189,964.8485774613379,0.6355234810548325
original,raw,40,6.818181818181818,85.45454545454545,633.738385926991,983.7431021319501,0.55228580748347
original,raw,40,6.818181818181818,96.36363636363636,674.2139324503815,922.0143029418037,0.36753967630246054
original,raw,40,6.818181818181818,107.27272727272728,721.7545869895499,1388.0958849631297,0.9232241955716556
original,raw,40,6.818181818181818,118.18181818181816,765.2838592685139,1295.8864224029514,0.6933408521664193
original,raw,40,6.818181818181818,129.0909090909091,809.9367375252903,1129.1795886984178,0.3941577611957121
original,raw,40,6.818181818181818,140.0,872.8903969562454,1329.2515286559403,0.522816075524509
original,raw,40,7.636363636363637,20.0,410.4402624982554,813.2645525262536,0.9814443826151449
original,raw,40,7.636363636363637,30.909090909090907,505.73617341263,1061.4500287853011,1.0988216477037809
original,raw,40,7.636363636363637,41.81818181818181,577.103938384453,1024.8399850752296,0.7758325960210402
original,raw,40,7.636363636363637,52.72727272727273,636.6691386461515,1217.2494230116135,0.9119026651740025
original,raw,40,7.636363636363637,63.63636363636363,695.9762579966414,1159.6906897877866,0.6662790956776905
original,raw,40,7.636363636363637,74.54545454545453,759.9937607556299,1345.3455231823255,0.7702060104344868
original,raw,40,7.636363636363637,85.45454545454545,821.0715784057063,1558.0038812328974,0.8975250419191341
original,raw,40,7.636363636363637,96.36363636363636,885.4130387972486,1224.8196080060775,0.383331342928811
original,raw,40,7.636363636363637,107.27272727272728,972.5059662387416,1605.6257107753597,0.6510188795913183
original,raw,40,7.636363636363637,118.18181818181816,1008.7637482124452,1758.968560384247,0.7436873237179504
original,raw,40,7.636363636363637,129.0909090909091,1053.171608858608,1476.5879733004977,0.402039288640504
original,raw,40,7.636363636363637,140.0,1114.1163843552508,1835.662797440497,0.6476400699401001
original,raw,40,8.454545454545455,20.0,503.5977986749521,1182.6940295188388,1.3484892758282494
original,raw,40,8.454545454545455,30.909090909090907,630.7869497001437,1581.1226500080957,1.5065874472509484
original,raw,40,8.454545454545455,41.81818181818181,717.4096387563654,1483.0197892897158,1.0671868750753628
original,raw,40,8.454545454545455,52.72727272727273,805.5999538966952,1145.494666560912,0.42191501007434606
original,raw,40,8.454545454545455,63.63636363636363,885.8271517939731,1656.7679814225605,0.8703061630785209
original,raw,40,8.454545454545455,74.54545454545453,968.3951313197734,1523.6590440445061,0.5733856922308083
original,raw,40,8.454545454545455,85.45454545454545,1050.1554168290577,1913.1193306174496,0.8217487620966712
original,raw,40,8.454545454545455,96.36363636363636,1161.2113106394324,1886.9939811221093,0.6250220470923742
