span_m,load_kNm,optimal_economy,optimal_grade,optimal_type,agent_economy,agent_grade,agent_type,agent_util,feasible,in_target_band,gap,gap_mass,gap_co2
6.0,20.0,241.3288087904857,355,rolled,349.4279490517721,500.0,rolled,0.9952555139314542,True,True,0.4479330122378168,0.038996566426942596,0.18217145650308356
6.0,30.909090909090907,292.67799548197263,355,rolled,427.70385456034353,500.0,rolled,1.000980903023629,True,True,0.4613461249658168,0.08243697474462086,0.23493791420861657
6.0,41.81818181818181,342.2853688824266,355,rolled,488.9295077083572,500.0,rolled,1.0009857127261277,True,True,0.4284265474294993,0.09512160942523784,0.2410448143156346
6.0,52.72727272727273,386.25765574493386,355,rolled,537.4009905500667,500.0,rolled,1.0009971079454358,True,True,0.3913018487973755,0.09512831172125241,0.2291356551287707
6.0,63.63636363636363,431.68145507497405,355,rolled,591.169370584902,500.0,rolled,1.0009935646394144,True,True,0.369457417350088,0.1086438939171667,0.26031176138344375
6.0,74.54545454545453,466.9500019446189,355,rolled,634.6440487726834,500.0,rolled,1.0009890894664972,True,True,0.35912634356933415,0.12107561711946102,0.27016043572189247
6.0,85.45454545454545,518.2473353887603,355,rolled,667.3780902448591,500.0,rolled,1.0009838341602695,True,True,0.2877598101767936,0.10831683845512391,0.26086266304522104
6.0,96.36363636363636,549.7256874002802,355,rolled,719.3856409022577,500.0,rolled,1.0009856072511472,True,True,0.3086265702887564,0.13405976747526968,0.29229470043088884
6.0,107.27272727272728,586.6560772595034,355,rolled,747.8945600134625,500.0,rolled,1.000987256197373,True,True,0.27484328383192796,0.12407422873996282,0.2749992700307021
6.0,118.18181818181816,628.4217050081675,355,rolled,856.2120348385916,500.0,rolled,1.0009944440766305,True,True,0.3624800480554115,0.23025524248492654,0.3943705934817633
6.0,129.0909090909091,657.4964976148059,355,rolled,877.3397090430292,500.0,rolled,1.000996275468669,True,True,0.3343640798479483,0.2108384395749032,0.3622505185010011
6.0,140.0,697.879425726456,355,rolled,936.2388129276572,500.0,rolled,1.0009955058132698,True,True,0.3415480932871485,0.22970707581287833,0.3906328243259724
6.818181818181818,20.0,317.0885192434045,355,rolled,479.29882407722965,500.0,rolled,1.0009885020072617,True,True,0.5115615829323318,0.08820413155459918,0.23372652540639094
6.818181818181818,30.909090909090907,392.6423822212096,355,rolled,571.0570240009525,500.0,rolled,1.000999877638845,True,True,0.45439476189614825,0.10331510813124863,0.23205373302913548
6.818181818181818,41.81818181818181,455.0251859822217,355,rolled,653.3399921213976,500.0,rolled,1.0009960732029657,True,True,0.4358325917961917,0.10029275149181087,0.23729772344975883
6.818181818181818,52.72727272727273,519.9507333014534,355,rolled,723.2995691197361,500.0,rolled,1.0009898610375882,True,True,0.39109250702871223,0.106467274380217,0.2573053435459235
6.818181818181818,63.63636363636363,570.1996303697795,355,rolled,786.4053591488719,500.0,rolled,1.000998747953215,True,True,0.3791754979547796,0.11435081997118896,0.25585190029020527
