span_m,load_kNm,feasible,in_target_band,util,grade,section_type,economy,section_class,region
6.0,20.0,True,False,0.33316875060886175,355.0,rolled,526.9848119237614,1,in_distribution
6.0,33.333333333333336,True,False,0.40533283643719054,355.0,rolled,611.6951046480858,1,in_distribution
6.0,46.66666666666667,True,False,0.5672280554742694,355.0,rolled,612.6624179287994,1,in_distribution
6.0,60.0,True,False,0.4728784247719733,355.0,rolled,756.953239314232,1,in_distribution
6.0,73.33333333333334,True,False,0.4932797143931535,355.0,rolled,820.2097400604142,1,in_distribution
6.0,86.66666666666667,True,False,0.5366304740744063,355.0,rolled,881.2833157318304,1,in_distribution
6.0,100.0,True,False,0.5917409560428789,355.0,rolled,913.8096266671782,1,in_distribution
6.0,113.33333333333334,True,False,0.5815249102856695,355.0,rolled,1013.3899492197824,1,in_distribution
6.0,126.66666666666667,True,False,0.6961303391493733,355.0,welded,1141.7875295987576,1,in_distribution
6.0,140.0,True,False,0.5801942664768531,355.0,rolled,1147.3751561430252,1,in_distribution
7.0,20.0,True,False,0.37962363509566704,355.0,rolled,715.2936557509803,1,in_distribution
7.0,33.333333333333336,True,False,0.4564330979632434,355.0,rolled,831.2155703437007,1,in_distribution
7.0,46.66666666666667,True,False,0.4985313435715088,355.0,rolled,935.083175556302,1,in_distribution
7.0,60.0,True,False,0.5691047042825419,355.0,rolled,1024.9255022516481,1,in_distribution
7.0,73.33333333333334,True,False,0.6025110226799846,355.0,rolled,1099.20336295984,1,in_distribution
7.0,86.66666666666667,True,False,0.578007890847045,355.0,rolled,1180.0993345334969,1,in_distribution
7.0,100.0,True,True,0.9094216893979111,355.0,rolled,1149.0620494184461,1,in_distribution
7.0,113.33333333333334,True,False,0.6316746712885096,355.0,rolled,1383.1270404899806,1,in_distribution
7.0,126.66666666666667,True,False,0.8831231964323356,355.0,rolled,1340.5362859502384,1,in_distribution
7.0,140.0,True,False,0.6741906278832367,355.0,rolled,1484.7890530830575,1,in_distribution
8.0,20.0,True,False,0.42166091893149477,355.0,rolled,935.0801730768518,1,in_distribution
8.0,33.333333333333336,True,False,0.5028904925691378,355.0,rolled,1086.0709398740353,1,in_distribution
8.0,46.66666666666667,True,False,0.5474406209498803,355.0,rolled,1220.366614188087,1,in_distribution
8.0,60.0,True,False,0.5806473034603675,355.0,rolled,1339.4465302460114,1,in_distribution
8.0,73.33333333333334,True,False,0.6289776593591669,355.0,rolled,1439.447867900055,1,in_distribution
8.0,86.66666666666667,True,False,0.665745054789434,355.0,rolled,1522.139777616336,1,in_distribution
8.0,100.0,True,False,0.6122590437024952,355.0,rolled,1758.0190743751843,1,in_distribution
8.0,113.33333333333334,True,False,0.6369918969197657,355.0,rolled,1718.7785948640994,2,in_distribution
8.0,126.66666666666667,True,False,0.6578925351655599,355.0,rolled,1916.5083451016365,1,in_distribution
8.0,140.0,True,True,0.9121431232526923,355.0,welded,1992.6698121105949,1,in_distribution
9.0,20.0,True,False,0.46035675538556703,355.0,rolled,1184.8419891791673,1,in_distribution
9.0,33.333333333333336,True,False,0.6602530064555203,355.0,rolled,1273.3125701922472,2,in_distribution
9.0,46.66666666666667,True,False,0.5965311853585453,355.0,rolled,1539.8407156235705,1,in_distribution
9.0,60.0,True,False,0.6340505425987115,355.0,rolled,1685.7344455500142,1,in_distribution
9.0,73.33333333333334,True,False,0.6755211683140441,355.0,rolled,1811.5709374788028,1,in_distribution
9.0,86.66666666666667,True,False,0.6973037445635508,355.0,rolled,1909.8208861218998,1,in_distribution
9.0,100.0,True,False,0.6191770068186464,355.0,rolled,2279.5112274322178,1,in_distribution
9.0,113.33333333333334,True,False,0.6821744088498564,355.0,rolled,2297.2050697356244,1,in_distribution
9.0,126.66666666666667,True,False,0.6882140232982583,355.0,rolled,2412.8532318958946,1,in_distribution
9.0,140.0,True,False,0.7039002413937601,355.0,rolled,2532.428114472,1,in_distribution
10.0,20.0,True,False,0.49703925474685146,355.0,rolled,1461.1980136480345,1,in_distribution
10.0,33.333333333333336,True,False,0.5906873085761504,355.0,rolled,1691.6258984009762,1,in_distribution
10.0,46.66666666666667,True,False,0.6464873316688311,355.0,rolled,1889.3069250033984,1,in_distribution
10.0,60.0,True,False,0.6859694195112421,355.0,rolled,2064.494539015264,1,in_distribution
10.0,73.33333333333334,True,False,0.7137500793907067,355.0,rolled,2219.8626596756267,1,in_distribution
10.0,86.66666666666667,True,False,0.6582218584556858,355.0,rolled,2564.2641604994956,1,in_distribution
10.0,100.0,True,False,0.7447909555107909,355.0,rolled,2631.893845443988,1,in_distribution
10.0,113.33333333333334,True,False,0.7970191298301655,355.0,rolled,2993.9533467708534,1,in_distribution
10.0,126.66666666666667,True,False,0.8138365066707858,355.0,rolled,3139.5748651355275,2,in_distribution
10.0,140.0,True,False,0.8361487124757035,355.0,rolled,3281.980410181775,2,in_distribution
