arm,repair_mode,n,feasibility,gap_mean,gap_median,gap_sd,gap_p90,gap_p95,gap_worst,within_1pct,within_5pct,within_10pct,util_mean,class_mean,grade_match,repaired_frac,ec3_gen_per_design,ec3_repair_per_design,ec3_evals_per_design,sec_per_design,sec_per_design_sd
corrcost_gated_merged_seed43,none,142,1.0,0.22650964391454204,0.19174253812415346,0.1257533081955193,0.3551559594514009,0.4064200998153072,0.9623924235530933,0.0,0.007042253521126761,0.035211267605633804,0.8410416222966549,1.4507042253521127,0.8380281690140845,0.0,38.429577464788736,1.0,39.429577464788736,0.04786829041763091,0.029867623591764616
corrcost_gated_merged_seed43,scale,142,1.0,0.11336534314782774,0.09522002417605202,0.11020700363383319,0.19030787708188818,0.23101135029767045,0.8264174599146379,0.02112676056338028,0.2112676056338028,0.5352112676056338,1.0009764228951596,1.443661971830986,0.8380281690140845,1.0,38.429577464788736,18.0,56.429577464788736,0.04891336635804512,0.029945293917207055
corrcost_gated_merged_seed43,scale+thin,142,1.0,0.06631297555835079,0.047521415060498534,0.08105228936474106,0.12369505703584315,0.1320397012723904,0.625011837504836,0.04929577464788732,0.5211267605633803,0.852112676056338,1.0009847204097224,1.528169014084507,0.8380281690140845,1.0,38.429577464788736,70.28169014084507,108.71126760563381,0.052224249906942875,0.030040812099226294
corrcost_gated_merged_seed43,scale+thin_rolled,142,1.0,0.09370675715701485,0.08028571071806509,0.09578825313244019,0.1347053773439087,0.1524955932535149,0.7643481733421102,0.02112676056338028,0.2605633802816901,0.676056338028169,1.0008053970345696,1.7887323943661972,0.8380281690140845,1.0,38.429577464788736,37.063380281690144,75.49295774647888,0.050113219610402285,0.029983146945062135
ga,none,142,1.0,0.017200432169459417,0.007256937016994576,0.04055485571593808,0.04894107281666824,0.0673468283233075,0.3658200997110084,0.5774647887323944,0.9014084507042254,0.9788732394366197,1.0006112190651861,1.823943661971831,0.8802816901408451,0.0,4800.0,1.0,4801.0,0.9283467380093856,0.1958271998436107
ga,scale,142,1.0,0.016983082263854286,0.006878534412301931,0.0405175852299362,0.04893149867052699,0.0673468283233075,0.3658200997110084,0.5845070422535211,0.9014084507042254,0.9788732394366197,1.0009894531341696,1.823943661971831,0.8802816901408451,0.30985915492957744,4800.0,18.0,4818.0,0.9294087551009487,0.1960520450530249
ga,scale+thin,142,1.0,0.014739316904560611,0.00539598954164669,0.04029662508371761,0.04562896265023234,0.06536806941509903,0.3658200997110084,0.6267605633802817,0.9084507042253521,0.9788732394366197,1.0009909598614823,1.8309859154929577,0.8802816901408451,0.4788732394366197,4800.0,67.84507042253522,4867.845070422535,0.9328192438877804,0.19686466619988344
ga,scale+thin_rolled,142,1.0,0.015811019951771196,0.006466546404187926,0.0398120803348228,0.042333264832549046,0.06225993042566336,0.3658200997110084,0.5985915492957746,0.9154929577464789,0.9788732394366197,1.0009900340441542,1.880281690140845,0.8802816901408451,0.3591549295774648,4800.0,37.2112676056338,4837.211267605634,0.9307038112425469,0.19630397052743845
