arm,repair_mode,span_m,load_kNm,optimal,optimal_grade,optimal_type,achieved,gap,feasible,feasible_before,utilization,section_class,h,b,tf,tw,fy,section_type,grade_match,repaired,variant,scale,n_ec3_gen,n_ec3_repair,n_ec3,t_gen,t_repair,sec_per_design
e5_ppo_s43_anneal_logrel,none,6.0,20.0,241.3288087904857,355,rolled,505.7041921942098,1.095498646550925,True,True,0.33439650908439755,1,387.8210292086881,127.30244642728194,16.41424225452767,8.370830607957213,355.0,rolled,1.0,False,original,,40,1,41,0.034241676330566406,0.000110626220703125,0.03435230255126953
e5_ppo_s43_anneal_logrel,none,6.0,30.909090909090907,292.67799548197263,355,rolled,521.8591060810713,0.7830486546202104,True,True,0.41423249813031016,1,422.8264631694535,150.31162372894795,14.797192182307963,7.453058407184352,355.0,rolled,1.0,False,original,,40,1,41,0.03262209892272949,0.00010347366333007812,0.03272557258605957
e5_ppo_s43_anneal_logrel,none,6.0,41.81818181818181,342.2853688824266,355,rolled,553.893539063872,0.6182214883223122,True,True,0.4578314324132287,1,439.34016538856434,179.05162802876222,13.82389193446941,6.999770825063154,355.0,rolled,1.0,False,original,,40,1,41,0.03433656692504883,0.0001468658447265625,0.03448343276977539
e5_ppo_s43_anneal_logrel,none,6.0,52.72727272727273,386.25765574493386,355,rolled,609.5519156586256,0.5780966580016336,True,True,0.4874541176660256,2,477.24300956883144,184.5779948495691,14.143680995067138,7.568511097012901,355.0,rolled,1.0,False,original,,40,1,41,0.035776376724243164,0.00011801719665527344,0.03589439392089844
e5_ppo_s43_anneal_logrel,none,6.0,63.63636363636363,431.68145507497405,355,rolled,661.4824793127584,0.5323393477671463,True,True,0.5154153998081186,1,504.48684059534213,190.226818215381,14.399756178311662,8.146141476618496,355.0,rolled,1.0,False,original,,40,1,41,0.03928184509277344,0.00010180473327636719,0.039383649826049805
e5_ppo_s43_anneal_logrel,none,6.0,74.54545454545453,466.9500019446189,355,rolled,711.0033676851152,0.5226541700913012,True,True,0.5252527407291864,2,538.9588308180984,196.2687087050454,14.670293176490016,8.427973874430037,355.0,rolled,1.0,False,original,,40,1,41,0.03552079200744629,0.00012230873107910156,0.03564310073852539
e5_ppo_s43_anneal_logrel,none,6.0,85.45454545454545,518.2473353887603,355,rolled,757.6428738062334,0.46193298463925886,True,True,0.5418103900271126,2,561.6577994793738,201.4033821138604,14.964188880723256,8.811814374195706,355.0,rolled,1.0,False,original,,40,1,41,0.03450369834899902,0.00010251998901367188,0.034606218338012695
e5_ppo_s43_anneal_logrel,none,6.0,96.36363636363636,549.7256874002802,355,rolled,803.0816054962452,0.4608769862913192,True,True,0.5512464260202125,2,588.3858835456282,205.09712222713696,15.302333361174203,9.105287765415218,355.0,rolled,1.0,False,original,,40,1,41,0.03367257118225098,0.00010323524475097656,0.03377580642700195
e5_ppo_s43_anneal_logrel,none,6.0,107.27272727272728,586.6560772595034,355,rolled,861.2401986032289,0.46804956428034256,True,True,0.5581614182448247,2,604.4060394021736,209.07965019319528,15.815373602759582,9.71535052780395,355.0,rolled,1.0,False,original,,40,1,41,0.03478860855102539,0.00010657310485839844,0.03489518165588379
e5_ppo_s43_anneal_logrel,none,6.0,118.18181818181816,628.4217050081675,355,rolled,908.6921514006561,0.44599103461718603,True,True,0.564707547378062,1,622.632651499448,213.17616253971602,16.208769315586732,10.061397976692701,355.0,rolled,1.0,False,original,,40,1,41,0.033759355545043945,0.00010275840759277344,0.03386211395263672
e5_ppo_s43_anneal_logrel,none,6.0,129.0909090909091,657.4964976148059,355,rolled,954.629448478852,0.45191564052729205,True,True,0.5692912937864135,1,640.3512611003582,217.25192605642457,16.59488674872486,10.356475862890136,355.0,rolled,1.0,False,original,,40,1,41,0.03405046463012695,0.00010251998901367188,0.034152984619140625
e5_ppo_s43_anneal_logrel,none,6.0,140.0,697.879425726456,355,rolled,1000.5724369637057,0.43373253326985833,True,True,0.5715807611144853,1,657.8435926711231,221.35708901152015,16.975154198107788,10.631777257290047,355.0,rolled,1.0,False,original,,40,1,41,0.03487563133239746,0.0001327991485595703,0.03500843048095703
e5_ppo_s43_anneal_logrel,none,6.818181818181818,20.0,317.0885192434045,355,rolled,604.288132935482,0.9057395530350831,True,True,0.4327529471833162,1,405.91493901510916,129.76562410480898,16.43859647715241,8.720361220204001,355.0,rolled,1.0,False,original,,40,1,41,0.034125566482543945,9.989738464355469e-05,0.0342254638671875
e5_ppo_s43_anneal_logrel,none,6.818181818181818,30.909090909090907,392.6423822212096,355,rolled,693.4129940269088,0.7660166742678558,True,True,0.4561637652786281,1,446.43503100534286,156.96496338051782,16.398959027756586,8.413749185125603,355.0,rolled,1.0,False,original,,40,1,41,0.03481006622314453,0.00010323524475097656,0.03491330146789551
e5_ppo_s43_anneal_logrel,none,6.818181818181818,41.81818181818181,455.0251859822217,355,rolled,730.9472675738772,0.6063885914271919,True,True,0.49420010434409417,1,463.52624697669233,190.36529402366173,15.196783805016246,7.640923437599268,355.0,rolled,1.0,False,original,,40,1,41,0.03451204299926758,0.00011849403381347656,0.034630537033081055
e5_ppo_s43_anneal_logrel,none,6.818181818181818,52.72727272727273,519.9507333014534,355,rolled,798.3258354755263,0.5353874595127815,True,True,0.5275457319819413,1,504.28824827559976,196.95625662708744,15.423398200915713,8.14959885779977,355.0,rolled,1.0,False,original,,40,1,41,0.03511452674865723,0.00010347366333007812,0.035218000411987305
e5_ppo_s43_anneal_logrel,none,6.818181818181818,63.63636363636363,570.1996303697795,355,rolled,864.3374237504313,0.5158505507797346,True,True,0.5457199875750852,2,541.7839174730035,203.78054701200497,15.787799884498943,8.468576338787514,355.0,rolled,1.0,False,original,,40,1,41,0.034088850021362305,0.00010323524475097656,0.03419208526611328
e5_ppo_s43_anneal_logrel,none,6.818181818181818,74.54545454545453,645.0378754655677,355,rolled,925.8739905451774,0.4353792633911787,True,True,0.569589386171031,2,565.9043640091725,209.52512656945993,16.185035521449926,8.88154216606163,355.0,rolled,1.0,False,original,,40,1,41,0.034288644790649414,9.775161743164062e-05,0.034386396408081055
e5_ppo_s43_anneal_logrel,none,6.818181818181818,85.45454545454545,698.212152166206,355,rolled,994.652434236323,0.424570499310861,True,True,0.5830814006878066,2,591.0137787729971,213.57581344289477,16.73902838325888,9.374609798461977,355.0,rolled,1.0,False,original,,40,1,41,0.0357975959777832,0.00010752677917480469,0.03590512275695801
e5_ppo_s43_anneal_logrel,none,6.818181818181818,96.36363636363636,733.8166260116295,355,rolled,1057.594058408104,0.4412238983412503,True,True,0.5881088112887397,2,621.5858259975157,216.79618675714144,17.321478151922115,9.62534102197283,355.0,rolled,1.0,False,original,,40,1,41,0.0349125862121582,0.00019502639770507812,0.03510761260986328
e5_ppo_s43_anneal_logrel,none,6.818181818181818,107.27272727272728,798.4291807439346,355,rolled,1120.7802080628364,0.403731520707387,True,True,0.5961600441935216,2,640.7990678555656,221.81989126282403,17.822770542475872,9.979850662959153,355.0,rolled,1.0,False,original,,40,1,41,0.03469419479370117,0.00012803077697753906,0.03482222557067871
e5_ppo_s43_anneal_logrel,none,6.818181818181818,118.18181818181816,852.2289524013323,460,rolled,1157.6063323751237,0.35832786378980325,True,True,0.6165966483727517,2,652.181681480558,228.89818306243242,17.917128937933672,10.062627882686554,355.0,rolled,0.0,False,original,,40,1,41,0.03542661666870117,0.00013566017150878906,0.03556227684020996
e5_ppo_s43_anneal_logrel,none,6.818181818181818,129.0909090909091,896.311601431932,355,rolled,1240.9640505455916,0.3845230258796704,True,True,0.6037143831193411,2,679.3667969324727,232.16574736472396,18.715286872947853,10.517588909981237,355.0,rolled,1.0,False,original,,40,1,41,0.03528881072998047,0.00010824203491210938,0.03539705276489258
e5_ppo_s43_anneal_logrel,none,6.818181818181818,140.0,931.1411275891702,355,rolled,1277.104807510287,0.37154806040718646,True,True,0.7708518104924268,1,608.9394578812194,212.38572789939403,18.939960544976962,13.739854567103327,355.0,rolled,1.0,False,original,,40,1,41,0.04747462272644043,0.0001537799835205078,0.04762840270996094
e5_ppo_s43_anneal_logrel,none,7.636363636363637,20.0,409.6201332461394,355,rolled,777.9378938864332,0.8991690855658525,True,True,0.4576854896379152,1,426.0264992248847,139.35118958573509,17.866542730128415,9.386600985237138,355.0,rolled,1.0,False,original,,40,1,41,0.03575778007507324,0.00010967254638671875,0.03586745262145996
e5_ppo_s43_anneal_logrel,none,7.636363636363637,30.909090909090907,501.774525145321,355,rolled,920.6130597506915,0.8347146250281816,True,True,0.5836674609099182,1,352.2946449463627,175.84913560841701,17.952000063280384,12.37212965670051,355.0,rolled,1.0,False,original,,40,1,41,0.03605151176452637,0.00010633468627929688,0.036157846450805664
e5_ppo_s43_anneal_logrel,none,7.636363636363637,41.81818181818181,593.9298338756057,355,rolled,956.5116534750123,0.6104792164310552,True,True,0.5987893747970281,1,506.1117849054288,171.85930527619558,16.65390105157933,10.369403143506904,355.0,rolled,1.0,False,original,,40,1,41,0.035630226135253906,0.00010323524475097656,0.03573346138000488
e5_ppo_s43_anneal_logrel,none,7.636363636363637,52.72727272727273,675.9362632758116,355,rolled,1020.9505781049451,0.5104243307750342,True,True,0.5613796624749853,1,528.4643841637132,208.68922955511434,16.92190284720967,8.653171550687286,355.0,rolled,1.0,False,original,,40,1,41,0.03537440299987793,0.0001010894775390625,0.03547549247741699
e5_ppo_s43_anneal_logrel,none,7.636363636363637,63.63636363636363,779.5020738899598,355,rolled,1100.3617507047306,0.41162132541043855,True,True,0.5819096517568412,2,565.9983949382129,216.33791917838988,17.350361428666403,8.88025580151675,355.0,rolled,1.0,False,original,,40,1,41,0.0378878116607666,0.00011014938354492188,0.03799796104431152
e5_ppo_s43_anneal_logrel,none,7.636363636363637,74.54545454545453,846.6406079690952,355,rolled,1194.1101965470145,0.41040978345159057,True,True,0.5936111009938443,2,602.9791198963914,218.54263142170169,18.24699664017641,9.34041071659143,355.0,rolled,1.0,False,original,,40,1,41,0.04044222831726074,0.00011110305786132812,0.04055333137512207
