arm,repair_mode,span_m,load_kNm,optimal,optimal_grade,optimal_type,achieved,gap,feasible,feasible_before,utilization,section_class,h,b,tf,tw,fy,section_type,grade_match,repaired,variant,scale,n_ec3_gen,n_ec3_repair,n_ec3,t_gen,t_repair,sec_per_design
gated_cost_merged_seed42,none,6.0,20.0,241.3288087904857,355,rolled,313.8746872292073,0.30061010453875703,True,True,0.6253569308651461,2,302.9640934208881,145.81566448886363,9.371081376126753,6.0,355.0,rolled,1.0,False,original,,40,1,41,0.09736251831054688,0.00014495849609375,0.09750747680664062
gated_cost_merged_seed42,none,6.0,30.909090909090907,292.67799548197263,355,rolled,367.7011439491176,0.2563334094987198,True,True,0.7171214692298213,1,323.0212602608081,158.82297111972272,10.669922951494913,6.0,355.0,rolled,1.0,False,original,,40,1,41,0.04285311698913574,0.00015354156494140625,0.04300665855407715
gated_cost_merged_seed42,none,6.0,41.81818181818181,342.2853688824266,355,rolled,413.30924400129163,0.20749900981967295,True,True,0.7455181483852465,1,365.94206196951114,168.35421804482644,11.236538469435157,6.0,355.0,rolled,1.0,False,original,,40,1,41,0.041445255279541016,0.00013899803161621094,0.04158425331115723
gated_cost_merged_seed42,none,6.0,52.72727272727273,386.25765574493386,355,rolled,539.797639636737,0.3975066425432708,True,True,0.8371902742523472,1,364.9264455559026,166.7290750913956,13.161855515364262,6.0,355.0,rolled,1.0,False,original,,40,1,41,0.043778181076049805,0.0001304149627685547,0.04390859603881836
gated_cost_merged_seed42,none,6.0,63.63636363636363,431.68145507497405,355,rolled,575.2586134331511,0.332599783174009,True,True,0.7305813607573597,1,415.53075794350536,166.18535025498682,15.494312938018748,7.760872777085837,355.0,rolled,1.0,False,original,,40,1,41,0.04833841323852539,0.00012922286987304688,0.04846763610839844
gated_cost_merged_seed42,none,6.0,74.54545454545453,466.9500019446189,355,rolled,592.6487470934956,0.2691910153665332,True,True,0.7595484135465476,1,449.48599177814856,179.77309848359454,14.157595753541322,7.811147988400254,355.0,rolled,1.0,False,original,,40,1,41,0.04667854309082031,0.00017714500427246094,0.04685568809509277
gated_cost_merged_seed42,none,6.0,85.45454545454545,518.2473353887603,355,rolled,628.0139519965306,0.21180353300886626,True,True,0.7825878109451105,1,470.05555901875795,179.7937567733169,15.130686606104257,7.820476712224938,355.0,rolled,1.0,False,original,,40,1,41,0.041089534759521484,0.0001380443572998047,0.04122757911682129
gated_cost_merged_seed42,none,6.0,96.36363636363636,549.7256874002802,355,rolled,777.128901151628,0.41366670498292585,True,True,0.8570262824318196,1,433.9622622445217,185.72902424805926,17.143581459718654,7.194156487123952,355.0,rolled,1.0,False,original,,40,1,41,0.04077649116516113,0.0001571178436279297,0.04093360900878906
gated_cost_merged_seed42,none,6.0,107.27272727272728,586.6560772595034,355,rolled,778.0593318868406,0.32626143672022556,True,True,0.9215913686406253,2,439.75149861557446,192.91719431377868,16.77627930656236,6.847994051784621,355.0,rolled,1.0,False,original,,40,1,41,0.06171607971191406,0.000141143798828125,0.06185722351074219
gated_cost_merged_seed42,none,6.0,118.18181818181816,628.4217050081675,355,rolled,781.4971955975113,0.2435872112140913,True,True,0.7911371991568866,1,486.3418348912418,205.4205294951546,17.06458014013142,8.93307729043907,355.0,rolled,1.0,False,original,,40,1,41,0.0421602725982666,0.00013136863708496094,0.04229164123535156
gated_cost_merged_seed42,none,6.0,129.0909090909091,657.4964976148059,355,rolled,838.2785922824035,0.27495522078584317,True,True,0.7099127576214176,1,562.8746274510042,219.97963814428846,15.560327576773721,9.416887765233785,355.0,rolled,1.0,False,original,,40,1,41,0.04328274726867676,0.00012826919555664062,0.0434110164642334
gated_cost_merged_seed42,none,6.0,140.0,697.879425726456,355,rolled,1000.2845430187367,0.4333200065003962,True,True,0.7710572927855376,2,523.796059449287,212.4296869837456,19.235180487202456,7.676271979753251,355.0,rolled,1.0,False,original,,40,1,41,0.04206728935241699,0.0001685619354248047,0.0422358512878418
gated_cost_merged_seed42,none,6.818181818181818,20.0,317.0885192434045,355,rolled,416.20711771467444,0.31258967908322216,True,True,0.6238406493613372,2,339.0739751453657,159.93637560085673,10.21381847082731,6.0,355.0,rolled,1.0,False,original,,40,1,41,0.05303502082824707,0.00013184547424316406,0.053166866302490234
gated_cost_merged_seed42,none,6.818181818181818,30.909090909090907,392.6423822212096,355,rolled,483.67275644073413,0.2318404185115178,True,True,0.7170593924502087,1,370.7496538985997,170.45689379309894,11.534934994765923,6.0,355.0,rolled,1.0,False,original,,40,1,41,0.048773765563964844,0.0001342296600341797,0.04890799522399902
gated_cost_merged_seed42,none,6.818181818181818,41.81818181818181,455.0251859822217,355,rolled,630.8302529375261,0.38636337585536035,True,True,0.6881293417551227,1,453.25858221383834,168.53588680167263,12.36782714417134,8.589459044742359,355.0,rolled,1.0,False,original,,40,1,41,0.04189729690551758,0.0001266002655029297,0.04202389717102051
gated_cost_merged_seed42,none,6.818181818181818,52.72727272727273,519.9507333014534,355,rolled,676.907676186859,0.30186887493897663,True,True,0.9426347355130207,2,392.69662068708925,172.52787089857077,14.198927898598537,6.0,355.0,rolled,1.0,False,original,,40,1,41,0.04883098602294922,0.0001399517059326172,0.048970937728881836
gated_cost_merged_seed42,none,6.818181818181818,63.63636363636363,570.1996303697795,355,rolled,723.8180584710425,0.2694116585127215,True,True,0.9921314709468847,2,410.6198533003531,181.11952079510257,14.549641289918512,6.043654557426146,355.0,rolled,1.0,False,original,,40,1,41,0.04435610771179199,0.0002052783966064453,0.04456138610839844
gated_cost_merged_seed42,none,6.818181818181818,74.54545454545453,645.0378754655677,355,rolled,656.4860627516109,0.01774808537836677,True,True,0.9926483458626593,2,463.14389634779405,193.12331503845834,13.003507792866841,7.197535171553937,355.0,rolled,1.0,False,original,,40,1,41,0.04144024848937988,0.0001385211944580078,0.04157876968383789
gated_cost_merged_seed42,none,6.818181818181818,85.45454545454545,698.212152166206,355,rolled,955.1399839052995,0.3679796046831523,True,True,0.8506612352029529,2,476.6638340992686,197.49614061812073,17.198040412375963,7.245356163282432,355.0,rolled,1.0,False,original,,40,1,41,0.0450284481048584,0.0001392364501953125,0.04516768455505371
gated_cost_merged_seed42,none,6.818181818181818,96.36363636363636,733.8166260116295,355,rolled,952.6447015863826,0.29820539330664475,True,True,0.9753016834362258,1,473.72119450586433,198.14094043095918,16.802107999281084,7.527524747356579,355.0,rolled,1.0,False,original,,40,1,41,0.042308807373046875,0.00014662742614746094,0.042455434799194336
gated_cost_merged_seed42,none,6.818181818181818,107.27272727272728,798.4291807439346,355,rolled,1066.303193576883,0.33550128088173997,True,True,0.7652643660126718,1,512.7222887610625,213.11926820511496,19.18633853825016,10.731324993828013,355.0,rolled,1.0,False,original,,40,1,41,0.04430818557739258,0.000133514404296875,0.04444169998168945
gated_cost_merged_seed42,none,6.818181818181818,118.18181818181816,860.6462645405438,355,rolled,1028.983918957134,0.1955944751662371,True,True,0.8272748087415132,1,547.7273675526696,208.7349841319651,18.719448326285764,9.777162607492551,355.0,rolled,1.0,False,original,,40,1,41,0.05384087562561035,0.0001499652862548828,0.053990840911865234
gated_cost_merged_seed42,none,6.818181818181818,129.0909090909091,896.311601431932,355,rolled,1251.775949042292,0.3965856818571536,True,True,0.6187288424952558,1,614.1039230995841,245.64148105146344,20.006036479195284,10.011689817581285,355.0,rolled,1.0,False,original,,40,1,41,0.045601844787597656,0.00014400482177734375,0.045745849609375
gated_cost_merged_seed42,none,6.818181818181818,140.0,931.1411275891702,355,rolled,1108.7633551312674,0.19075757936069399,True,True,0.8660135557577151,1,562.2433255168103,218.78850671246425,19.505092510865047,10.056171402489044,355.0,rolled,1.0,False,original,,40,1,41,0.05715465545654297,0.0003299713134765625,0.05748462677001953
gated_cost_merged_seed42,none,7.636363636363637,20.0,409.6201332461394,355,rolled,527.5962246537443,0.2880134100652555,True,True,0.6488711732452247,1,368.12438803634535,170.37867665272876,11.11125381756294,6.0,355.0,rolled,1.0,False,original,,40,1,41,0.04695749282836914,0.00016617774963378906,0.04712367057800293
gated_cost_merged_seed42,none,7.636363636363637,30.909090909090907,501.774525145321,355,rolled,701.4218042621717,0.39788245339683204,True,True,0.8612256403425366,1,367.5072923648176,169.40912101852814,13.31057492750995,6.0,355.0,rolled,1.0,False,original,,40,1,41,0.043695926666259766,0.00015926361083984375,0.04385519027709961
gated_cost_merged_seed42,none,7.636363636363637,41.81818181818181,593.9298338756057,355,rolled,766.1053453438255,0.28989200684652044,True,True,0.953676997893728,2,394.46019002595864,181.57467843237043,13.649250382635655,6.0,355.0,rolled,1.0,False,original,,40,1,41,0.041580915451049805,0.0001323223114013672,0.04171323776245117
gated_cost_merged_seed42,none,7.636363636363637,52.72727272727273,675.9362632758116,355,rolled,727.4619224801852,0.0762285765741627,True,True,0.951260314086503,2,468.80367600742136,189.2048758577838,12.903656442697361,7.221985751918394,355.0,rolled,1.0,False,original,,40,1,41,0.04840207099914551,0.00020766258239746094,0.04860973358154297
gated_cost_merged_seed42,none,7.636363636363637,63.63636363636363,779.5020738899598,355,rolled,1104.4816490919943,0.4169066203766265,True,True,0.8304279174663376,1,455.6010715035132,195.3422528853633,18.589016810088076,7.312129011915799,355.0,rolled,1.0,False,original,,40,1,41,0.058653831481933594,0.00014138221740722656,0.05879521369934082
gated_cost_merged_seed42,none,7.636363636363637,74.54545454545453,846.6406079690952,355,rolled,1198.1548569410766,0.41518708843317453,True,True,0.811570271780046,2,501.1143455249861,204.22068559577204,18.825772447562905,7.569558406437696,355.0,rolled,1.0,False,original,,40,1,41,0.04281759262084961,0.0001380443572998047,0.042955636978149414
