span_m,load_kNm,optimal_economy,optimal_grade,optimal_type,agent_economy,agent_grade,agent_type,agent_util,feasible,wall_time_s,gap
6.0,20.0,241.32394330328117,355,rolled,241.32376135121618,355.0,rolled,1.0009999962286629,True,0.954758882522583,-7.539743570452652e-07
6.0,30.909090909090907,293.1784667866335,355,rolled,291.84538595137604,355.0,rolled,1.000878124982647,True,0.9682903289794922,-0.004546994361041026
6.0,41.81818181818181,342.2463887683556,355,rolled,342.92167275647967,355.0,rolled,1.000998955937514,True,1.359586238861084,0.001973093099840229
6.0,52.72727272727273,381.4244664406149,355,rolled,380.87097502536983,355.0,rolled,1.0009772280205547,True,1.6326613426208496,-0.0014511167057796044
6.0,63.63636363636363,420.0142340236296,355,rolled,427.07348420408164,355.0,rolled,1.0009999909439204,True,1.5918798446655273,0.016807168920982007
6.0,74.54545454545453,446.8639375548273,355,rolled,464.745449042994,355.0,rolled,1.0008616328058644,True,1.05180025100708,0.04001556175244667
6.0,85.45454545454545,477.37692626914094,355,rolled,499.71045728202773,355.0,rolled,1.0009991917347323,True,0.9836580753326416,0.04678385104917146
6.0,96.36363636363636,512.46686792508,355,rolled,510.4834153295626,355.0,rolled,1.0008185688134432,True,1.0232443809509277,-0.0038704016194221094
6.0,107.27272727272728,535.2426456429821,355,rolled,546.939496261483,355.0,rolled,1.0009855363351268,True,1.0394318103790283,0.02185336073968764
6.0,118.18181818181816,564.7428560600844,355,rolled,583.6576341605125,355.0,rolled,0.9948735648111322,True,0.9798755645751953,0.033492726640911755
6.0,129.0909090909091,594.324631241322,355,rolled,611.6526546901032,460.0,rolled,1.000999805432558,True,0.9104232788085938,0.029155822488106282
6.0,140.0,627.5758504760335,355,rolled,653.4789387100395,460.0,rolled,1.0009803487198436,True,1.158080816268921,0.04127483269848239
6.818181818181818,20.0,318.7579376671374,355,rolled,319.03462197738855,355.0,rolled,1.0009999759870989,True,1.2991626262664795,0.0008680075930848469
6.818181818181818,30.909090909090907,391.217405378461,355,rolled,396.6853098527431,355.0,rolled,1.0009979165947687,True,1.5744972229003906,0.013976639073592511
6.818181818181818,41.81818181818181,453.9046681994346,355,rolled,455.70668986641357,355.0,rolled,0.9997906336804658,True,1.8630588054656982,0.003970044357832476
6.818181818181818,52.72727272727273,500.8636251128394,355,rolled,502.4396445711369,355.0,rolled,1.0009679506460787,True,1.6485931873321533,0.003146603944222295
6.818181818181818,63.63636363636363,548.9888134965665,355,rolled,550.471074383156,355.0,rolled,1.0009999094287763,True,1.0593361854553223,0.0026999837704319374
6.818181818181818,74.54545454545453,589.9325742722189,355,rolled,590.6764310625056,355.0,rolled,1.0009986706917215,True,0.9999048709869385,0.0012609183196984606
6.818181818181818,85.45454545454545,633.738385926991,355,rolled,645.7068786877857,355.0,rolled,0.9980970080032807,True,1.0531456470489502,0.01888554177334224
6.818181818181818,96.36363636363636,674.2139324503815,355,rolled,679.6249795518299,355.0,rolled,0.9998131204137212,True,0.9778878688812256,0.008025712375569476
6.818181818181818,107.27272727272728,721.7545869895499,355,rolled,727.6730582427292,355.0,rolled,0.9995252709601503,True,1.0291481018066406,0.008200115884078174
6.818181818181818,118.18181818181816,765.2838592685139,355,rolled,772.971820197017,355.0,rolled,1.000967268520058,True,0.9366357326507568,0.010045894520565936
6.818181818181818,129.0909090909091,809.9367375252903,355,rolled,817.60190567662,355.0,rolled,1.0009999863728543,True,0.9681429862976074,0.00946390970577557
6.818181818181818,140.0,872.8903969562454,355,rolled,855.7298201443613,355.0,rolled,1.0009978106490165,True,0.9582455158233643,-0.01965948631319893
7.636363636363637,20.0,410.4402624982554,355,rolled,411.16662851952685,355.0,rolled,1.0009999606403797,True,0.9910924434661865,0.0017697240929782357
7.636363636363637,30.909090909090907,505.73617341263,355,rolled,506.0848173385664,355.0,rolled,1.0009999352347785,True,1.0740933418273926,0.000689379056245398
7.636363636363637,41.81818181818181,577.103938384453,355,rolled,582.8502328071899,355.0,rolled,0.9831912310450279,True,1.5578644275665283,0.009957122175986198
7.636363636363637,52.72727272727273,636.6691386461515,355,rolled,658.6972285204813,355.0,rolled,1.000996708428243,True,1.6269071102142334,0.03459895970640503
7.636363636363637,63.63636363636363,695.9762579966414,355,rolled,730.0205447770737,355.0,rolled,0.9842156275774933,True,1.1343190670013428,0.048915873766194815
7.636363636363637,74.54545454545453,759.9937607556299,355,rolled,766.2234520501082,355.0,rolled,1.0008320496443646,True,1.0987768173217773,0.008197029523353503
7.636363636363637,85.45454545454545,821.0715784057063,355,rolled,824.0519897700204,355.0,rolled,1.000976425506003,True,1.1238987445831299,0.003629904435495466
7.636363636363637,96.36363636363636,885.4130387972486,355,rolled,886.415864645236,355.0,rolled,1.0008873527621096,True,0.9797754287719727,0.001132607951368726
7.636363636363637,107.27272727272728,972.5059662387416,355,rolled,947.0059386833288,355.0,rolled,1.0001892515984423,True,1.050645112991333,-0.02622094716193519
7.636363636363637,118.18181818181816,1008.7637482124452,355,rolled,1038.6666161783771,460.0,rolled,1.0009997242301834,True,1.030153512954712,0.029643083446367464
7.636363636363637,129.0909090909091,1053.171608858608,355,rolled,1085.0686203971068,355.0,rolled,1.0009382835857785,True,1.029569387435913,0.03028662306332753
7.636363636363637,140.0,1114.1163843552508,355,rolled,1157.456600119846,460.0,rolled,1.0009999331054242,True,1.3047456741333008,0.03890097692951214
8.454545454545455,20.0,503.5977986749521,355,rolled,504.08950242893,355.0,rolled,1.0007393671065026,True,1.3878004550933838,0.0009763818572512715
8.454545454545455,30.909090909090907,630.7869497001437,355,rolled,648.4613403594675,355.0,rolled,1.0007380378490114,True,2.0499367713928223,0.028019588337592608
8.454545454545455,41.81818181818181,717.4096387563654,355,rolled,737.479948688431,355.0,rolled,1.0009989033619808,True,1.8693766593933105,0.02797608067666557
8.454545454545455,52.72727272727273,805.5999538966952,355,rolled,832.84438511599,355.0,rolled,1.00099989471404,True,1.206740140914917,0.03381880930791174
8.454545454545455,63.63636363636363,885.8271517939731,355,rolled,883.110336306273,355.0,rolled,1.0009975099141777,True,1.1534454822540283,-0.003066981501072842
8.454545454545455,74.54545454545453,968.3951313197734,355,rolled,999.4309016297893,355.0,rolled,1.0009997192120308,True,1.0212359428405762,0.03204866413126108
8.454545454545455,85.45454545454545,1050.1554168290577,355,rolled,1062.128906048421,355.0,rolled,0.9965362459238117,True,0.9947793483734131,0.011401635441273256
8.454545454545455,96.36363636363636,1161.2113106394324,355,rolled,1142.2241178400002,355.0,rolled,1.0009949064868284,True,0.920320987701416,-0.01635119519200753
8.454545454545455,107.27272727272728,1247.3930159794309,460,rolled,1225.699243347026,355.0,rolled,1.000995852773873,True,0.9457223415374756,-0.017391289156265942
8.454545454545455,118.18181818181816,1285.189935510621,355,rolled,1311.1966312486024,355.0,rolled,1.0009945723795233,True,0.9734923839569092,0.02023568269514092
8.454545454545455,129.0909090909091,1359.5228722374015,460,rolled,1402.902872992995,355.0,rolled,1.0009717081592209,True,0.9841382503509521,0.031908253727428615
8.454545454545455,140.0,1454.9800312964985,355,rolled,1559.5640382408717,460.0,rolled,0.9935763283863698,True,1.0550789833068848,0.07188002906897686
9.272727272727272,20.0,618.4530890237875,355,rolled,616.3739439967991,355.0,rolled,1.0009508355066588,True,1.2598237991333008,-0.003361847590203265
9.272727272727272,30.909090909090907,761.4534867686122,355,rolled,757.3845885186199,355.0,rolled,1.0009836544926196,True,1.6519196033477783,-0.005343593956420706
9.272727272727272,41.81818181818181,881.2556840948919,355,rolled,912.4767610397364,355.0,rolled,1.0005817549630194,True,1.4906730651855469,0.03542794390814131
9.272727272727272,52.72727272727273,989.9883669803154,355,rolled,1000.9477513503962,355.0,rolled,1.000404688065584,True,0.9971048831939697,0.011070215303144766
9.272727272727272,63.63636363636363,1106.6209977316942,355,rolled,1096.8232069319224,355.0,rolled,1.0007149124028987,True,1.14717435836792,-0.008853790791838264
9.272727272727272,74.54545454545453,1247.7748019974165,355,rolled,1207.4723915266677,355.0,rolled,1.0009802064370965,True,0.9824087619781494,-0.03229942647201512
9.272727272727272,85.45454545454545,1317.098439688467,355,rolled,1310.8286724311422,355.0,rolled,1.0009984468148594,True,1.0201482772827148,-0.00476028751412665
9.272727272727272,96.36363636363636,1414.7279425408665,355,rolled,1479.6386935991409,460.0,rolled,1.000986538507073,True,1.2234725952148438,0.04588214391361635
9.272727272727272,107.27272727272728,1522.6725742575536,355,rolled,1524.2983188933927,355.0,rolled,1.000999563421543,True,0.9834620952606201,0.0010676915466424283
9.272727272727272,118.18181818181816,1645.849345217246,355,rolled,1636.0425565145347,355.0,rolled,1.0009934925058162,True,1.080376386642456,-0.005958497192473556
9.272727272727272,129.0909090909091,1740.933618872136,355,rolled,1744.332399111202,355.0,rolled,1.0009966436569278,True,1.0365502834320068,0.0019522744590731724
9.272727272727272,140.0,1856.5687456377927,460,rolled,1887.4368619490733,460.0,rolled,1.0009980785689678,True,1.138017177581787,0.0166264332434813
10.09090909090909,20.0,742.9343178494156,355,rolled,745.0648331249699,355.0,rolled,1.0009939732594402,True,1.6512329578399658,0.0028677034084541534
10.09090909090909,30.909090909090907,915.5475138288588,355,rolled,930.3255486653301,355.0,rolled,1.0008506647907225,True,1.8407907485961914,0.016141199242264266
10.09090909090909,41.81818181818181,1059.829316571149,355,rolled,1063.2183720722492,355.0,rolled,1.0001032919545645,True,1.2368099689483643,0.0031977370771971454
10.09090909090909,52.72727272727273,1213.1595349712586,355,rolled,1220.4261718590426,355.0,rolled,1.0009958043485374,True,1.1070713996887207,0.005989844433738177
10.09090909090909,63.63636363636363,1357.496004947102,355,rolled,1419.8920436076903,355.0,rolled,1.0009223974308599,True,0.9985668659210205,0.04596406798487763
10.09090909090909,74.54545454545453,1486.8770563048004,355,rolled,1492.0911935313209,355.0,rolled,1.000882294867946,True,1.0190565586090088,0.003506770922593106
10.09090909090909,85.45454545454545,1614.031417022214,355,rolled,1630.833780680947,355.0,rolled,0.9906789166853767,True,0.9616396427154541,0.010410183768127778
10.09090909090909,96.36363636363636,1771.028921502606,460,rolled,1890.7215187592744,355.0,rolled,0.997637643843186,True,1.0449774265289307,0.06758364914510649
10.09090909090909,107.27272727272728,1916.4589042949708,355,rolled,1987.3173158708105,460.0,rolled,1.0006438680171295,True,1.0331623554229736,0.03697361389646242
10.09090909090909,118.18181818181816,2076.30196798726,355,rolled,2095.905480894265,460.0,rolled,1.0009841981948764,True,0.9965493679046631,0.00944155195595585
10.09090909090909,129.0909090909091,2210.304923798717,355,rolled,2258.9808698438287,355.0,rolled,1.0009985428412684,True,1.0872104167938232,0.022022276438427007
10.09090909090909,140.0,2328.49511615869,460,rolled,2364.811956115493,355.0,rolled,1.000996843442418,True,1.4681804180145264,0.015596700076706542
10.90909090909091,20.0,893.7291943214849,355,rolled,885.773856788107,355.0,rolled,1.0006065040435261,True,1.7410790920257568,-0.00890128417413687
10.90909090909091,30.909090909090907,1088.9504710209037,355,rolled,1102.0950908238615,355.0,rolled,1.0009644876131951,True,1.6193110942840576,0.012070906944587245
10.90909090909091,41.81818181818181,1270.814818254924,355,rolled,1268.5515583024498,355.0,rolled,1.00060305013774,True,1.0791168212890625,-0.0017809518113598715
10.90909090909091,52.72727272727273,1441.605296538102,355,rolled,1423.653319637619,355.0,rolled,1.0009780557414159,True,1.2560772895812988,-0.012452768412819547
10.90909090909091,63.63636363636363,1646.7666813117896,460,rolled,1708.9408488639997,355.0,rolled,0.9960020410720236,True,1.0418286323547363,0.03775529846321827
10.90909090909091,74.54545454545453,1797.093634182035,460,rolled,1866.6250085873073,355.0,rolled,0.9997801305261073,True,0.9611926078796387,0.038691013691626724
10.90909090909091,85.45454545454545,2002.4625944633783,355,rolled,2122.6245852035004,355.0,rolled,1.0009999677219672,True,0.9999368190765381,0.060007108783134686
10.90909090909091,96.36363636363636,2197.559639317925,355,rolled,2287.4435216482825,460.0,rolled,1.0009999830033054,True,0.992586612701416,0.04090168053789688
10.90909090909091,107.27272727272728,2388.297343467485,355,rolled,2403.440307372165,460.0,rolled,0.9952769528757338,True,0.9919407367706299,0.0063404851770653215
10.90909090909091,118.18181818181816,2601.5036778796957,355,rolled,2587.159627986416,355.0,rolled,1.0009999912810004,True,0.9759314060211182,-0.005513753455451743
10.90909090909091,129.0909090909091,2728.4009592725315,460,rolled,2812.2608295283076,355.0,rolled,1.0001630197658835,True,0.9673788547515869,0.030735904109246266
10.90909090909091,140.0,2907.631199570768,460,rolled,2908.9971721210027,460.0,rolled,1.0009902666376982,True,1.455963373184204,0.0004697887924838781
11.727272727272728,20.0,1061.0441516058863,355,rolled,1066.1868572993792,355.0,rolled,0.9721493642284215,True,1.7619891166687012,0.004846834776582488
11.727272727272728,30.909090909090907,1290.0501267580532,355,rolled,1323.098722574242,355.0,rolled,0.9991183111049265,True,1.5757784843444824,0.025618071058402303
11.727272727272728,41.81818181818181,1482.922585855888,355,rolled,1505.923900519709,355.0,rolled,1.000880152336753,True,1.25014328956604,0.015510799338554442
11.727272727272728,52.72727272727273,1747.8813489218207,355,rolled,1758.7288028024877,355.0,rolled,0.9944876707595621,True,1.2743492126464844,0.006206058487527333
11.727272727272728,63.63636363636363,1979.0906999138213,460,rolled,2113.075165524525,355.0,rolled,0.9959390781443037,True,1.23634672164917,0.06770001274652947
11.727272727272728,74.54545454545453,2216.73184965606,355,rolled,2257.077270177637,355.0,rolled,0.9926375525239413,True,1.0173251628875732,0.0182004063900812
11.727272727272728,85.45454545454545,2462.677694524864,355,rolled,2460.719273161792,355.0,rolled,1.000985991846134,True,1.0253701210021973,-0.0007952406307272653
11.727272727272728,96.36363636363636,2703.5807115927173,355,rolled,2710.674775801929,355.0,rolled,0.9991585048023324,True,1.1500256061553955,0.002623951331947716
11.727272727272728,107.27272727272728,2937.489157347384,460,rolled,2929.716148654728,460.0,rolled,1.000794214303383,True,1.1069438457489014,-0.00264614038598715
11.727272727272728,118.18181818181816,3160.0494447625265,460,rolled,3138.169768147891,460.0,rolled,1.0009817212853598,True,1.1580450534820557,-0.00692383995791555
11.727272727272728,129.0909090909091,3358.1079283394,460,rolled,3413.930610780696,355.0,rolled,1.0009344488845402,True,1.658327341079712,0.01662325441365444
11.727272727272728,140.0,3576.995517433856,460,rolled,3589.34873842214,460.0,rolled,1.0009976215415586,True,2.1401960849761963,0.003453518722088297
12.545454545454549,20.0,1212.3908752045115,355,rolled,1230.3591682264216,355.0,rolled,1.0003535447714142,True,1.2845566272735596,0.014820544586232647
12.545454545454549,30.909090909090907,1481.0813508506612,355,rolled,1490.7126149586436,355.0,rolled,1.000880047655489,True,0.9712212085723877,0.006502859618379929
12.545454545454549,41.81818181818181,1783.0201996892802,355,rolled,1786.9327905008126,355.0,rolled,1.0009473072011792,True,0.9542768001556396,0.002194361461644862
12.545454545454549,52.72727272727273,2087.7440020066583,460,rolled,2176.514112269551,355.0,rolled,1.0009248317899981,True,1.0638961791992188,0.04251963371829601
12.545454545454549,63.63636363636363,2393.181985113689,355,rolled,2533.375160350648,355.0,rolled,1.0009998060664373,True,1.0299324989318848,0.058580240077437847
12.545454545454549,74.54545454545453,2689.930765449427,355,rolled,2791.6913383982082,355.0,rolled,1.000962777966794,True,0.9427859783172607,0.03783018293847406
12.545454545454549,85.45454545454545,2997.3064139092285,355,rolled,2998.029369625644,355.0,rolled,1.0009987884968936,True,1.0693519115447998,0.00024120180474728766
12.545454545454549,96.36363636363636,3286.35898355342,460,rolled,3334.5631781927596,460.0,rolled,1.0009919852079516,True,1.0118417739868164,0.014667963810581108
12.545454545454549,107.27272727272728,3571.295426634208,460,rolled,3600.3234308407627,355.0,rolled,1.0003581349410124,True,1.152489423751831,0.008128144199459945
12.545454545454549,118.18181818181816,3837.483424001443,460,rolled,3890.8982048027283,355.0,rolled,0.9989965599047862,True,1.3854496479034424,0.013919221244632346
