update,timesteps,violation_g1_util,violation_g2_class,violation_g3_geom,lambda_g1_util,lambda_g2_class,lambda_g3_geom
1,2048,2.0245756802822132,0.02989612127723455,0.055419921875,10.122878401411066,0.14948060638617275,0.11083984375
2,4096,1.9486388701570756,0.01829427594550427,0.04139447421563608,19.866072752196445,0.24095198611369412,0.19362879218127216
3,6144,1.7751886913578887,0.02488681551625994,0.049894533813925966,28.742016208985888,0.3653860636949938,0.2934178598091241
4,8192,1.3364772526136766,0.02084235870876703,0.04961571482125404,35.42440247205427,0.46959785723882896,0.3926492894516322
5,10240,1.083966596334401,0.00948786296605456,0.028945967044313087,40.84423545372627,0.5170371720691018,0.4505412235402584
6,12288,0.796131309164509,0.012085134810655748,0.030174255989209666,44.82489199954882,0.5774628461223805,0.5108897355186777
7,14336,0.6053014351404531,0.0061539230700744406,0.019929393898811307,47.85139917525108,0.6082324614727528,0.5507485233163003
8,16384,0.5025490842687024,0.00355090966850211,0.013406624920343774,50.36414459659459,0.6259870098152633,0.5775617731569879
9,18432,0.32848699173763296,0.004254594142366343,0.01743586216348577,52.006579555282755,0.6472599805270951,0.6124334974839594
10,20480,0.25958148284563065,0.0037689643672511944,0.01123046875,53.30448696951091,0.6661048023633511,0.6348944349839594
