label_set,N,model,topk,context_idx,span_m,load_kNm,gt_economy,mode,feasible,gap,n_dec,n_repair,n_total,region
0,208,knn,1,5,16.857142857142858,20.0,2765.6018704601493,scale,1,0.007135201798353252,3,18,21,span_extrapolation
0,208,knn,1,5,16.857142857142858,20.0,2765.6018704601493,scale+thin,1,0.007135201798353252,3,73,76,span_extrapolation
0,208,knn,2,5,16.857142857142858,20.0,2765.6018704601493,none,1,0.008589018073567933,6,0,6,span_extrapolation
0,208,knn,2,5,16.857142857142858,20.0,2765.6018704601493,scale,1,0.007135201798353252,6,18,24,span_extrapolation
0,208,knn,2,5,16.857142857142858,20.0,2765.6018704601493,scale+thin,1,0.007135201798353252,6,73,79,span_extrapolation
0,208,knn,3,5,16.857142857142858,20.0,2765.6018704601493,none,1,0.008589018073567933,9,0,9,span_extrapolation
0,208,knn,3,5,16.857142857142858,20.0,2765.6018704601493,scale,1,0.007135201798353252,9,18,27,span_extrapolation
0,208,knn,3,5,16.857142857142858,20.0,2765.6018704601493,scale+thin,1,0.007135201798353252,9,73,82,span_extrapolation
0,208,knn,1,6,16.857142857142858,37.14285714285714,4191.730814567369,none,1,0.012725035433416076,6,0,6,span_extrapolation
0,208,knn,1,6,16.857142857142858,37.14285714285714,4191.730814567369,scale,1,0.012122459743798997,6,18,24,span_extrapolation
0,208,knn,1,6,16.857142857142858,37.14285714285714,4191.730814567369,scale+thin,1,0.012122459743798997,6,80,86,span_extrapolation
0,208,knn,2,6,16.857142857142858,37.14285714285714,4191.730814567369,none,1,0.012725035433416076,10,0,10,span_extrapolation
0,208,knn,2,6,16.857142857142858,37.14285714285714,4191.730814567369,scale,1,0.012122459743798997,10,18,28,span_extrapolation
0,208,knn,2,6,16.857142857142858,37.14285714285714,4191.730814567369,scale+thin,1,0.012122459743798997,10,80,90,span_extrapolation
0,208,knn,3,6,16.857142857142858,37.14285714285714,4191.730814567369,none,1,0.012725035433416076,15,0,15,span_extrapolation
0,208,knn,3,6,16.857142857142858,37.14285714285714,4191.730814567369,scale,1,0.012122459743798997,15,18,33,span_extrapolation
0,208,knn,3,6,16.857142857142858,37.14285714285714,4191.730814567369,scale+thin,1,0.012122459743798997,15,80,95,span_extrapolation
0,208,knn,1,7,16.857142857142858,54.285714285714285,5746.32444658975,none,0,,10,0,10,span_extrapolation
0,208,knn,1,7,16.857142857142858,54.285714285714285,5746.32444658975,scale,1,-0.005624546558040233,10,19,29,span_extrapolation
0,208,knn,1,7,16.857142857142858,54.285714285714285,5746.32444658975,scale+thin,1,-0.005624546558040233,10,72,82,span_extrapolation
0,208,knn,2,7,16.857142857142858,54.285714285714285,5746.32444658975,none,1,0.021528061682386523,15,0,15,span_extrapolation
0,208,knn,2,7,16.857142857142858,54.285714285714285,5746.32444658975,scale,1,0.02141116041794433,15,18,33,span_extrapolation
0,208,knn,2,7,16.857142857142858,54.285714285714285,5746.32444658975,scale+thin,1,0.02141116041794433,15,82,97,span_extrapolation
0,208,knn,3,7,16.857142857142858,54.285714285714285,5746.32444658975,none,1,0.021528061682386523,20,0,20,span_extrapolation
0,208,knn,3,7,16.857142857142858,54.285714285714285,5746.32444658975,scale,1,0.02141116041794433,20,18,38,span_extrapolation
0,208,knn,3,7,16.857142857142858,54.285714285714285,5746.32444658975,scale+thin,1,0.02141116041794433,20,82,102,span_extrapolation
0,208,knn,1,8,16.857142857142858,71.42857142857143,7246.974901538043,none,0,,10,0,10,span_extrapolation
0,208,knn,1,8,16.857142857142858,71.42857142857143,7246.974901538043,scale,0,,10,9,19,span_extrapolation
0,208,knn,1,8,16.857142857142858,71.42857142857143,7246.974901538043,scale+thin,0,,10,33,43,span_extrapolation
0,208,knn,2,8,16.857142857142858,71.42857142857143,7246.974901538043,none,1,0.1914114833627938,20,0,20,span_extrapolation
0,208,knn,2,8,16.857142857142858,71.42857142857143,7246.974901538043,scale,1,0.1910842748947561,20,18,38,span_extrapolation
0,208,knn,2,8,16.857142857142858,71.42857142857143,7246.974901538043,scale+thin,1,0.044965874892906266,20,71,91,span_extrapolation
0,208,knn,3,8,16.857142857142858,71.42857142857143,7246.974901538043,none,1,0.1914114833627938,29,0,29,span_extrapolation
0,208,knn,3,8,16.857142857142858,71.42857142857143,7246.974901538043,scale,1,0.1910842748947561,29,18,47,span_extrapolation
0,208,knn,3,8,16.857142857142858,71.42857142857143,7246.974901538043,scale+thin,1,0.044965874892906266,29,71,100,span_extrapolation
0,208,knn,1,9,16.857142857142858,88.57142857142857,19199.44257726372,none,0,,10,0,10,span_extrapolation
0,208,knn,1,9,16.857142857142858,88.57142857142857,19199.44257726372,scale,0,,10,9,19,span_extrapolation
0,208,knn,1,9,16.857142857142858,88.57142857142857,19199.44257726372,scale+thin,0,,10,33,43,span_extrapolation
0,208,knn,2,9,16.857142857142858,88.57142857142857,19199.44257726372,none,0,,20,0,20,span_extrapolation
0,208,knn,2,9,16.857142857142858,88.57142857142857,19199.44257726372,scale,0,,20,9,29,span_extrapolation
0,208,knn,2,9,16.857142857142858,88.57142857142857,19199.44257726372,scale+thin,0,,20,33,53,span_extrapolation
0,208,knn,3,9,16.857142857142858,88.57142857142857,19199.44257726372,none,0,,30,0,30,span_extrapolation
0,208,knn,3,9,16.857142857142858,88.57142857142857,19199.44257726372,scale,0,,30,9,39,span_extrapolation
0,208,knn,3,9,16.857142857142858,88.57142857142857,19199.44257726372,scale+thin,0,,30,33,63,span_extrapolation
0,208,knn,1,10,17.714285714285715,20.0,3088.9917829239694,none,1,0.023479395933894587,3,0,3,span_extrapolation
0,208,knn,1,10,17.714285714285715,20.0,3088.9917829239694,scale,1,0.02219139427423711,3,18,21,span_extrapolation
0,208,knn,1,10,17.714285714285715,20.0,3088.9917829239694,scale+thin,1,0.02219139427423711,3,73,76,span_extrapolation
0,208,knn,2,10,17.714285714285715,20.0,3088.9917829239694,none,1,0.023479395933894587,6,0,6,span_extrapolation
0,208,knn,2,10,17.714285714285715,20.0,3088.9917829239694,scale,1,0.02219139427423711,6,18,24,span_extrapolation
0,208,knn,2,10,17.714285714285715,20.0,3088.9917829239694,scale+thin,1,0.02219139427423711,6,73,79,span_extrapolation
0,208,knn,3,10,17.714285714285715,20.0,3088.9917829239694,none,1,0.023479395933894587,9,0,9,span_extrapolation
0,208,knn,3,10,17.714285714285715,20.0,3088.9917829239694,scale,1,0.02219139427423711,9,18,27,span_extrapolation
0,208,knn,3,10,17.714285714285715,20.0,3088.9917829239694,scale+thin,1,0.02219139427423711,9,73,82,span_extrapolation
0,208,knn,1,11,17.714285714285715,37.14285714285714,4941.944563380349,none,1,-0.004950988668511402,9,0,9,span_extrapolation
0,208,knn,1,11,17.714285714285715,37.14285714285714,4941.944563380349,scale,1,-0.005360894005423833,9,18,27,span_extrapolation
0,208,knn,1,11,17.714285714285715,37.14285714285714,4941.944563380349,scale+thin,1,-0.005360894005423833,9,83,92,span_extrapolation
0,208,knn,2,11,17.714285714285715,37.14285714285714,4941.944563380349,none,1,-0.004950988668511402,14,0,14,span_extrapolation
0,208,knn,2,11,17.714285714285715,37.14285714285714,4941.944563380349,scale,1,-0.005360894005423833,14,18,32,span_extrapolation
0,208,knn,2,11,17.714285714285715,37.14285714285714,4941.944563380349,scale+thin,1,-0.005360894005423833,14,83,97,span_extrapolation
0,208,knn,3,11,17.714285714285715,37.14285714285714,4941.944563380349,none,1,-0.004950988668511402,18,0,18,span_extrapolation
0,208,knn,3,11,17.714285714285715,37.14285714285714,4941.944563380349,scale,1,-0.005360894005423833,18,18,36,span_extrapolation
0,208,knn,3,11,17.714285714285715,37.14285714285714,4941.944563380349,scale+thin,1,-0.005360894005423833,18,83,101,span_extrapolation
0,208,knn,1,12,17.714285714285715,54.285714285714285,6713.5931419363405,none,0,,10,0,10,span_extrapolation
0,208,knn,1,12,17.714285714285715,54.285714285714285,6713.5931419363405,scale,1,0.00041697149813657575,10,19,29,span_extrapolation
0,208,knn,1,12,17.714285714285715,54.285714285714285,6713.5931419363405,scale+thin,1,0.00041697149813657575,10,73,83,span_extrapolation
0,208,knn,2,12,17.714285714285715,54.285714285714285,6713.5931419363405,none,1,0.028489514152693962,20,0,20,span_extrapolation
0,208,knn,2,12,17.714285714285715,54.285714285714285,6713.5931419363405,scale,1,0.0280422978991679,20,18,38,span_extrapolation
0,208,knn,2,12,17.714285714285715,54.285714285714285,6713.5931419363405,scale+thin,1,0.0280422978991679,20,85,105,span_extrapolation
0,208,knn,3,12,17.714285714285715,54.285714285714285,6713.5931419363405,none,1,0.028489514152693962,28,0,28,span_extrapolation
0,208,knn,3,12,17.714285714285715,54.285714285714285,6713.5931419363405,scale,1,0.0280422978991679,28,18,46,span_extrapolation
0,208,knn,3,12,17.714285714285715,54.285714285714285,6713.5931419363405,scale+thin,1,0.0280422978991679,28,85,113,span_extrapolation
0,208,knn,1,13,17.714285714285715,71.42857142857143,14833.40139842013,none,0,,10,0,10,span_extrapolation
0,208,knn,1,13,17.714285714285715,71.42857142857143,14833.40139842013,scale,0,,10,9,19,span_extrapolation
0,208,knn,1,13,17.714285714285715,71.42857142857143,14833.40139842013,scale+thin,0,,10,33,43,span_extrapolation
0,208,knn,2,13,17.714285714285715,71.42857142857143,14833.40139842013,none,0,,20,0,20,span_extrapolation
0,208,knn,2,13,17.714285714285715,71.42857142857143,14833.40139842013,scale,0,,20,9,29,span_extrapolation
0,208,knn,2,13,17.714285714285715,71.42857142857143,14833.40139842013,scale+thin,0,,20,33,53,span_extrapolation
0,208,knn,3,13,17.714285714285715,71.42857142857143,14833.40139842013,none,0,,30,0,30,span_extrapolation
0,208,knn,3,13,17.714285714285715,71.42857142857143,14833.40139842013,scale,0,,30,9,39,span_extrapolation
0,208,knn,3,13,17.714285714285715,71.42857142857143,14833.40139842013,scale+thin,0,,30,33,63,span_extrapolation
0,208,knn,1,14,18.57142857142857,20.0,3503.887898866028,none,1,0.016351197467955325,3,0,3,span_extrapolation
0,208,knn,1,14,18.57142857142857,20.0,3503.887898866028,scale,1,0.015048918659875232,3,18,21,span_extrapolation
0,208,knn,1,14,18.57142857142857,20.0,3503.887898866028,scale+thin,1,0.015048918659875232,3,75,78,span_extrapolation
0,208,knn,2,14,18.57142857142857,20.0,3503.887898866028,none,1,0.016351197467955325,6,0,6,span_extrapolation
0,208,knn,2,14,18.57142857142857,20.0,3503.887898866028,scale,1,0.015048918659875232,6,18,24,span_extrapolation
0,208,knn,2,14,18.57142857142857,20.0,3503.887898866028,scale+thin,1,0.015048918659875232,6,75,81,span_extrapolation
0,208,knn,3,14,18.57142857142857,20.0,3503.887898866028,none,1,0.016351197467955325,9,0,9,span_extrapolation
0,208,knn,3,14,18.57142857142857,20.0,3503.887898866028,scale,1,0.015048918659875232,9,18,27,span_extrapolation
0,208,knn,3,14,18.57142857142857,20.0,3503.887898866028,scale+thin,1,0.015048918659875232,9,75,84,span_extrapolation
0,208,knn,1,15,18.57142857142857,37.14285714285714,5769.316751136709,none,0,,10,0,10,span_extrapolation
0,208,knn,1,15,18.57142857142857,37.14285714285714,5769.316751136709,scale,1,0.0004864102967960804,10,19,29,span_extrapolation
0,208,knn,1,15,18.57142857142857,37.14285714285714,5769.316751136709,scale+thin,1,0.0004864102967960804,10,86,96,span_extrapolation
0,208,knn,2,15,18.57142857142857,37.14285714285714,5769.316751136709,none,1,0.053247217364077004,16,0,16,span_extrapolation
0,208,knn,2,15,18.57142857142857,37.14285714285714,5769.316751136709,scale,1,0.05245183936423237,16,18,34,span_extrapolation
0,208,knn,2,15,18.57142857142857,37.14285714285714,5769.316751136709,scale+thin,1,0.05245183936423237,16,80,96,span_extrapolation
0,208,knn,3,15,18.57142857142857,37.14285714285714,5769.316751136709,none,1,0.053247217364077004,21,0,21,span_extrapolation
0,208,knn,3,15,18.57142857142857,37.14285714285714,5769.316751136709,scale,1,0.05245183936423237,21,18,39,span_extrapolation
0,208,knn,3,15,18.57142857142857,37.14285714285714,5769.316751136709,scale+thin,1,0.05245183936423237,21,80,101,span_extrapolation
0,208,knn,1,16,18.57142857142857,54.285714285714285,8018.356569936577,none,0,,10,0,10,span_extrapolation
0,208,knn,1,16,18.57142857142857,54.285714285714285,8018.356569936577,scale,0,,10,9,19,span_extrapolation
0,208,knn,1,16,18.57142857142857,54.285714285714285,8018.356569936577,scale+thin,0,,10,33,43,span_extrapolation
0,208,knn,2,16,18.57142857142857,54.285714285714285,8018.356569936577,none,1,0.002744800857954477,20,0,20,span_extrapolation
0,208,knn,2,16,18.57142857142857,54.285714285714285,8018.356569936577,scale,1,0.0026070995431182187,20,18,38,span_extrapolation
0,208,knn,2,16,18.57142857142857,54.285714285714285,8018.356569936577,scale+thin,1,0.0026070995431182187,20,71,91,span_extrapolation
0,208,knn,3,16,18.57142857142857,54.285714285714285,8018.356569936577,none,1,0.002744800857954477,30,0,30,span_extrapolation
0,208,knn,3,16,18.57142857142857,54.285714285714285,8018.356569936577,scale,1,0.0026070995431182187,30,18,48,span_extrapolation
0,208,knn,3,16,18.57142857142857,54.285714285714285,8018.356569936577,scale+thin,1,0.0026070995431182187,30,71,101,span_extrapolation
0,208,knn,1,17,19.428571428571427,20.0,4106.725084470224,none,1,0.04926745693945889,6,0,6,span_extrapolation
0,208,knn,1,17,19.428571428571427,20.0,4106.725084470224,scale,1,0.0484270713617736,6,18,24,span_extrapolation
0,208,knn,1,17,19.428571428571427,20.0,4106.725084470224,scale+thin,1,0.0472655445816037,6,77,83,span_extrapolation
0,208,knn,2,17,19.428571428571427,20.0,4106.725084470224,none,1,0.04926745693945889,9,0,9,span_extrapolation
0,208,knn,2,17,19.428571428571427,20.0,4106.725084470224,scale,1,0.0484270713617736,9,18,27,span_extrapolation
0,208,knn,2,17,19.428571428571427,20.0,4106.725084470224,scale+thin,1,0.0472655445816037,9,77,86,span_extrapolation
0,208,knn,3,17,19.428571428571427,20.0,4106.725084470224,none,1,0.04926745693945889,12,0,12,span_extrapolation
0,208,knn,3,17,19.428571428571427,20.0,4106.725084470224,scale,1,0.0484270713617736,12,18,30,span_extrapolation
0,208,knn,3,17,19.428571428571427,20.0,4106.725084470224,scale+thin,1,0.0472655445816037,12,77,89,span_extrapolation
0,208,knn,1,18,19.428571428571427,37.14285714285714,6707.685574377439,none,0,,10,0,10,span_extrapolation
0,208,knn,1,18,19.428571428571427,37.14285714285714,6707.685574377439,scale,1,-0.0021672800712455587,10,19,29,span_extrapolation
0,208,knn,1,18,19.428571428571427,37.14285714285714,6707.685574377439,scale+thin,1,-0.0021672800712455587,10,72,82,span_extrapolation
0,208,knn,2,18,19.428571428571427,37.14285714285714,6707.685574377439,none,1,0.043616719164238704,19,0,19,span_extrapolation
0,208,knn,2,18,19.428571428571427,37.14285714285714,6707.685574377439,scale,1,0.04323457029709976,19,18,37,span_extrapolation
0,208,knn,2,18,19.428571428571427,37.14285714285714,6707.685574377439,scale+thin,1,0.04323457029709976,19,83,102,span_extrapolation
0,208,knn,3,18,19.428571428571427,37.14285714285714,6707.685574377439,none,1,0.043616719164238704,25,0,25,span_extrapolation
0,208,knn,3,18,19.428571428571427,37.14285714285714,6707.685574377439,scale,1,0.04323457029709976,25,18,43,span_extrapolation
0,208,knn,3,18,19.428571428571427,37.14285714285714,6707.685574377439,scale+thin,1,0.04323457029709976,25,83,108,span_extrapolation
0,208,knn,1,19,19.428571428571427,54.285714285714285,16356.728333954406,none,0,,10,0,10,span_extrapolation
0,208,knn,1,19,19.428571428571427,54.285714285714285,16356.728333954406,scale,0,,10,9,19,span_extrapolation
0,208,knn,1,19,19.428571428571427,54.285714285714285,16356.728333954406,scale+thin,0,,10,33,43,span_extrapolation
0,208,knn,2,19,19.428571428571427,54.285714285714285,16356.728333954406,none,0,,20,0,20,span_extrapolation
0,208,knn,2,19,19.428571428571427,54.285714285714285,16356.728333954406,scale,0,,20,9,29,span_extrapolation
0,208,knn,2,19,19.428571428571427,54.285714285714285,16356.728333954406,scale+thin,0,,20,33,53,span_extrapolation
0,208,knn,3,19,19.428571428571427,54.285714285714285,16356.728333954406,none,0,,30,0,30,span_extrapolation
0,208,knn,3,19,19.428571428571427,54.285714285714285,16356.728333954406,scale,0,,30,9,39,span_extrapolation
0,208,knn,3,19,19.428571428571427,54.285714285714285,16356.728333954406,scale+thin,0,,30,33,63,span_extrapolation
0,208,knn,1,20,20.285714285714285,20.0,4751.567875374571,none,1,0.030111541448496038,6,0,6,span_extrapolation
0,208,knn,1,20,20.285714285714285,20.0,4751.567875374571,scale,1,0.02945148052029567,6,18,24,span_extrapolation
0,208,knn,1,20,20.285714285714285,20.0,4751.567875374571,scale+thin,1,0.02945148052029567,6,77,83,span_extrapolation
0,208,knn,2,20,20.285714285714285,20.0,4751.567875374571,none,1,0.030111541448496038,9,0,9,span_extrapolation
0,208,knn,2,20,20.285714285714285,20.0,4751.567875374571,scale,1,0.02945148052029567,9,18,27,span_extrapolation
0,208,knn,2,20,20.285714285714285,20.0,4751.567875374571,scale+thin,1,0.02945148052029567,9,77,86,span_extrapolation
0,208,knn,3,20,20.285714285714285,20.0,4751.567875374571,none,1,0.030111541448496038,14,0,14,span_extrapolation
0,208,knn,3,20,20.285714285714285,20.0,4751.567875374571,scale,1,0.02945148052029567,14,18,32,span_extrapolation
0,208,knn,3,20,20.285714285714285,20.0,4751.567875374571,scale+thin,1,0.02945148052029567,14,77,91,span_extrapolation
0,208,knn,1,21,20.285714285714285,37.14285714285714,7669.906780167899,none,0,,10,0,10,span_extrapolation
0,208,knn,1,21,20.285714285714285,37.14285714285714,7669.906780167899,scale,1,0.0005068341924225894,10,19,29,span_extrapolation
0,208,knn,1,21,20.285714285714285,37.14285714285714,7669.906780167899,scale+thin,1,0.0005068341924225894,10,73,83,span_extrapolation
0,208,knn,2,21,20.285714285714285,37.14285714285714,7669.906780167899,none,1,0.04973633727098292,20,0,20,span_extrapolation
0,208,knn,2,21,20.285714285714285,37.14285714285714,7669.906780167899,scale,1,0.049327925516798876,20,18,38,span_extrapolation
0,208,knn,2,21,20.285714285714285,37.14285714285714,7669.906780167899,scale+thin,1,0.049327925516798876,20,85,105,span_extrapolation
0,208,knn,3,21,20.285714285714285,37.14285714285714,7669.906780167899,none,1,0.04973633727098292,29,0,29,span_extrapolation
0,208,knn,3,21,20.285714285714285,37.14285714285714,7669.906780167899,scale,1,0.049327925516798876,29,18,47,span_extrapolation
0,208,knn,3,21,20.285714285714285,37.14285714285714,7669.906780167899,scale+thin,1,0.049327925516798876,29,85,114,span_extrapolation
0,208,knn,1,22,21.142857142857142,20.0,5513.290592155899,none,1,0.004793871070523759,6,0,6,span_extrapolation
0,208,knn,1,22,21.142857142857142,20.0,5513.290592155899,scale,1,0.004310973065458912,6,18,24,span_extrapolation
0,208,knn,1,22,21.142857142857142,20.0,5513.290592155899,scale+thin,1,0.004310973065458912,6,80,86,span_extrapolation
