span_m,load_kNm,grade,section_type,h,b,tf,tw,util,mass,cost,co2,governing,demand_proxy
6.0,20.0,690.0,rolled,250.0,120.0,8.0,6.0,0.9614782660824716,164.38842,395.76512115,303.033613428,GA_co2,120.0
6.818181818181818,20.0,690.0,rolled,276.0906265480928,136.69558288523206,8.006359444840136,6.000234437293676,1.0009846987086153,210.71181476069685,507.2886940363777,388.4261593298686,GA_co2,136.36363636363637
7.636363636363637,20.0,690.0,rolled,298.48716860351453,144.19836035665963,9.5314142207515,6.010086902698588,0.9981555432806308,278.7225551442014,671.024551509665,513.7971581528209,GA_co2,152.72727272727275
8.454545454545455,20.0,690.0,rolled,326.51167914057584,160.84635492913503,9.60848451535384,6.002765742137491,1.0009953901270434,343.9449694467801,828.047513943123,634.0281566781944,GA_co2,169.0909090909091
9.272727272727272,20.0,690.0,rolled,346.80286423857774,169.6726101684605,10.842704129453905,6.001353172204607,1.000994342396883,430.34660390214407,1036.0594488944118,793.3009296332124,GA_co2,185.45454545454544
6.0,30.909090909090907,690.0,rolled,283.722920261923,137.23376015917276,8.000162004279877,6.000083515814038,1.0009999962615637,188.0349605051168,452.6941674160685,346.6236461951321,GA_co2,185.45454545454544
10.09090909090909,20.0,690.0,rolled,377.4846862006914,179.01560287052845,11.685559994271454,6.000170293724721,1.000999950240368,524.7082499842878,1263.235111837173,967.247188021036,GA_co2,201.8181818181818
6.818181818181818,30.909090909090907,690.0,rolled,313.7027514232987,141.1020030883928,10.228682686296027,6.002831084703619,1.0009934912489442,261.149249052902,628.7168170948617,481.4025257041196,GA_co2,210.74380165289256
10.90909090909091,20.0,690.0,rolled,455.8451822466429,185.61855997086224,11.801013844647397,6.000030909287642,1.0009933701774478,627.129564631101,1509.814426849376,1156.0506394409715,GA_co2,218.1818181818182
11.727272727272728,20.0,690.0,rolled,443.0669277808448,204.90751910796288,12.240305944423085,6.000111751612319,1.000999407381309,727.6550707241665,1751.829582768431,1341.3593573729283,GA_co2,234.54545454545456
7.636363636363637,30.909090909090907,690.0,rolled,361.96250712130376,162.6284757439598,9.475545713779775,6.010071655426789,1.0009999448448348,323.74656600571734,779.4198576587645,596.7944197749393,GA_co2,236.03305785123965
6.0,41.81818181818181,690.0,rolled,317.410772842566,144.95375907942997,8.706846577815396,6.000624992596824,1.00099998320719,213.8607419322357,514.8697362018573,394.2308916778832,GA_co2,250.90909090909088
12.545454545454549,20.0,690.0,rolled,444.3092064890176,215.58628725579567,13.459327660465656,6.0000012145114034,1.000997768651664,859.0587328566171,2068.1838993523056,1583.5888681478878,GA_co2,250.90909090909096
8.454545454545455,30.909090909090907,690.0,rolled,397.7573369026522,172.0173711559203,10.628043108684103,6.000621801747839,1.000999928155545,412.2420170822722,992.4726561255702,759.9269342894605,GA_co2,261.3223140495868
13.363636363636363,20.0,690.0,rolled,463.77306641462457,229.9328822381284,13.771370081514409,6.038339260612444,1.0008435747790012,987.7227422463372,2377.9425019580567,1820.7681030568976,GA_co2,267.27272727272725
14.181818181818182,20.0,690.0,rolled,482.23182119831273,240.00352050766548,14.64194911353461,6.301247294918644,1.0008768871494358,1155.1868131377548,2781.1122526291447,2129.471371338137,GA_co2,283.6363636363636
6.818181818181818,41.81818181818181,690.0,rolled,368.42730932805824,158.52878482114343,9.28581750927599,6.000062114760784,1.0008744164203085,283.4274203719692,682.3515145455159,522.470106713688,GA_co2,285.12396694214874
9.272727272727272,30.909090909090907,690.0,rolled,405.4640095202467,189.64536741041047,11.366278591869229,6.000822889289968,1.0009952139485452,505.0392837581825,1215.8820756478242,930.9894156798337,GA_co2,286.6115702479338
15.0,20.0,690.0,rolled,536.8740539108643,231.12374435834568,16.964197389589362,6.964255808541522,1.0009999852875673,1402.5808751054794,3376.713456816442,2585.5175851694407,GA_co2,300.0
10.09090909090909,30.909090909090907,690.0,rolled,436.2884594862217,199.25806618733404,12.47123240111203,6.00364865950314,1.000321553900051,618.7806742501227,1489.7144732571703,1140.660294912676,GA_co2,311.9008264462809
6.0,52.72727272727273,690.0,rolled,344.7989340640992,153.52726907368273,9.04583995546911,6.0000230926833895,1.0009999978624575,234.30875354024948,564.0983241481506,431.9247562760958,GA_co2,316.3636363636364
7.636363636363637,41.81818181818181,690.0,rolled,403.2109957339602,172.96776444021555,10.129372046876524,6.013973412694887,1.0009999990803782,365.5193904534317,879.9879325166369,673.7984443618559,GA_co2,319.3388429752066
10.90909090909091,30.909090909090907,690.0,rolled,445.5659369335733,211.10987670909404,13.779719224258033,6.004095584757145,1.000376698479808,748.8224891072368,1802.7901425256728,1380.37937642028,GA_co2,337.1900826446281
8.454545454545455,41.81818181818181,690.0,rolled,402.45794581934535,190.3919308260878,11.491346742378209,6.000016624699528,1.000989150037258,463.5954265813108,1116.1059894945058,854.5918093599881,GA_co2,353.55371900826447
6.818181818181818,52.72727272727273,690.0,rolled,371.5939940424809,170.89777988033282,10.147170232546472,6.0026400110360765,0.9937197261931404,313.4201119550465,754.5589195317744,577.7586343779326,GA_co2,359.504132231405
11.727272727272728,30.909090909090907,690.0,rolled,472.5630292952352,227.8535666971929,13.922873515982834,6.132499680199524,1.000999976732731,876.916275534249,2111.175933348705,1616.5074623198348,GA_co2,362.4793388429752
6.0,63.63636363636363,690.0,rolled,352.36380887470665,161.60065346704394,9.78804340562206,6.001718718405364,1.0009999385975603,255.22769642604504,614.4606791457036,470.4867355917715,GA_co2,381.8181818181818
9.272727272727272,41.81818181818181,690.0,rolled,452.4428126651792,197.4180525205205,12.6937012675045,6.0,0.999608800256583,578.9044424918119,1393.7124452990372,1067.152449289406,GA_co2,387.7685950413222
12.545454545454549,30.909090909090907,690.0,rolled,474.471597464496,211.9288391340704,19.28066599872044,6.003789804532213,0.9978589625078104,1115.684813270744,2686.011187949317,2056.6533847832898,GA_co2,387.7685950413224
7.636363636363637,52.72727272727273,690.0,rolled,425.2413719348888,182.27897620593228,10.914019490227682,6.000112474086965,1.0009937848191792,402.7905256676671,969.7181905449086,742.5040550157773,GA_co2,402.6446280991736
13.363636363636363,30.909090909090907,690.0,rolled,517.9646882518352,231.2062813834633,18.29527788305785,6.607995671786984,1.0009989595829571,1282.2407838273973,3086.99468706446,2363.682660907424,GA_co2,413.0578512396694
10.09090909090909,41.81818181818181,690.0,rolled,461.57127721744337,215.45323075463048,13.499564841471214,6.002431757442303,1.0007704768018606,700.7884929972154,1687.1482968907962,1291.8335079910662,GA_co2,421.9834710743801
6.818181818181818,63.63636363636363,690.0,rolled,434.4480573535945,172.5086188107668,10.11111434795059,6.000120159054451,1.0009855396441576,335.7271494052381,808.2631121931108,618.8794272136159,GA_co2,433.88429752066116
14.181818181818182,30.909090909090907,690.0,rolled,551.9338247405371,265.7330245043558,15.672970764647818,7.185330614501205,1.0009407372637142,1410.9351692264215,3396.8264199126106,2600.9178909519856,GA_co2,438.3471074380165
8.454545454545455,52.72727272727273,690.0,rolled,457.2315999947936,193.259642195686,12.380260507140836,6.000005559866772,1.000999966285252,514.2897106137818,1238.1524783026796,948.0416525454456,GA_co2,445.7851239669422
6.0,74.54545454545453,690.0,rolled,382.5259701597222,165.69463108819664,10.06134965016924,6.000352712639705,1.0009826741074828,272.4362542978359,655.8902822220398,502.2089911726306,GA_co2,447.2727272727272
10.90909090909091,41.81818181818181,690.0,rolled,498.4015275965732,218.7252064461954,15.39502860574575,6.467315105450898,1.0009999948528994,877.4892677641853,2112.555412142276,1617.5637161964992,GA_co2,456.198347107438
15.0,30.909090909090907,690.0,rolled,589.9168603065913,268.2833853046459,17.16815858328952,7.643640515542216,1.0009999980657984,1663.9779343423324,4006.026876929165,3067.3769241666555,GA_co2,463.6363636363636
7.636363636363637,63.63636363636363,690.0,rolled,426.3158870971692,191.2705911683041,12.034636420349768,6.000022842465624,1.0009999826568738,441.6837778345469,1063.3536951366716,814.1998760602038,GA_co2,485.9504132231405
9.272727272727272,52.72727272727273,690.0,rolled,462.4641389153228,213.3275123034288,13.345952274690832,6.000108848202108,1.0009993544013625,635.0452411426587,1528.8714180509508,1170.642397522377,GA_co2,488.9256198347107
11.727272727272728,41.81818181818181,690.0,rolled,507.21436180852544,238.2879472015634,15.83106604562644,6.650744956868274,1.0009990528822368,1035.0070203037717,2491.77940138133,1907.931941227972,GA_co2,490.41322314049586
6.818181818181818,74.54545454545453,690.0,rolled,441.2530893399641,179.8430623915843,10.864024624245314,6.000000753720632,0.9986092616692284,361.06586750779576,869.2660760250183,665.5888201638705,GA_co2,508.2644628099173
6.0,85.45454545454545,690.0,rolled,407.3111217200755,168.97887515588653,10.443931313587616,6.011245799256245,1.0009965150232318,289.4350276707539,696.8148291173402,533.5445300082677,GA_co2,512.7272727272727
12.545454545454549,41.81818181818181,690.0,rolled,538.2200885915814,249.61229007961663,16.714308200024174,6.93146721026132,1.0009999775332965,1224.6505580241123,2948.3462184430514,2257.5208386616487,GA_co2,524.6280991735538
10.09090909090909,52.72727272727273,690.0,rolled,508.597691339813,226.9972145005684,13.755978850116836,6.873339142402058,1.0009999902103288,794.4647158459974,1912.6738033992387,1464.5162571905114,GA_co2,532.0661157024792
8.454545454545455,63.63636363636363,690.0,rolled,454.6879217353711,208.1262408547664,13.014335636198028,6.00809415414667,1.0009999938950207,556.9822481298453,1340.9347623726023,1026.7410762025568,GA_co2,538.0165289256198
13.363636363636363,41.81818181818181,690.0,rolled,590.9382667298324,266.48649688220587,16.16228877964081,8.030980791272563,1.0009277666749634,1442.9927814389532,3474.00512131428,2660.012893304566,GA_co2,558.8429752066115
7.636363636363637,74.54545454545453,690.0,rolled,477.9664356632509,192.4505470914838,12.33269215222898,6.237668150907805,1.000908778164041,476.7539117531852,1147.7850425457934,878.8481609258215,GA_co2,569.2561983471073
10.90909090909091,52.72727272727273,690.0,rolled,511.3346878834535,241.3836834537294,15.39229073424374,6.773777438341485,1.000845984201158,960.8688503886332,2313.2917573106347,1771.2656388064063,GA_co2,575.206611570248
6.0,96.36363636363636,690.0,rolled,444.8801337290132,173.6696642483573,10.15279843372222,6.004298208262586,1.0009994622694516,300.47563867907087,723.3951001198631,553.8967923409992,GA_co2,578.1818181818181
