arm,repair_mode,n,feasibility,gap_mean,gap_median,gap_sd,gap_p90,gap_p95,gap_worst,within_1pct,within_5pct,within_10pct,util_mean,class_mean,grade_match,repaired_frac,ec3_gen_per_design,ec3_repair_per_design,ec3_evals_per_design,sec_per_design,sec_per_design_sd
gated_cost_merged_seed42,none,47,1.0,0.3918390559435298,0.32717213734424555,0.22697391290659708,0.5525988807885562,0.7660149577514951,1.3146297287950786,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.8307814202072871,1.127659574468085,0.5319148936170213,0.0,38.06382978723404,1.0,39.06382978723404,0.05414393607606279,0.011303036594068599
gated_cost_merged_seed42,scale,47,1.0,0.24032664725655362,0.18572774423170418,0.2085253289214628,0.40787320267756494,0.6631854335718234,1.0347891455810976,0.02127659574468085,0.02127659574468085,0.2127659574468085,1.0009800291201674,1.127659574468085,0.5319148936170213,1.0,38.06382978723404,18.0,56.06382978723404,0.055923705405377326,0.011288628209052623
gated_cost_merged_seed42,scale+thin,47,1.0,0.11059063047836785,0.06390218540532895,0.15736562059405346,0.24900073006253992,0.43760554982380445,0.7578703112985414,0.1276595744680851,0.48936170212765956,0.6170212765957447,1.0008476946741243,1.3404255319148937,0.5319148936170213,1.0,38.06382978723404,76.59574468085107,114.65957446808511,0.06272224669760847,0.011490735014128655
gated_cost_merged_seed43,none,47,1.0,0.3191665100520825,0.2150829653467604,0.29702417095969785,0.7250954591238326,1.0695834023305086,1.2779675078085526,0.02127659574468085,0.02127659574468085,0.0425531914893617,0.8741705927970392,1.553191489361702,0.5319148936170213,0.0,38.06382978723404,1.0,39.06382978723404,0.049775980888529026,0.014519736383990834
gated_cost_merged_seed43,scale,47,1.0,0.21315616350447833,0.13506014265202818,0.2501653954006516,0.5239441162471893,0.8705719103624272,0.9681117135643684,0.02127659574468085,0.3191489361702128,0.46808510638297873,1.000980843771317,1.553191489361702,0.5319148936170213,1.0,38.06382978723404,18.0,56.06382978723404,0.051240013000812934,0.014792637294094834
gated_cost_merged_seed43,scale+thin,47,1.0,0.13988675783638221,0.0344412900405078,0.23547393521604496,0.45752492985046944,0.7785299796429301,0.8763937770005206,0.19148936170212766,0.6170212765957447,0.723404255319149,0.9999438170530519,1.446808510638298,0.5319148936170213,1.0,38.06382978723404,76.55319148936171,114.61702127659575,0.05654720549887799,0.015872075143236956
gated_cost_merged_seed44,none,47,1.0,0.3057822280358104,0.24596336223173051,0.2517223487894351,0.5301592784830578,1.0013760001433922,1.1318138161512716,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.8590374378836209,1.6595744680851063,0.6382978723404256,0.0,37.97872340425532,1.0,38.97872340425532,0.040658879787363905,0.008430101971339577
gated_cost_merged_seed44,scale,47,1.0,0.19129828986156652,0.13506014265202818,0.2294557513017888,0.4198392058146913,0.7614320567693461,0.9294846211979365,0.1702127659574468,0.3617021276595745,0.425531914893617,1.0009809641963383,1.6595744680851063,0.6382978723404256,1.0,37.97872340425532,18.0,55.97872340425532,0.04183113321344903,0.008460044461330165
gated_cost_merged_seed44,scale+thin,47,1.0,0.11861941402579854,0.024198093596098404,0.21482063975931903,0.41778579672393323,0.6998199555144555,0.8289661425826363,0.2765957446808511,0.6382978723404256,0.723404255319149,1.0009926830523603,1.5106382978723405,0.6382978723404256,1.0,37.97872340425532,76.55319148936171,114.53191489361703,0.04579791109612648,0.00853520200019959
gated_cost_merged_seed45,none,47,1.0,0.3567354677507904,0.25426530337251796,0.3130949508760799,0.7405854386612868,1.165553954993938,1.4173331721602778,0.02127659574468085,0.02127659574468085,0.0425531914893617,0.8302344161735395,1.4042553191489362,0.5531914893617021,0.0,38.06382978723404,1.0,39.06382978723404,0.04036408282340841,0.008351602716071849
gated_cost_merged_seed45,scale,47,1.0,0.21083800507110245,0.12822170943842184,0.28025395422357957,0.6012491543385277,0.9755653195497345,1.0347891455810976,0.0851063829787234,0.3617021276595745,0.46808510638297873,1.0009765845934302,1.4042553191489362,0.5531914893617021,1.0,38.06382978723404,18.0,56.06382978723404,0.04150114160902957,0.00838699346230279
gated_cost_merged_seed45,scale+thin,47,1.0,0.1370411531869519,0.03657821700634398,0.23110759527260497,0.4244001975455793,0.7819321062036262,0.8781176097486187,0.2127659574468085,0.5531914893617021,0.7021276595744681,1.0009903253973664,1.4893617021276595,0.5531914893617021,1.0,38.06382978723404,73.2127659574468,111.27659574468085,0.04539858026707426,0.008493413289504993
gated_cost_merged_seed46,none,47,1.0,0.31439583999836046,0.24951004564042956,0.22580240428748774,0.5068574611296345,0.7660149577514951,1.2263218772079532,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.883925935593303,1.1702127659574468,0.48936170212765956,0.0,37.765957446808514,1.0,38.765957446808514,0.04102486245175625,0.009072588438393798
gated_cost_merged_seed46,scale,47,1.0,0.22026963848613515,0.15310023722456703,0.22681484935571736,0.41076442664785595,0.6631854335718234,1.1343453329962607,0.02127659574468085,0.0851063829787234,0.1702127659574468,1.0009771138632364,1.1702127659574468,0.48936170212765956,1.0,37.765957446808514,18.0,55.765957446808514,0.04220476556331553,0.009088567960303991
gated_cost_merged_seed46,scale+thin,47,1.0,0.11638669354345699,0.05104404457528128,0.17944923406040295,0.24403813045218156,0.43760554982380445,0.8781176097508232,0.2127659574468085,0.48936170212765956,0.6170212765957447,1.0009080853402104,1.3617021276595744,0.48936170212765956,1.0,37.765957446808514,76.34042553191489,114.1063829787234,0.046262375851894945,0.009243111118966744
