label_set,N,model,topk,context_idx,span_m,load_kNm,gt_economy,mode,feasible,gap,n_dec,n_repair,n_total,region
0,208,knn,1,0,6.0,150.0,718.2839060185494,none,1,-0.0007573318885343294,4,0,4,load_extrapolation
0,208,knn,1,0,6.0,150.0,718.2839060185494,scale,1,-0.0022662379037037272,4,18,22,load_extrapolation
0,208,knn,1,0,6.0,150.0,718.2839060185494,scale+thin,1,-0.0022662379037037272,4,55,59,load_extrapolation
0,208,knn,2,0,6.0,150.0,718.2839060185494,none,1,-0.0007573318885343294,7,0,7,load_extrapolation
0,208,knn,2,0,6.0,150.0,718.2839060185494,scale,1,-0.0022662379037037272,7,18,25,load_extrapolation
0,208,knn,2,0,6.0,150.0,718.2839060185494,scale+thin,1,-0.0022662379037037272,7,55,62,load_extrapolation
0,208,knn,3,0,6.0,150.0,718.2839060185494,none,1,-0.0007573318885343294,12,0,12,load_extrapolation
0,208,knn,3,0,6.0,150.0,718.2839060185494,scale,1,-0.0022662379037037272,12,18,30,load_extrapolation
0,208,knn,3,0,6.0,150.0,718.2839060185494,scale+thin,1,-0.0022662379037037272,12,55,67,load_extrapolation
0,208,knn,1,1,6.0,165.71428571428572,766.0869680124856,none,1,-0.0041012345115416515,4,0,4,load_extrapolation
0,208,knn,1,1,6.0,165.71428571428572,766.0869680124856,scale,1,-0.005605091067812262,4,18,22,load_extrapolation
0,208,knn,1,1,6.0,165.71428571428572,766.0869680124856,scale+thin,1,-0.005605091067812262,4,55,59,load_extrapolation
0,208,knn,2,1,6.0,165.71428571428572,766.0869680124856,none,1,-0.0041012345115416515,7,0,7,load_extrapolation
0,208,knn,2,1,6.0,165.71428571428572,766.0869680124856,scale,1,-0.005605091067812262,7,18,25,load_extrapolation
0,208,knn,2,1,6.0,165.71428571428572,766.0869680124856,scale+thin,1,-0.005605091067812262,7,55,62,load_extrapolation
0,208,knn,3,1,6.0,165.71428571428572,766.0869680124856,none,1,-0.0041012345115416515,12,0,12,load_extrapolation
0,208,knn,3,1,6.0,165.71428571428572,766.0869680124856,scale,1,-0.005605091067812262,12,18,30,load_extrapolation
0,208,knn,3,1,6.0,165.71428571428572,766.0869680124856,scale+thin,1,-0.005605091067812262,12,55,67,load_extrapolation
0,208,knn,1,2,6.0,181.42857142857144,809.0128740060688,none,1,-0.0030263112532230574,4,0,4,load_extrapolation
0,208,knn,1,2,6.0,181.42857142857144,809.0128740060688,scale,1,-0.004554592547854397,4,18,22,load_extrapolation
0,208,knn,1,2,6.0,181.42857142857144,809.0128740060688,scale+thin,1,-0.004554592547854397,4,55,59,load_extrapolation
0,208,knn,2,2,6.0,181.42857142857144,809.0128740060688,none,1,-0.0030263112532230574,7,0,7,load_extrapolation
0,208,knn,2,2,6.0,181.42857142857144,809.0128740060688,scale,1,-0.004554592547854397,7,18,25,load_extrapolation
0,208,knn,2,2,6.0,181.42857142857144,809.0128740060688,scale+thin,1,-0.004554592547854397,7,55,62,load_extrapolation
0,208,knn,3,2,6.0,181.42857142857144,809.0128740060688,none,1,-0.0030263112532230574,10,0,10,load_extrapolation
0,208,knn,3,2,6.0,181.42857142857144,809.0128740060688,scale,1,-0.004554592547854397,10,18,28,load_extrapolation
0,208,knn,3,2,6.0,181.42857142857144,809.0128740060688,scale+thin,1,-0.004554592547854397,10,55,65,load_extrapolation
0,208,knn,1,3,6.0,197.14285714285717,854.6554477993761,none,1,-0.007061408861587459,3,0,3,load_extrapolation
0,208,knn,1,3,6.0,197.14285714285717,854.6554477993761,scale,1,-0.008265551293297535,3,18,21,load_extrapolation
0,208,knn,1,3,6.0,197.14285714285717,854.6554477993761,scale+thin,1,-0.008265551293297535,3,55,58,load_extrapolation
0,208,knn,2,3,6.0,197.14285714285717,854.6554477993761,none,1,-0.007061408861587459,6,0,6,load_extrapolation
