context_idx,span_m,load_kNm,gt_economy,method,space,gen_budget,seed,n_gen,n_gen_sizing,mode,feasible,best_economy,gap,n_repair,n_total,wall_s
0,6.0,20.0,241.3288087904857,ga,reparam,10,0,10,9,none,1,272.766374702905,0.13026859938513358,0,10,0.006641496000042935
0,6.0,20.0,241.3288087904857,ga,reparam,10,0,10,9,scale,1,271.3944630725627,0.12458377610515226,18,28,0.006738836000067749
0,6.0,20.0,241.3288087904857,ga,reparam,10,0,10,9,scale+thin,1,270.3067666140787,0.12007666208119705,54,64,0.016207606999955715
0,6.0,20.0,241.3288087904857,ga,reparam,10,1,10,9,none,1,493.60439434914133,1.0453604226657975,0,10,0.004290198000035161
0,6.0,20.0,241.3288087904857,ga,reparam,10,1,10,9,scale,1,492.45104650870894,1.0405812674285393,18,28,0.004547116000026108
0,6.0,20.0,241.3288087904857,ga,reparam,10,1,10,9,scale+thin,1,489.26800532099975,1.02739162296105,54,64,0.015711790000068504
0,6.0,20.0,241.3288087904857,ga,reparam,10,2,10,9,none,1,462.5139705199881,0.9165302842957659,0,10,0.0043483179999839194
0,6.0,20.0,241.3288087904857,ga,reparam,10,2,10,9,scale,1,443.6697002351507,0.8384448274483929,18,28,0.006688969000038014
0,6.0,20.0,241.3288087904857,ga,reparam,10,2,10,9,scale+thin,1,409.3525289745648,0.6962439379956171,72,82,0.02093745900003796
0,6.0,20.0,241.3288087904857,ga,reparam,10,3,10,8,none,1,355.3121101000582,0.47231535215726894,0,10,0.004154477000042789
0,6.0,20.0,241.3288087904857,ga,reparam,10,3,10,8,scale,1,354.4076882289459,0.468567677457157,18,28,0.006556835999958821
0,6.0,20.0,241.3288087904857,ga,reparam,10,3,10,8,scale+thin,1,337.15043501001776,0.39705838146626515,75,85,0.021130226999957813
0,6.0,20.0,241.3288087904857,ga,reparam,10,4,10,9,none,1,292.5292858561184,0.21216065053419864,0,10,0.004075326000020141
0,6.0,20.0,241.3288087904857,ga,reparam,10,4,10,9,scale,1,291.56467956758325,0.20816358821341874,18,28,0.00668316999997387
0,6.0,20.0,241.3288087904857,ga,reparam,10,4,10,9,scale+thin,1,255.9156925997849,0.060444021923478974,72,82,0.02075719700007994
0,6.0,20.0,241.3288087904857,ga,reparam,25,0,25,22,none,1,396.20011946701453,0.6417439818011257,0,25,0.010888685999930203
0,6.0,20.0,241.3288087904857,ga,reparam,25,0,25,22,scale,1,388.1802964385009,0.6085120478736841,18,43,0.004458088000092175
0,6.0,20.0,241.3288087904857,ga,reparam,25,0,25,22,scale+thin,1,388.1802964385009,0.6085120478736841,35,60,0.009038857000064127
0,6.0,20.0,241.3288087904857,ga,reparam,25,1,25,22,none,1,274.95753135212067,0.13934814799019857,0,25,0.011057453000034911
0,6.0,20.0,241.3288087904857,ga,reparam,25,1,25,22,scale,1,274.49851326509804,0.13744610368258714,18,43,0.004657939999901828
0,6.0,20.0,241.3288087904857,ga,reparam,25,1,25,22,scale+thin,1,255.3349253817025,0.05803748280785026,72,97,0.02278659899991453
0,6.0,20.0,241.3288087904857,ga,reparam,25,2,25,22,none,1,366.9413064896507,0.520503533451814,0,25,0.010290749999967375
0,6.0,20.0,241.3288087904857,ga,reparam,25,2,25,22,scale,1,365.6415317511871,0.5151176255489076,18,43,0.00736917300002915
0,6.0,20.0,241.3288087904857,ga,reparam,25,2,25,22,scale+thin,1,353.89877000587404,0.4664588607534135,74,99,0.02053322200004004
0,6.0,20.0,241.3288087904857,ga,reparam,25,3,25,22,none,1,273.7714209187668,0.13443323360721005,0,25,0.009572354000056293
0,6.0,20.0,241.3288087904857,ga,reparam,25,3,25,22,scale,1,271.39433649241175,0.12458325159193073,18,43,0.004677122999964922
0,6.0,20.0,241.3288087904857,ga,reparam,25,3,25,22,scale+thin,1,270.3067666140787,0.12007666208119705,54,79,0.018115086999955565
0,6.0,20.0,241.3288087904857,ga,reparam,25,4,25,21,none,1,446.6653292790586,0.8508578876997639,0,25,0.010574892000022373
0,6.0,20.0,241.3288087904857,ga,reparam,25,4,25,21,scale,1,442.9924765073397,0.8356385991692032,18,43,0.005584382999927584
0,6.0,20.0,241.3288087904857,ga,reparam,25,4,25,21,scale+thin,1,436.6473197844986,0.8093460203650302,72,97,0.022778536999908283
0,6.0,20.0,241.3288087904857,ga,reparam,40,0,40,36,none,1,273.2021017462004,0.13207413203363605,0,40,0.015575190000049588
0,6.0,20.0,241.3288087904857,ga,reparam,40,0,40,36,scale,1,269.65545295883084,0.11737779799401182,18,58,0.004621567000071991
0,6.0,20.0,241.3288087904857,ga,reparam,40,0,40,36,scale+thin,1,269.65545295883084,0.11737779799401182,18,58,0.00675302100000863
0,6.0,20.0,241.3288087904857,ga,reparam,40,1,40,35,none,1,403.0284410856727,0.670038662626349,0,40,0.015609645000040473
0,6.0,20.0,241.3288087904857,ga,reparam,40,1,40,35,scale,1,373.7156620173803,0.5485745936856996,18,58,0.004542063000030794
0,6.0,20.0,241.3288087904857,ga,reparam,40,1,40,35,scale+thin,1,327.71096294800105,0.3579438136310933,72,112,0.02023869900006048
0,6.0,20.0,241.3288087904857,ga,reparam,40,2,40,36,none,1,457.59825501543423,0.8961609155113637,0,40,0.015911562999917805
0,6.0,20.0,241.3288087904857,ga,reparam,40,2,40,36,scale,1,455.3719677097921,0.8869357951587624,18,58,0.004698078999922473
0,6.0,20.0,241.3288087904857,ga,reparam,40,2,40,36,scale+thin,1,455.3719677097921,0.8869357951587624,18,58,0.006859348000034515
0,6.0,20.0,241.3288087904857,ga,reparam,40,3,40,35,none,1,241.65234967119275,0.0013406641433677535,0,40,0.0173440109999774
0,6.0,20.0,241.3288087904857,ga,reparam,40,3,40,35,scale,1,241.32488302723397,-1.6267279780768362e-05,18,58,0.004600338000045667
0,6.0,20.0,241.3288087904857,ga,reparam,40,3,40,35,scale+thin,1,241.32488302723397,-1.6267279780768362e-05,18,58,0.006719684000017878
0,6.0,20.0,241.3288087904857,ga,reparam,40,4,40,34,none,1,339.3835119573811,0.4063116362208685,0,40,0.015673932999902718
0,6.0,20.0,241.3288087904857,ga,reparam,40,4,40,34,scale,1,338.7659661230165,0.4037526966667404,18,58,0.00357636800004002
