rl,mode,rl_gap_mean,rl_evals_per_design,baseline,space,baseline_gap_at_rl_evals,baseline_evals_to_match_rl_gap,eval_saving_per_design,breakeven_designs,note
ppo_e5_linear_1M,none,0.43344106494374385,39.91267605633803,cmaes,raw,0.6568789129882966,79.84465871965962,39.93198266332159,25042.583245397484,
ppo_e5_linear_1M,none,0.43344106494374385,39.91267605633803,cmaes,reparam,0.4326148474584065,39.78185749149012,-0.13081856484790677,,
ppo_e5_linear_1M,none,0.43344106494374385,39.91267605633803,de,raw,0.6303373068676306,79.56518864416485,39.65251258782682,25219.08284588746,
ppo_e5_linear_1M,none,0.43344106494374385,39.91267605633803,de,reparam,0.33601141848675514,22.070677027280976,-17.841999029057053,,
ppo_e5_linear_1M,none,0.43344106494374385,39.91267605633803,ga,raw,0.6787786005860864,88.03546604960736,48.122789993269336,20780.175050944978,
ppo_e5_linear_1M,none,0.43344106494374385,39.91267605633803,ga,reparam,0.35699041473842635,24.94177401365525,-14.970902042682777,,
ppo_e5_linear_1M,none,0.43344106494374385,39.91267605633803,rand,raw,0.8033524565385326,358.58351182859076,318.67083577225276,3138.034259007871,
ppo_e5_linear_1M,none,0.43344106494374385,39.91267605633803,rand,reparam,0.3406081363401192,25.000075394422467,-14.912600661915562,,
ppo_e5_linear_1M,scale,0.19499543926533616,56.91267605633803,cmaes,raw,0.5161582301866685,199.58699471380154,142.67431865746352,7008.9698651432,
ppo_e5_linear_1M,scale,0.19499543926533616,56.91267605633803,cmaes,reparam,0.4436418754373539,156.0312573867378,99.11858133039976,10088.925674456754,
ppo_e5_linear_1M,scale,0.19499543926533616,56.91267605633803,de,raw,0.5161884292314997,230.50371097921976,173.59103492288173,5760.6661567761985,
ppo_e5_linear_1M,scale,0.19499543926533616,56.91267605633803,de,reparam,0.339476490599985,128.36366482889147,71.45098877255344,13995.607579109264,
ppo_e5_linear_1M,scale,0.19499543926533616,56.91267605633803,ga,raw,0.5732355076323449,270.54492829582387,213.63225223948584,4680.941147776605,
ppo_e5_linear_1M,scale,0.19499543926533616,56.91267605633803,ga,reparam,0.3599556644997485,161.8903372032889,104.97766114695088,9525.836154800305,
ppo_e5_linear_1M,scale,0.19499543926533616,56.91267605633803,rand,raw,0.6003446282898407,,,,baseline never reaches RL gap within tested budgets
ppo_e5_linear_1M,scale,0.19499543926533616,56.91267605633803,rand,reparam,0.34233190804348174,183.16341545905357,126.25073940271554,7920.745690131704,
ppo_e5_linear_1M,scale+thin,0.0904814916342811,112.62535211267605,cmaes,raw,0.27252085489311895,322.1863534788982,209.56100136622211,4771.88023287039,
ppo_e5_linear_1M,scale+thin,0.0904814916342811,112.62535211267605,cmaes,reparam,0.2765545433502617,355.3384811602239,242.71312904754785,4120.090264272842,
ppo_e5_linear_1M,scale+thin,0.0904814916342811,112.62535211267605,de,raw,0.27068539992961116,376.6263201816462,264.0009680689701,3787.864898051247,
ppo_e5_linear_1M,scale+thin,0.0904814916342811,112.62535211267605,de,reparam,0.204749745152345,284.4658781436166,171.8405260309405,5819.349038887057,
ppo_e5_linear_1M,scale+thin,0.0904814916342811,112.62535211267605,ga,raw,0.30067537794582677,390.7232445146243,278.09789240194823,3595.8560899650834,
ppo_e5_linear_1M,scale+thin,0.0904814916342811,112.62535211267605,ga,reparam,0.2281706253106342,348.8056492344979,236.1802971218218,4234.053442164144,
ppo_e5_linear_1M,scale+thin,0.0904814916342811,112.62535211267605,rand,raw,0.31747851393009313,,,,baseline never reaches RL gap within tested budgets
ppo_e5_linear_1M,scale+thin,0.0904814916342811,112.62535211267605,rand,reparam,0.21238397314894525,408.56931580899146,295.9439636963154,3379.0180664950335,
