mode,span_m,load_kNm,util,grade,stype,h,b,tf,tw,c_agent,c_rescaled,util_rescaled,scale,c_samegrade,c_opt,opt_grade,opt_type,infeasible,gap_total,gap_after_rescale,gap_shape_plus_grade,comp_slack,comp_shape,comp_grade
False,6.0,20.0,0.755990344590759,355.0,rolled,250.0,157.05299833441083,8.990563365278469,6.0,298.16555212911305,241.3234394874473,1.0009999999999202,0.7992316327285152,241.32394330328117,241.32394330328117,355,rolled,False,0.2355406929282471,-2.0877159015997293e-06,0.0,0.23554278064414869,-2.0877159015997293e-06,0.0
False,6.0,30.909090909090907,0.7398401388086501,355.0,rolled,275.3933863767951,170.63399125556268,10.601481998250971,6.0,363.7225905428577,312.67253794257,1.00099999999906,0.9145940050091667,293.1784667866335,293.1784667866335,355,rolled,False,0.24061836644900692,0.06649216557273174,0.0,0.17412620087627517,0.06649216557273174,0.0
False,6.0,41.81818181818181,0.7849989723501976,355.0,rolled,312.79197410751954,173.3257355719737,11.627668049219029,6.0,407.91445061509137,357.82119208823985,1.0009999999991346,0.9254246494801006,342.2463887683556,342.2463887683556,355,rolled,False,0.19187364425686382,0.04550757533463945,0.0,0.14636606892222437,0.04550757533463945,0.0
False,6.0,52.72727272727273,0.8883563798435934,355.0,rolled,363.2377971218223,165.94512194131377,12.220035451717283,6.545252072802675,443.6466957133546,413.9124780274663,1.0009999999980077,0.9659077127633284,381.4244664406149,381.4244664406149,355,rolled,False,0.1631311956817727,0.08517547888320798,0.0,0.07795571679856472,0.08517547888320798,0.0
False,6.0,63.63636363636363,0.8629392593423877,355.0,rolled,383.3422996458223,182.8918639573706,12.90559147060033,6.13184266970509,488.8904331118531,449.9880930458918,1.0009999999979595,0.955795880388905,420.0142340236296,420.0142340236296,355,rolled,False,0.16398539265778456,0.07136391244439544,0.0,0.09262148021338912,0.07136391244439544,0.0
False,6.0,74.54545454545453,0.8472681569253644,355.0,rolled,416.2801964407841,186.86017921659118,13.758311305730073,6.191787226559442,533.8632819120933,485.4403649403839,1.0009999999999186,0.9506446596582464,446.8639375548273,446.8639375548273,355,rolled,False,0.1946886670544805,0.08632700950683336,0.0,0.10836165754764715,0.08632700950683336,0.0
False,6.0,85.45454545454545,0.9462365199527379,355.0,rolled,456.18821404577454,185.66499179392085,14.393120513906224,6.069836386618091,561.4411451005078,543.4543691931118,1.0009999999998336,0.9829448705432697,477.37692626914094,477.37692626914094,355,rolled,False,0.17609610813902687,0.13841775604947637,0.0,0.037678352089550504,0.13841775604947637,0.0
False,6.0,96.36363636363636,1.0006655975868537,355.0,rolled,482.73637074951375,193.92017972473428,13.337540406795801,6.547226740691686,576.9937395506341,576.8767376952474,1.000999999999657,0.9998986056699324,512.46686792508,512.46686792508,355,rolled,False,0.12591423107373956,0.12568592001070344,0.0,0.00022831106303611293,0.12568592001070344,0.0
False,6.0,107.27272727272728,0.8563937947135722,355.0,rolled,512.3154188384784,184.1703442859813,15.419537425919524,7.402036433369162,653.7097563113273,596.2653470024085,1.0009999999987687,0.9550526232967058,535.2426456429821,535.2426456429821,355,rolled,False,0.22133346741463722,0.11400941583442092,0.0,0.1073240515802163,0.11400941583442092,0.0
False,6.0,118.18181818181816,0.8279690852710245,355.0,rolled,547.2281639004057,174.46025947995943,17.675448496141694,7.746859636232777,716.5959392477971,641.6256094017486,1.00099999999775,0.946245165128039,564.7428560600844,564.7428560600844,355,rolled,False,0.26888889617322875,0.13613762886357716,0.0,0.1327512673096516,0.13613762886357716,0.0
