arm,repair_mode,checkpoint,steps,n,feasibility,gap_mean,gap_median,gap_sd,gap_p90,gap_p95,gap_worst,within_1pct,within_5pct,within_10pct,util_mean,class_mean,grade_match,repaired_frac,ec3_gen_per_design,ec3_repair_per_design,ec3_evals_per_design,sec_per_design,sec_per_design_sd
gated_cost_merged_seed43,none,checkpoint_200000_steps,200000,142,1.0,1.9992536604598456,1.8869675463313,0.8251443031347429,3.0886382700392567,3.287243912425946,5.4692133417528,0.0,0.0,0.0140845070422535,0.5297870763919847,1.1690140845070425,0.0211267605633802,0.0,39.316901408450704,1.0,40.316901408450704,0.0199795373728577,0.0030257102410106
gated_cost_merged_seed43,scale+thin,checkpoint_200000_steps,200000,142,1.0,0.4863988902070976,0.459629673993244,0.2949626362102769,0.8401947526816167,1.076881667151341,1.3749424029880832,0.0140845070422535,0.0140845070422535,0.0211267605633802,1.000985888489869,2.626760563380281,0.0211267605633802,1.0,39.316901408450704,70.14084507042253,109.45774647887325,0.0224561372273404,0.0031799508010258
gated_cost_merged_seed43,none,checkpoint_400000_steps,400000,142,1.0,0.6874141035415416,0.6166715438314467,0.3048163079756186,1.1960973358670013,1.303149687523362,1.4462795489237237,0.0,0.0,0.0,0.6154108076101775,1.204225352112676,0.4507042253521127,0.0,39.53521126760563,1.0,40.53521126760563,0.0201613197863941,0.0029184649183447
gated_cost_merged_seed43,scale+thin,checkpoint_400000_steps,400000,142,1.0,0.2048543321048909,0.1436705298142162,0.1932593908555623,0.5162037228246498,0.6879411731216892,0.9409828979130334,0.0,0.1338028169014084,0.2746478873239437,1.0008976153428684,1.6971830985915493,0.4507042253521127,1.0,39.53521126760563,72.64084507042253,112.17605633802818,0.0226796932623419,0.00301224929169
gated_cost_merged_seed43,none,checkpoint_600000_steps,600000,142,1.0,0.4853566259405152,0.3422288862674468,0.3249119240508311,0.971073807385984,1.2194847646430251,1.7146705156747883,0.0,0.0,0.0,0.6920248120314743,1.4225352112676055,0.8450704225352113,0.0,39.53521126760563,1.0,40.53521126760563,0.0204502243391225,0.0022378340809533
gated_cost_merged_seed43,scale+thin,checkpoint_600000_steps,600000,142,1.0,0.1044162218776253,0.0356427925007044,0.2057869804918184,0.1667554573704416,0.553405596579528,1.0094522195386264,0.0774647887323943,0.5845070422535211,0.8380281690140845,1.00098649831883,1.6126760563380282,0.8450704225352113,1.0,39.53521126760563,73.5,113.03521126760565,0.0229670548103225,0.0022225028250494
gated_cost_merged_seed43,none,checkpoint_800000_steps,800000,142,1.0,0.462700100222667,0.3965188021798475,0.2564615859660395,0.7464058190605847,1.1232745529484292,1.339471468609042,0.0,0.0,0.0,0.7514518018019235,1.352112676056338,0.823943661971831,0.0,39.53521126760563,1.0,40.53521126760563,0.0211622731786378,0.0064327949071819
gated_cost_merged_seed43,scale+thin,checkpoint_800000_steps,800000,142,1.0,0.1167275641754991,0.0505047909974863,0.2066161049849556,0.1925864070352965,0.6676910046554188,0.9979447374094662,0.0704225352112676,0.4929577464788732,0.7816901408450704,1.0009905394828147,1.6126760563380282,0.823943661971831,1.0,39.53521126760563,74.66197183098592,114.19718309859157,0.0237629128174043,0.0064387578317006
gated_cost_merged_seed43,none,checkpoint_1000000_steps,1000000,142,1.0,0.2735646369130194,0.1984694787875833,0.182544939647303,0.4894632879172195,0.6072363908645215,1.1329024069198146,0.0,0.0,0.0,0.8165586173838756,1.5633802816901408,0.823943661971831,0.0,39.32394366197183,1.0,40.32394366197183,0.0209415009323979,0.003615139070444
gated_cost_merged_seed43,scale+thin,checkpoint_1000000_steps,1000000,142,1.0,0.0784037494631057,0.0429264249627751,0.1423621618256485,0.1351324761381129,0.2090411578655589,0.95548017023889,0.0985915492957746,0.5633802816901409,0.8450704225352113,1.0009867683720255,1.6549295774647887,0.823943661971831,1.0,39.32394366197183,72.80281690140845,112.12676056338027,0.0235228488143061,0.0038208358330494
gated_cost_merged_seed43,none,checkpoint_1200000_steps,1200000,142,1.0,0.2660827673549875,0.2032354387619508,0.1842120767396718,0.416171339801083,0.5747989953540602,1.13844893694635,0.0,0.0,0.0211267605633802,0.8389605716344665,1.5140845070422535,0.8380281690140845,0.0,38.76056338028169,1.0,39.76056338028169,0.0203162750727693,0.0031648325734329
gated_cost_merged_seed43,scale+thin,checkpoint_1200000_steps,1200000,142,1.0,0.0835855003559039,0.0363937568419405,0.1653695398666421,0.1296120009268264,0.2140949929150404,0.9183324796998976,0.0704225352112676,0.5985915492957746,0.852112676056338,1.0009889412115525,1.5985915492957747,0.8380281690140845,1.0,38.76056338028169,74.2394366197183,113.0,0.0228495900060089,0.003134501980854
gated_cost_merged_seed43,none,final_model,1302528,142,1.0,0.2320094513017739,0.1731638572897647,0.1629660566428219,0.4275640733884581,0.5426588267355389,1.0266996596894298,0.0,0.0,0.0070422535211267,0.8378023850366535,1.6056338028169015,0.8380281690140845,0.0,38.96478873239437,1.0,39.96478873239437,0.0210084780840806,0.0044912828145833
gated_cost_merged_seed43,scale+thin,final_model,1302528,142,1.0,0.0752687857211269,0.0407988660743043,0.1431240644878148,0.1231683303615987,0.1653674390715652,0.899379871339154,0.1056338028169014,0.5845070422535211,0.8661971830985915,1.000985607978638,1.6619718309859155,0.8380281690140845,1.0,38.96478873239437,71.22535211267606,110.19014084507042,0.0234792350043713,0.0045881332006575
