arm,repair_mode,n,feasibility,gap_mean,gap_median,gap_sd,gap_p90,gap_p95,gap_worst,within_1pct,within_5pct,within_10pct,util_mean,class_mean,grade_match,repaired_frac,ec3_evals_per_design,sec_per_design
gated_cost_seed42,none,142,1.0,0.5717015050870576,0.4957269477567344,0.3079507130323626,1.0423398311183003,1.2389729898173565,1.7043240850571046,0.0,0.0,0.0,0.6656458266718129,1.295774647887324,0.8169014084507042,0.0,1.0,0.020875714194606727
gated_cost_seed42,scale,142,1.0,0.2386706006546946,0.1684795667030327,0.2744434657765798,0.327771078974796,1.0489752434653425,1.4922747689903642,0.0,0.07042253521126761,0.16901408450704225,1.0009749737131355,1.2605633802816902,0.8169014084507042,1.0,18.0,0.021447732414997797
gated_cost_seed42,scale+thin,142,1.0,0.12165679954010587,0.05876891448671123,0.22021264466433046,0.1636167438469012,0.8619709036061811,1.00682425098879,0.04929577464788732,0.4295774647887324,0.7816901408450704,1.000859101160824,1.3661971830985915,0.8169014084507042,1.0,73.45774647887323,0.023440742156874965
gated_cost_seed42,scale+thin_rolled,142,1.0,0.17224131294687933,0.0968002262269496,0.2561976931936422,0.2597366932838684,1.0276215398054864,1.1954044229026737,0.0,0.14788732394366197,0.5492957746478874,0.9988439700718673,2.204225352112676,0.8169014084507042,1.0,36.809859154929576,0.022125952680345992
gated_cost_seed43,none,142,1.0,0.4820601536063497,0.41369326236987103,0.23891578051663562,0.8061770219155034,0.9306453433659769,1.371735862981156,0.0,0.0,0.0,0.7396756259596148,1.3661971830985915,0.8169014084507042,0.0,1.0,0.02103119836726659
gated_cost_seed43,scale,142,1.0,0.24079158059594213,0.20282617009267112,0.19544922848050678,0.40465159570332604,0.5893135607458883,1.0352266632712146,0.0,0.035211267605633804,0.20422535211267606,1.0009780841889173,1.3591549295774648,0.8169014084507042,1.0,18.0,0.02160115980766189
gated_cost_seed43,scale+thin,142,1.0,0.1145332735675697,0.05916237523013336,0.19492002140872808,0.1606743030222865,0.5521128530899599,0.9619530704456613,0.04929577464788732,0.44366197183098594,0.7464788732394366,1.00080652788957,1.4647887323943662,0.8169014084507042,1.0,74.25352112676056,0.02360908582176961
gated_cost_seed43,scale+thin_rolled,142,1.0,0.16309937870736735,0.09959078466133164,0.19866460881354256,0.3242565343740843,0.5893135607458883,1.0041520327671607,0.007042253521126761,0.09154929577464789,0.5,0.9994763110594396,2.091549295774648,0.8169014084507042,1.0,37.28169014084507,0.022281369692842726
gated_cost_seed44,none,142,1.0,0.36995975485572336,0.32188926605510004,0.2571023854650612,0.6893805704770454,0.8753155631506935,1.2164519718609403,0.0,0.007042253521126761,0.09859154929577464,0.8088248428862589,1.556338028169014,0.8169014084507042,0.0,1.0,0.017964776133147765
gated_cost_seed44,scale,142,1.0,0.20485332975692083,0.17259448614955186,0.2031669663451221,0.35993099633786846,0.38438387126358314,1.1102798456919756,0.02112676056338028,0.24647887323943662,0.38028169014084506,1.00097898408807,1.4577464788732395,0.8169014084507042,1.0,18.0,0.018534168391160562
gated_cost_seed44,scale+thin,142,1.0,0.11310236733439376,0.05514062445579698,0.17481174373826724,0.19894557379099437,0.24558051943431833,0.9979447374104449,0.07746478873239436,0.4507042253521127,0.647887323943662,1.0009911474139808,1.7887323943661972,0.8169014084507042,1.0,74.11267605633803,0.02054377508835054
gated_cost_seed44,scale+thin_rolled,142,1.0,0.15777920320551317,0.09277049808562235,0.19762569760221022,0.27751250090930224,0.3169902756142833,1.1102798456919756,0.035211267605633804,0.2887323943661972,0.5492957746478874,0.9999638265669724,2.056338028169014,0.8169014084507042,1.0,37.33098591549296,0.019213286923690582
gated_cost_seed45,none,142,1.0,0.39814588860792605,0.3308447462105104,0.2389397347705723,0.7306608095908267,1.0272317103694988,1.1742123094763166,0.0,0.0,0.0,0.7617768644176772,1.3943661971830985,0.8169014084507042,0.0,1.0,0.019806458916462644
gated_cost_seed45,scale,142,1.0,0.19612320200221764,0.12574046831762603,0.22798027497989748,0.3170729388258964,0.9383544580337234,1.0561569397410617,0.0,0.08450704225352113,0.3873239436619718,1.0009792778055118,1.3873239436619718,0.8169014084507042,1.0,18.0,0.02038178477488773
gated_cost_seed45,scale+thin,142,1.0,0.1292776359831909,0.05943845629197546,0.22671542551111945,0.18010443798781756,0.9035757684242786,0.9959831040016591,0.035211267605633804,0.45774647887323944,0.6830985915492958,1.0009233298566231,1.4154929577464788,0.8169014084507042,1.0,73.26760563380282,0.02236456266591247
gated_cost_seed45,scale+thin_rolled,142,1.0,0.16139402503426872,0.08763754500022691,0.23310234059029983,0.2743588615862531,0.9383544580337234,1.0561569397410617,0.007042253521126761,0.176056338028169,0.5915492957746479,1.0006219976298047,1.8591549295774648,0.8169014084507042,1.0,36.894366197183096,0.021054284673341566
gated_cost_seed46,none,142,1.0,0.554749189837473,0.49195780622454455,0.277830547946266,0.9046951038154709,1.0470668641487086,1.592668818033556,0.0,0.0,0.0,0.6989957588043865,1.4295774647887325,0.8028169014084507,0.0,1.0,0.02058632944671201
gated_cost_seed46,scale,142,1.0,0.25933741891804946,0.22442445997746546,0.24614674563474936,0.3688874323207538,0.7510653952449108,1.4922747689903642,0.0,0.02112676056338028,0.20422535211267606,1.000977049957083,1.3661971830985915,0.8028169014084507,1.0,18.0,0.021157746583643094
gated_cost_seed46,scale+thin,142,1.0,0.13728773078677026,0.0791212009853404,0.20086796365422077,0.23787455810965133,0.5702533167273448,1.00682425098879,0.028169014084507043,0.3873239436619718,0.5915492957746479,1.0009904068576132,1.8098591549295775,0.8028169014084507,1.0,72.99295774647888,0.023102520217358227
gated_cost_seed46,scale+thin_rolled,142,1.0,0.1941998012540371,0.10228607671710385,0.2343151525471185,0.33183971669120904,0.6966736996727302,1.1954044229026737,0.0,0.1056338028169014,0.49295774647887325,0.9996127168688107,2.295774647887324,0.8028169014084507,1.0,36.70422535211268,0.021807148422993406
shaped_cost_seed42,none,142,1.0,0.7236281913686546,0.6709660666372148,0.3184360990747464,0.9294246878940201,1.4643917374247866,1.9532657542712684,0.0,0.0,0.0,0.8390070518166254,1.0140845070422535,0.8098591549295775,0.0,1.0,0.020548363806496203
shaped_cost_seed42,scale,142,1.0,0.5629807997103448,0.5981998754956164,0.338202536351693,0.8242137877966412,1.2859740153909713,1.8940253681631676,0.0,0.0,0.0,1.0009790259337483,1.0140845070422535,0.8098591549295775,1.0,18.0,0.02109968662261963
shaped_cost_seed42,scale+thin,142,1.0,0.23732521206687615,0.19992179085265993,0.2584040639903878,0.4157814521078049,0.9288479453881189,1.0532207269624738,0.1056338028169014,0.2746478873239437,0.352112676056338,1.0009049555375693,1.9154929577464788,0.8098591549295775,1.0,77.2394366197183,0.023112087182595695
shaped_cost_seed42,scale+thin_rolled,142,1.0,0.3361354855787897,0.3483468709522677,0.29592371106451004,0.4991652017282749,1.1012710372111374,1.2572986463589797,0.007042253521126761,0.09154929577464789,0.29577464788732394,0.9984960455093248,2.4225352112676055,0.8098591549295775,1.0,37.87323943661972,0.02177222345916318
shaped_cost_seed43,none,142,1.0,0.6364517947899347,0.6235388120934692,0.2854163892104877,0.993609324087346,1.1224710251086194,1.6722656675164986,0.0,0.0,0.014084507042253521,0.8066055595846773,1.0,0.8169014084507042,0.0,1.0,0.020801755743966976
shaped_cost_seed43,scale,142,1.0,0.44454108870437875,0.35255004988344696,0.2916530605635755,0.9081270999664023,0.9837096098269594,1.323124751556787,0.0,0.0,0.07042253521126761,1.0009782982424011,1.0,0.8169014084507042,1.0,18.0,0.021358795568976602
shaped_cost_seed43,scale+thin,142,1.0,0.16089244647421916,0.0701873451328823,0.1969164188258334,0.3869424405638406,0.47476492168055967,0.9979447374136723,0.04225352112676056,0.4154929577464789,0.6197183098591549,1.000995327629833,1.443661971830986,0.8169014084507042,1.0,77.2605633802817,0.02341653091806761
shaped_cost_seed43,scale+thin_rolled,142,1.0,0.23476373891261504,0.10822913667912988,0.2366068814855547,0.5502901742636523,0.6059911968158571,1.1794551487003486,0.007042253521126761,0.06338028169014084,0.4154929577464789,0.9991493167087938,2.295774647887324,0.8169014084507042,1.0,38.33098591549296,0.022055993617420465
shaped_cost_seed44,none,142,1.0,0.5209099658290351,0.5173020325876887,0.21270939393448,0.7256606684951085,0.7857349562147197,1.3933625726193433,0.0,0.0,0.028169014084507043,0.8692161902900006,1.0070422535211268,0.8169014084507042,0.0,1.0,0.02093564456617328
shaped_cost_seed44,scale,142,1.0,0.4030776692998759,0.4153665742566438,0.23085975112851775,0.6818032428189371,0.7053723762701478,1.2667263141707443,0.0,0.014084507042253521,0.07746478873239436,1.0009773137086289,1.0070422535211268,0.8169014084507042,1.0,18.0,0.02149131096584696
