mode,span_m,load_kNm,util,grade,stype,h,b,tf,tw,c_agent,c_rescaled,util_rescaled,scale,c_samegrade,c_opt,opt_grade,opt_type,infeasible,gap_total,gap_after_rescale,gap_shape_plus_grade,comp_slack,comp_shape,comp_grade
False,6.0,20.0,0.676371702778795,355.0,rolled,341.7602854970897,132.41879992850772,8.604879805761254,6.0,298.87953112481074,253.89066880900717,1.000999999999883,0.8612518114370686,241.32394330328117,241.32394330328117,355,rolled,False,0.23849928454549252,0.052074093161708745,0.0,0.18642519138378377,0.052074093161708745,0.0
False,6.0,30.909090909090907,0.7511381852628738,355.0,rolled,366.56996250311744,147.06392102531572,9.527778000796124,6.161004441976547,349.6020584371803,304.5901842013659,1.000999999998066,0.9223082836590037,293.1784667866335,293.1784667866335,355,rolled,False,0.19245476064110179,0.03892413225230995,0.0,0.15353062838879183,0.03892413225230995,0.0
False,6.0,41.81818181818181,0.8663475400762027,355.0,rolled,381.3026616624736,128.18354911476754,13.91102883476995,6.0,402.20345094716,376.434398775607,1.0009999999979533,0.9600064203867988,342.2463887683556,342.2463887683556,355,rolled,False,0.17518683657867729,0.09989297514660134,0.0,0.07529386143207595,0.09989297514660134,0.0
False,6.0,52.72727272727273,0.8831620638134684,355.0,rolled,414.3820044588214,141.10266544852993,13.50785397418895,6.124402690095726,437.3630614908676,409.95064063944926,1.0009999999989998,0.9654224255205919,381.4244664406149,381.4244664406149,355,rolled,False,0.14665707098514602,0.07478852750332332,0.0,0.0718685434818227,0.07478852750332332,0.0
False,6.0,63.63636363636363,0.8566630482810683,355.0,rolled,455.1804734522939,152.7224168298425,13.001614724138413,7.1681707589418835,498.4173463399737,457.13117051701494,1.0009999999994994,0.9576875542427843,420.0142340236296,420.0142340236296,355,rolled,False,0.18666775067421448,0.08837066338874866,0.0,0.09829708728546582,0.08837066338874866,0.0
False,6.0,74.54545454545453,0.8958405252449453,355.0,rolled,478.6551559896093,148.15716688198893,14.678401473998663,7.100899112963446,533.2225999836163,501.41015344662145,1.0009999999982113,0.9697109237723454,446.8639375548273,446.8639375548273,355,rolled,False,0.19325493773637392,0.12206448385668112,0.0,0.0711904538796928,0.12206448385668112,0.0
False,6.0,85.45454545454545,0.8530567902055459,355.0,rolled,511.75214692507035,159.15171014688178,14.303945382138355,8.129138954919156,599.7494095255851,548.4450119332655,1.0009999999994967,0.9562724212034481,477.37692626914094,477.37692626914094,355,rolled,False,0.2563435233722453,0.14887205843722962,0.0,0.10747146493501569,0.14887205843722962,0.0
False,6.0,96.36363636363636,0.9880357944349935,355.0,rolled,519.3781886558728,160.90286171668845,16.000831480879256,6.796353179826388,598.4057608796641,593.8566855502437,1.0009999999986448,0.9961917530265054,512.46686792508,512.46686792508,355,rolled,False,0.16769648602365428,0.1588196676103215,0.0,0.008876818413332765,0.1588196676103215,0.0
False,6.0,107.27272727272728,0.9033029785241168,355.0,rolled,553.5983834313324,159.16208314943415,15.416456996110602,8.73721191920206,670.0741638182687,632.7291240546614,1.0009999999996317,0.9717341734546607,535.2426456429821,535.2426456429821,355,rolled,False,0.2519072784518408,0.18213511050594566,0.0,0.06977216794589514,0.18213511050594566,0.0
False,6.0,118.18181818181816,0.9346550193761032,355.0,rolled,557.5811940876084,163.9814329056382,16.08026641211644,8.067256090753807,672.7254650188562,647.005911154281,1.0009999999981112,0.9806977760797053,564.7428560600844,564.7428560600844,355,rolled,False,0.1912066842458353,0.14566462277735193,0.0,0.045542061468483386,0.14566462277735193,0.0
