arm,repair_mode,n,feasibility,gap_mean,gap_median,gap_sd,gap_p90,gap_p95,gap_worst,within_1pct,within_5pct,within_10pct,util_mean,class_mean,grade_match,repaired_frac,ec3_evals_per_design,sec_per_design
gated_cost_merged_seed42,none,142,1.0,0.3391140976061922,0.30875897747708025,0.14389645760165756,0.5153136764315215,0.6743976137194465,0.9942339842442095,0.0,0.0,0.0,0.790865336790213,1.5,0.7605633802816901,0.0,1.0,0.020673172574647715
gated_cost_merged_seed42,scale,142,1.0,0.16639985827822296,0.16237349927314318,0.06987818099211593,0.2483557776165682,0.2773231670991319,0.545319376092419,0.0,0.014084507042253521,0.13380281690140844,1.0009792652837157,1.4859154929577465,0.7605633802816901,1.0,18.0,0.021199278428520957
gated_cost_merged_seed42,scale+thin,142,1.0,0.06153583186189562,0.05645627608899714,0.04730470231102546,0.10861661577804635,0.15701881132441078,0.3508111011993868,0.06338028169014084,0.4225352112676056,0.8802816901408451,1.0008421680708144,2.176056338028169,0.7605633802816901,1.0,73.61267605633803,0.023040645559069137
gated_cost_merged_seed43,none,142,1.0,0.21845419979925276,0.2098748764142303,0.07588202980375496,0.3171278499759809,0.37533334453396483,0.48723877291390294,0.0,0.02112676056338028,0.035211267605633804,0.8652463047015867,2.0492957746478875,0.7676056338028169,0.0,1.0,0.020764243434852277
gated_cost_merged_seed43,scale,142,1.0,0.1230337718487547,0.11648747436965132,0.06063905065051766,0.1965566826096415,0.21397034284023775,0.3458497606870099,0.0,0.07746478873239436,0.3873239436619718,1.0009764486058297,2.0211267605633805,0.7676056338028169,1.0,18.0,0.02133515687055991
gated_cost_merged_seed43,scale+thin,142,1.0,0.05406786555084847,0.05060225072893691,0.05282871640794162,0.07960650276992412,0.09992152630581781,0.3342930446362313,0.11971830985915492,0.5,0.9436619718309859,1.0001722167463207,2.415492957746479,0.7676056338028169,1.0,73.30281690140845,0.023163777002146547
gated_cost_merged_seed44,none,142,1.0,0.22385462203345277,0.21164325690963537,0.09237184355570609,0.34856138000290027,0.4032054531859193,0.5444088626860943,0.0,0.0,0.04929577464788732,0.8636806042346699,2.1619718309859155,0.7676056338028169,0.0,1.0,0.020976226094742895
gated_cost_merged_seed44,scale,142,1.0,0.12422570901021887,0.11549326594432069,0.06690679854451738,0.20870898726255285,0.21704514147689463,0.4071948944587697,0.007042253521126761,0.14788732394366197,0.3732394366197183,1.000978297315012,2.091549295774648,0.7676056338028169,1.0,18.0,0.02150902613787584
gated_cost_merged_seed44,scale+thin,142,1.0,0.056810670070851346,0.04693407373177998,0.054743432262263414,0.08999452869103189,0.11465387561872425,0.3497073383989621,0.1056338028169014,0.5563380281690141,0.9225352112676056,0.9998683614594531,2.3380281690140845,0.7676056338028169,1.0,71.6830985915493,0.023275707809018418
gated_cost_merged_seed45,none,142,1.0,0.2505322163165672,0.2479270506635759,0.08738748907438303,0.35902054361340613,0.41447969368589216,0.5380462363542514,0.0,0.0,0.007042253521126761,0.8292495102291989,2.1690140845070425,0.7605633802816901,0.0,1.0,0.02107514462000887
gated_cost_merged_seed45,scale,142,1.0,0.1231212349630534,0.1174360110759759,0.05754661185585592,0.18667945545061057,0.21585698697622435,0.36579537797095746,0.0,0.06338028169014084,0.39436619718309857,1.0009774488629275,2.147887323943662,0.7605633802816901,1.0,18.0,0.021598735325772996
gated_cost_merged_seed45,scale+thin,142,1.0,0.050033072568794745,0.03747868824379541,0.0576077558983943,0.09476156920104536,0.11055785348396323,0.36579537797095746,0.14788732394366197,0.647887323943662,0.9295774647887324,1.0009679766185118,2.380281690140845,0.7605633802816901,1.0,69.29577464788733,0.02327468193752665
gated_cost_merged_seed46,none,142,1.0,0.24362875576694856,0.22119437316809007,0.10067097332545029,0.3620986400454241,0.4500816842187737,0.6740571765564833,0.0,0.0,0.014084507042253521,0.883512125873172,1.7535211267605635,0.7605633802816901,0.0,1.0,0.021143627838349676
gated_cost_merged_seed46,scale,142,1.0,0.1573995014554279,0.14704652613230443,0.0707289705431376,0.22779274644201736,0.2819126372345954,0.44519008307860714,0.007042253521126761,0.014084507042253521,0.176056338028169,1.0009545858396511,1.732394366197183,0.7605633802816901,1.0,18.0,0.02168342932848863
gated_cost_merged_seed46,scale+thin,142,1.0,0.06691669622473774,0.060510413953280884,0.05302290208841164,0.13458206018061225,0.15971839820995148,0.33312967930247545,0.04929577464788732,0.3732394366197183,0.8661971830985915,1.0005790160236547,2.288732394366197,0.7605633802816901,1.0,75.34507042253522,0.023590410259408008
ga,none,142,1.0,0.01312934385710777,0.00807692828751471,0.019075447037719212,0.0388799806057236,0.045959971781314564,0.07188002906897686,0.5492957746478874,0.9647887323943662,1.0,0.9995335937794635,2.683098591549296,0.7816901408450704,0.0,1.0,0.45127594470977783
ga,scale,142,1.0,0.012331831102184892,0.006829276496594134,0.018691335056351288,0.03794176063028611,0.045712825341638265,0.06715031445613386,0.5633802816901409,0.9647887323943662,1.0,1.0009880042023946,2.683098591549296,0.7816901408450704,0.4507042253521127,18.0,0.45175698609419274
ga,scale+thin,142,1.0,0.0082646802941806,0.003378130980851519,0.01619688094534019,0.030909470233979254,0.036722199802546616,0.058104752877822886,0.6126760563380281,0.9788732394366197,1.0,1.0007335427822408,2.6971830985915495,0.7816901408450704,0.704225352112676,55.30281690140845,0.4529519181855967
