arm,repair_mode,n,feasibility,gap_mean,gap_median,gap_sd,gap_p90,gap_p95,gap_worst,within_1pct,within_5pct,within_10pct,util_mean,class_mean,grade_match,repaired_frac,ec3_evals_per_design,sec_per_design
shaped_cost_seed42,none,142,1.0,0.7458233515714419,0.7821399766030757,0.20080579011071265,0.9901784295067011,1.0441031828216278,1.201692511441522,0.0,0.0,0.0,0.8357288464273518,1.028169014084507,0.7323943661971831,0.0,1.0,0.02069160803942613
shaped_cost_seed42,scale,142,1.0,0.576318851033573,0.6247117353943454,0.2482940386971516,0.8555593806382767,0.9110820256544441,1.0476852025058825,0.0,0.0,0.0,1.0009783433791224,1.028169014084507,0.7323943661971831,1.0,18.0,0.021207025353337676
shaped_cost_seed42,scale+thin,142,1.0,0.23036915317375048,0.3007001667763367,0.1662715374586246,0.4117083240904008,0.4370005144211671,0.5573824437896497,0.014084507042253521,0.24647887323943662,0.4014084507042254,1.00093138117723,2.323943661971831,0.7323943661971831,1.0,77.02112676056338,0.023114751762067766
shaped_cost_seed43,none,142,1.0,0.6919327142861289,0.7140320711424171,0.25985368221328664,1.0087214569137926,1.0540215490573404,1.3756098584320318,0.0,0.0,0.0,0.7775425430163241,1.0140845070422535,0.7394366197183099,0.0,1.0,0.021026493797839527
shaped_cost_seed43,scale,142,1.0,0.4597532185940758,0.43355929701091567,0.2326651857809192,0.8637132429452721,0.9849671308746338,1.1121506644602097,0.0,0.0,0.0,1.000977735477589,1.0140845070422535,0.7394366197183099,1.0,18.0,0.02154848441271715
shaped_cost_seed43,scale+thin,142,1.0,0.14216234534374866,0.08171056014144044,0.13933349211131396,0.3944642202006396,0.43763699172079196,0.6302185741336148,0.02112676056338028,0.24647887323943662,0.6056338028169014,1.0007172202878383,2.147887323943662,0.7394366197183099,1.0,76.9225352112676,0.023460132974973867
shaped_cost_seed44,none,142,1.0,0.5056404933800138,0.5071225496287616,0.14297911990130652,0.6950410541028158,0.7163838459595638,0.8540347043610105,0.0,0.0,0.0,0.7530684104322217,1.0070422535211268,0.7535211267605634,0.0,1.0,0.02104909487173591
shaped_cost_seed44,scale,142,1.0,0.2751931256189089,0.2636371228725794,0.09520324770994038,0.398423764111561,0.42934327321512417,0.6424912130919946,0.0,0.0,0.0,1.0009765029077387,1.0070422535211268,0.7535211267605634,1.0,18.0,0.021575348477968027
shaped_cost_seed44,scale+thin,142,1.0,0.08106767805787031,0.062266164822878736,0.07462305040954113,0.15270374998184505,0.20724993864366276,0.49215395695330294,0.07042253521126761,0.3591549295774648,0.7535211267605634,1.0009523684834363,2.1619718309859155,0.7535211267605634,1.0,76.33802816901408,0.023456380400859133
shaped_cost_seed45,none,142,1.0,0.6859633008151772,0.7013781579692242,0.17974732378974156,0.8968899975871086,0.9547781489323233,1.2684743091146988,0.0,0.0,0.0,0.7154316881462246,1.0140845070422535,0.7535211267605634,0.0,1.0,0.021001568982298945
