predictor,k,label_frac,n_labels,n,feasibility,gap_mean,gap_median,gap_sd,gap_p90,gap_p95,gap_worst,within_1pct,within_5pct,within_10pct,ec3_evals_per_design
knn1,1,1.0,142,142,0.9929577464788732,0.01926962334119896,0.013004351560922833,0.03411243510416876,0.034867306170149215,0.05416940974043638,0.20901404115187905,0.45390070921985815,0.9361702127659575,0.9645390070921985,24.0
knn3,3,1.0,142,142,0.9929577464788732,0.01868461794770818,0.008555084255401413,0.030548342202997937,0.05138196646341253,0.06789242306423882,0.2015281721598272,0.5460992907801419,0.8723404255319149,0.9716312056737588,24.0
knn5,5,1.0,142,142,0.9929577464788732,0.02073564278777352,0.011348582382315398,0.03102382471203705,0.05945299018747363,0.07830599753755041,0.17017206159604892,0.48226950354609927,0.851063829787234,0.9574468085106383,24.0
