k,label_frac,n_labels,span_m,load_kNm,feasible,reference,achieved,gap,util,section_class,h,b,tf,tw,fy,section_type,grade_match,n_ec3
1,1.0,142,6.0,20.0,1,241.3288087904857,241.32384923701838,-2.0551021207015907e-05,1.0009956825646393,2.0,250.0,125.52208640352781,8.0,6.0,355.0,rolled,1,24
1,1.0,142,6.0,30.909090909090907,1,292.67799548197263,295.26440665015895,0.00883705371812149,1.000994883913251,2.0,283.7078383419851,145.3979257190081,8.86969248504698,6.0,355.0,rolled,1,24
1,1.0,142,6.0,41.81818181818181,1,342.2853688824266,345.8413270402283,0.010388869876068574,1.00099460314045,2.0,360.4355128238597,154.5860072417763,9.178630897028663,6.0,355.0,rolled,1,24
1,1.0,142,6.0,52.72727272727273,1,386.25765574493386,390.4202922835685,0.010776838922730514,1.0009976863782537,2.0,335.0615717425106,168.0360357124507,10.831629960174784,6.0,355.0,rolled,1,24
1,1.0,142,6.0,63.63636363636363,1,431.68145507497405,425.91305728516085,-0.01336262589462256,1.0009927365503357,2.0,360.57909900142016,182.94708428796818,10.904379494139482,6.0,355.0,rolled,1,24
1,1.0,142,6.0,74.54545454545453,1,466.9500019446189,478.63648665429565,0.025027272001302503,1.000998093018334,2.0,439.31629176494255,173.37563834619044,11.270573199363294,6.861978330385154,355.0,rolled,1,24
1,1.0,142,6.0,85.45454545454545,1,518.2473353887603,511.503702735147,-0.013012382685102741,1.0009971200277208,2.0,436.45655649379046,194.59314651101832,11.411352539626833,6.748946553347796,355.0,rolled,1,24
1,1.0,142,6.0,96.36363636363636,1,549.7256874002802,549.8954432095979,0.0003088009405574077,1.0009902037279645,2.0,456.8339270816919,199.23270829766815,11.837105309088201,7.0618808223063185,355.0,rolled,1,24
1,1.0,142,6.0,107.27272727272728,1,586.6560772595034,591.0160883652479,0.007431971260080994,1.0009973801321064,2.0,420.4535873412837,215.80325497093725,12.982018640969702,6.980989425869062,355.0,rolled,1,24
1,1.0,142,6.0,118.18181818181816,1,628.4217050081675,623.6546257269845,-0.0075857966763274165,1.0009961327605008,2.0,513.7491974876476,201.02061977876406,12.14850914354655,8.038299072183381,355.0,rolled,1,24
1,1.0,142,6.0,129.0909090909091,1,657.4964976148059,665.187061099969,0.011696736808579411,1.0009940061624405,2.0,546.9837991024606,193.71478727012746,12.750020883482039,8.564224595509131,355.0,rolled,1,24
1,1.0,142,6.0,140.0,1,697.879425726456,690.3792067277495,-0.010747155915793227,1.0009903257798063,2.0,540.533896951233,211.50098045492325,12.781880772994862,8.45738181897838,355.0,rolled,1,24
1,1.0,142,6.818181818181818,20.0,1,317.0885192434045,317.7750626942171,0.0021651476138295767,1.0009944709057212,2.0,270.35252688212285,144.19243611081356,8.437737772868749,6.0,355.0,rolled,1,24
1,1.0,142,6.818181818181818,30.909090909090907,1,392.6423822212096,389.5329967840011,-0.00791912839265696,1.0009963789491412,2.0,315.83442846011405,161.1057552641864,9.51634233130999,6.0,355.0,rolled,1,24
1,1.0,142,6.818181818181818,41.81818181818181,1,455.0251859822217,456.06200774846997,0.002278603027237258,1.0009983706461183,2.0,344.6004121168024,174.77601488549752,10.686723184311349,6.0,355.0,rolled,1,24
1,1.0,142,6.818181818181818,52.72727272727273,1,519.9507333014534,513.8235871992947,-0.011784089741068482,1.0009915292766156,2.0,371.42087827751374,188.05528496328023,11.439240518870083,6.0,355.0,rolled,1,24
1,1.0,142,6.818181818181818,63.63636363636363,1,570.1996303697795,588.5255874129417,0.03213954563821386,1.0009985943404764,2.0,446.8345055291433,191.5060971188357,11.353269401861452,7.01386019163885,355.0,rolled,1,24
1,1.0,142,6.818181818181818,74.54545454545453,1,645.0378754655677,644.9536842050709,-0.00013052142160807634,1.0009978090415108,2.0,481.5239808288071,196.5719767291909,11.651175533411251,7.5177132065009715,355.0,rolled,1,24
1,1.0,142,6.818181818181818,85.45454545454545,1,698.212152166206,680.9735149975486,-0.024689683665880757,1.0009940419935726,2.0,433.85888220173996,218.45072000869382,13.171824507086264,6.671616512972218,355.0,rolled,1,24
1,1.0,142,6.818181818181818,96.36363636363636,1,733.8166260116295,748.9736941865558,0.020655116874779056,1.000997162189244,2.0,510.8358608297733,213.8681951966373,12.756908474954447,7.959928500402229,355.0,rolled,1,24
1,1.0,142,6.818181818181818,107.27272727272728,1,798.4291807439346,803.9295134543692,0.006888942492444539,1.0009944466768652,2.0,418.0160116884304,212.18445551892964,14.344293017200636,7.29323913122931,460.0,rolled,0,24
