arm,repair_mode,checkpoint,steps,n,feasibility,gap_mean,gap_median,gap_sd,gap_p90,gap_p95,gap_worst,within_1pct,within_5pct,within_10pct,util_mean,class_mean,grade_match,repaired_frac,ec3_gen_per_design,ec3_repair_per_design,ec3_evals_per_design,sec_per_design,sec_per_design_sd
corrcost_gated_merged_seed43,none,checkpoint_200000_steps,200000,142,1.0,1.484815919163881,1.3109219587241214,0.7182240304269946,2.4201259718332606,2.6778381705921945,4.104899061847741,0.0,0.0,0.0140845070422535,0.5057377947204914,1.0,0.3028169014084507,0.0,39.53521126760563,1.0,40.53521126760563,0.0209981085548938,0.0035135039992141
corrcost_gated_merged_seed43,scale+thin,checkpoint_200000_steps,200000,142,1.0,0.2681794658845816,0.1608473068074278,0.2655815926504095,0.568604178383273,0.6726421162614156,1.2796409816090726,0.0140845070422535,0.1126760563380281,0.3098591549295774,1.0009837195105402,1.619718309859155,0.3028169014084507,1.0,39.53521126760563,72.38732394366197,111.9225352112676,0.0235221889657034,0.0035965860131873
corrcost_gated_merged_seed43,none,checkpoint_400000_steps,400000,142,1.0,0.6362139668363804,0.561621192600599,0.2851275085402424,1.0587853002296406,1.242459807492466,1.749031097345778,0.0,0.0,0.0,0.6646690705024694,1.028169014084507,0.7887323943661971,0.0,39.53521126760563,1.0,40.53521126760563,0.0217273218531004,0.0062486382246555
corrcost_gated_merged_seed43,scale+thin,checkpoint_400000_steps,400000,142,1.0,0.0916442018508276,0.047145191285677,0.1251209165031694,0.1750472629631004,0.2990158503873326,0.7205056449188725,0.0352112676056338,0.5070422535211268,0.7183098591549296,1.0009909026837327,1.2746478873239435,0.7887323943661971,1.0,39.53521126760563,74.5,114.03521126760565,0.0243258862428262,0.0062592569237681
corrcost_gated_merged_seed43,none,checkpoint_600000_steps,600000,142,1.0,0.5192616364641911,0.4352013088043324,0.2551055562893428,0.8520263100170583,1.0890565299771415,1.638764032119986,0.0,0.0,0.0,0.6572795706401519,1.3732394366197185,0.8098591549295775,0.0,39.53521126760563,1.0,40.53521126760563,0.0215512849915195,0.0073601367451853
corrcost_gated_merged_seed43,scale+thin,checkpoint_600000_steps,600000,142,1.0,0.1098785682598445,0.063409022518682,0.1679442449228326,0.1546518797509962,0.3040015616533903,0.9979447374133478,0.0211267605633802,0.3943661971830985,0.6901408450704225,1.0009852319724482,1.5704225352112675,0.8098591549295775,1.0,39.53521126760563,73.20422535211267,112.7394366197183,0.0241145499995057,0.0073472305547626
corrcost_gated_merged_seed43,none,checkpoint_800000_steps,800000,142,1.0,0.3330925845311073,0.2914920220733734,0.1541085673362153,0.486583272851431,0.5761180396183813,1.1755139336657623,0.0,0.0,0.0,0.7583466632603753,1.4577464788732395,0.8169014084507042,0.0,39.53521126760563,1.0,40.53521126760563,0.0210420648816605,0.0026822887977866
corrcost_gated_merged_seed43,scale+thin,checkpoint_800000_steps,800000,142,1.0,0.0889336654819694,0.0601043097915071,0.111212910632441,0.1529228506268052,0.1761245752648046,0.8690010339399246,0.0352112676056338,0.352112676056338,0.7323943661971831,1.0009858270536474,1.6267605633802815,0.8169014084507042,1.0,39.53521126760563,71.33098591549296,110.8661971830986,0.0235205368256904,0.0027365845215215
corrcost_gated_merged_seed43,none,checkpoint_1000000_steps,1000000,142,1.0,0.2779865958016351,0.2382833921405,0.1980502929686377,0.3987432733936311,0.4679930564770844,1.7146705156747883,0.0,0.0,0.0,0.8034487095915824,1.4577464788732395,0.823943661971831,0.0,38.86619718309859,1.0,39.86619718309859,0.0206907399943177,0.0036901534522202
corrcost_gated_merged_seed43,scale+thin,checkpoint_1000000_steps,1000000,142,1.0,0.0791000602655981,0.0457645765603,0.1355590774672824,0.128746208404645,0.1619541338308938,1.0094522195386264,0.0704225352112676,0.5492957746478874,0.7746478873239436,1.0009853556729618,1.5845070422535212,0.823943661971831,1.0,38.86619718309859,70.93661971830986,109.80281690140843,0.0231964134834182,0.0037620510318733
corrcost_gated_merged_seed43,none,checkpoint_1200000_steps,1200000,142,1.0,0.2255158502745449,0.1830953618901473,0.1628062608755589,0.3587788873664619,0.4336385115816706,1.2210412253726186,0.0,0.0070422535211267,0.0422535211267605,0.8385350088501358,1.4859154929577465,0.823943661971831,0.0,39.08450704225352,1.0,40.08450704225352,0.0212624056238523,0.006425871371144
corrcost_gated_merged_seed43,scale+thin,checkpoint_1200000_steps,1200000,142,1.0,0.0674881907612982,0.0426077104415002,0.1192175996296387,0.1017496990896895,0.1308354048768964,0.9077095010170482,0.1056338028169014,0.5492957746478874,0.8732394366197183,1.0009854974284111,1.5774647887323945,0.823943661971831,1.0,39.08450704225352,69.07042253521126,108.15492957746478,0.0236460726026078,0.0064266689950772
corrcost_gated_merged_seed43,none,final_model,1302528,142,1.0,0.2265075912516495,0.1917421972808242,0.125753639338436,0.3551559869286168,0.4064183495988774,0.9623924235530932,0.0,0.0070422535211267,0.0352112676056338,0.841043613964438,1.4507042253521127,0.8380281690140845,0.0,38.429577464788736,1.0,39.429577464788736,0.0203994831568758,0.0058144443124384
corrcost_gated_merged_seed43,scale+thin,final_model,1302528,142,1.0,0.0663138282539133,0.0475214390127643,0.0810525739944459,0.1236946075469946,0.13203968881771,0.625011837504836,0.0492957746478873,0.5211267605633803,0.852112676056338,1.0009846633894472,1.528169014084507,0.8380281690140845,1.0,38.429577464788736,70.28169014084507,108.7112676056338,0.0228182429998693,0.0058283005628782
