update,timesteps,violation_g1_util,violation_g2_class,violation_g3_geom,lambda_g1_util,lambda_g2_class,lambda_g3_geom
1,2000,2.3626652518776363,0.011463823530902814,0.09282158144016998,11.813326259388182,0.05731911765451407,0.18564316288033997
2,4000,2.030247054659161,0.34005516291838594,0.4100959019981696,21.964561532683987,1.7575949322464437,1.005834966876679
3,6000,2.059102907692549,0.45913109792409734,0.4673515348774574,32.26007607114673,4.053250421866931,1.9405380366315939
4,8000,2.062286354046522,0.46233194065234773,0.4677938849249505,42.571507841379336,6.36491012512867,2.876125806481495
