step,a_h,a_b,a_tf,a_tw,a_grade,a_sectype,action_l2,h,b,tf,tw,fy,section_type,util,section_class,reward,in_band,consec,span_m,load_kNm,scenario_section_type
17,-0.38619924,0.66166866,-0.041343205,0.26583415,-0.5601748,-0.37746307,1.0562227964401245,714.2206782749247,280.00767387070914,34.9125898736676,16.806776757532937,460.0,rolled,0.8878691666964075,1,42.92741394042969,False,0,13.0,140.0,welded
18,0.23581654,-0.5309512,0.7521599,-0.1565197,-1.0,0.6123794,1.5174881219863892,722.2084998562352,269.93611423581825,35.0,16.541686901702953,355.0,welded,1.2352842539907392,1,-1.143767237663269,False,0,13.0,140.0,welded
19,-0.29679886,0.6311845,-0.04887884,0.17427887,-0.46851936,-0.35472074,0.929829478263855,712.5625369503514,281.4236723145841,34.90468626469374,16.824890060975623,460.0,rolled,0.8887314051851783,1,43.83688735961914,False,0,13.0,140.0,welded
20,0.2568367,-0.5664138,0.7074127,-0.14624296,-1.0,0.64631736,1.5252330303192139,720.5570847411748,271.55045604069613,35.0,16.59728507343194,355.0,welded,1.2293924388613142,1,0.02028842270374298,False,0,13.0,140.0,welded
21,-0.27491772,0.5984982,-0.04513537,0.12791152,-0.48340684,-0.33813474,0.894536554813385,712.3748745440777,281.5255911087719,34.919399794291465,16.787632744510077,460.0,rolled,0.8889942578436689,1,44.16670227050781,False,0,13.0,140.0,welded
22,0.27451938,-0.59758866,0.683397,-0.13265447,-1.0,0.6608007,1.5341966152191162,720.1752622332309,272.0166194135813,35.0,16.599165846639377,355.0,welded,1.2277040486305653,1,0.3356925845146179,False,0,13.0,140.0,welded
23,-0.26120836,0.59038067,-0.040673725,0.12628062,-0.47298282,-0.33183387,0.8764740824699402,713.098552353825,280.9736585171814,34.93388355161299,16.77022685060746,460.0,rolled,0.8883025830533895,1,43.52690124511719,False,0,13.0,140.0,welded
24,0.27796292,-0.6058425,0.68184227,-0.12634258,-1.0,0.6621226,1.53739595413208,720.2708405112685,272.21941537677804,35.0,16.607225715267877,355.0,welded,1.2263355705194743,1,0.5798699259757996,False,0,13.0,140.0,welded
25,-0.24649847,0.5866479,-0.0352503,0.13217701,-0.45245764,-0.32430604,0.8564595580101013,714.2180295914008,280.28634820316637,34.948065383325044,16.769507134607124,460.0,rolled,0.8867459664979584,1,42.04109573364258,False,0,13.0,140.0,welded
26,0.275571,-0.6099871,0.6837474,-0.12227689,-1.0,0.6628759,1.5394448041915894,720.6543413054511,272.3080139432029,35.0,16.6267105001152,355.0,welded,1.2248220328533046,1,0.8525232672691345,False,0,13.0,140.0,welded
27,-0.233774,0.5835057,-0.029788129,0.136211,-0.43387893,-0.31470907,0.8377724885940552,715.4613419226018,279.5666524240778,34.96029762247337,16.777998399080094,460.0,rolled,0.8849062395529743,1,40.298221588134766,False,0,13.0,140.0,welded
28,0.27113205,-0.61332,0.68556106,-0.118080005,-1.0,0.66438943,1.5411113500595093,721.1916253758495,272.30775917976206,35.0,16.653219362948068,355.0,welded,1.2233654806156422,1,1.1138436794281006,False,0,13.0,140.0,welded
29,-0.22261983,0.58112633,-0.024523847,0.13906609,-0.41675454,-0.30378067,0.8204725384712219,716.7112605753057,278.85725859046875,34.97038652602556,16.793159004023288,460.0,rolled,0.8830218487281981,1,38.534339904785156,False,0,13.0,140.0,welded
30,0.26548183,-0.6155493,0.6874846,-0.11348723,-1.0,0.6660388,1.5422399044036865,721.8066257073953,272.2413208119985,35.0,16.68425157448424,355.0,welded,1.2220369604628565,1,1.350585699081421,False,0,13.0,140.0,welded
31,-0.21302053,0.579437,-0.019660823,0.14080532,-0.40127116,-0.29196414,0.8047356009483337,717.8993599056865,278.1930851156318,34.97836263202502,16.813385556108443,460.0,rolled,0.8812003384956851,1,36.85252380371094,False,0,13.0,140.0,welded
32,0.25916317,-0.6167029,0.6895534,-0.10867755,-1.0,0.66759187,1.5428744554519653,722.455136690632,272.1221838508495,35.0,16.717864522309835,355.0,welded,1.2208824666417575,1,1.5550553798675537,False,0,13.0,140.0,welded
33,-0.20540026,0.57848537,-0.015522353,0.14125787,-0.38796732,-0.27984354,0.7911133766174316,718.982355294759,277.5993618801885,34.98425345497726,16.83727958793404,460.0,rolled,0.879501707217154,1,35.30615997314453,False,0,13.0,140.0,welded
34,0.25260618,-0.6168069,0.6919563,-0.10400824,-1.0,0.6689256,1.5431602001190186,723.1079467879925,271.9580578055575,35.0,16.752345892098685,355.0,welded,1.219944216198838,1,1.720343828201294,False,0,13.0,140.0,welded
35,-0.20024809,0.57843804,-0.012431018,0.1403432,-0.3772165,-0.26812056,0.7802060842514038,719.9327107716666,277.0943832492061,34.9881732455549,16.863613567500703,460.0,rolled,0.877957105645292,1,33.91880416870117,False,0,13.0,140.0,welded
36,0.24613595,-0.6158325,0.6950028,-0.09995131,-1.0,0.6699691,1.5432790517807007,723.7437631034757,271.75463805195744,35.0,16.786233626366798,355.0,welded,1.2192553794003216,1,1.8411868810653687,False,0,13.0,140.0,welded
37,-0.19800013,0.5794816,-0.010660045,0.13804702,-0.36926368,-0.25753364,0.7725625038146973,720.7311012882402,276.69220043145884,34.99026815465248,16.89125603654504,460.0,rolled,0.8769818187234354,1,33.05303192138672,False,0,13.0,140.0,welded
38,0.24040794,-0.61387587,0.6983701,-0.09725855,-1.0,0.6702894,1.543083667755127,724.3501896496462,271.5170978882392,35.0,16.818049780917466,355.0,welded,1.2188339295822197,1,1.9151009321212769,False,0,13.0,140.0,welded
39,-0.19926158,0.58208466,-0.010780685,0.13346867,-0.3642684,-0.2492433,0.7689418196678162,721.361266099994,276.40660899663766,34.99029738381505,16.91815128762752,460.0,rolled,0.8768563839024316,1,32.94240188598633,False,0,13.0,140.0,welded
0,1.0,1.0,1.0,1.0,1.0,-1.0,2.4494898319244385,595.9460533403297,209.96978987058466,22.996763200419785,14.497302667016488,690.0,rolled,1.6796060108962558,1,-173.46226501464844,False,0,13.0,100.0,welded
1,1.0,1.0,1.0,1.0,1.0,0.6032851,2.316020965576172,645.7305993007446,237.84913560841701,25.98383595804468,16.986529965037235,690.0,welded,1.147515762026652,1,10.522196769714355,False,0,13.0,100.0,welded
2,-0.6373648,0.97779834,1.0,-0.8430131,0.046270337,-0.051814392,1.7543717622756958,614.1705416505414,264.962725600694,28.95482437446224,14.89937817947421,550.0,rolled,1.0921681625795574,1,21.890026092529297,False,0,13.0,100.0,welded
3,0.6591023,-0.6019973,1.0,0.46477842,-0.30434427,0.24701665,1.4718961715698242,646.5611295538271,248.39554667932566,31.903433716572152,16.041419846958373,500.0,welded,0.9659064670183687,1,97.1655502319336,True,1,13.0,100.0,welded
4,-0.21725518,0.3209834,-0.29793406,0.70683545,-1.0,0.30994412,1.3545023202896118,635.9877783103213,257.1436347652904,31.033444374138067,17.76142943362513,355.0,welded,1.1810985644170304,1,8.178888320922852,False,0,13.0,100.0,welded
5,0.87318236,-0.50019795,0.016728766,0.88421726,-0.17065929,-0.29022792,1.3813480138778687,677.9814012801882,243.67237148509187,31.08171618022562,19.887645415606457,500.0,rolled,0.8461240776198804,1,8.178572654724121,False,0,13.0,100.0,welded
6,-0.75560904,-0.5169563,0.54631525,-0.5955119,-1.0,0.6123712,1.693009853363037,642.1495110085498,229.94414454075144,32.63613182294516,18.475650852817935,355.0,welded,1.2736272744995514,1,-8.399022102355957,False,0,13.0,100.0,welded
7,-0.22100535,-0.32529262,-0.44140774,0.45301163,-0.41427243,-0.39449957,0.9391328692436218,631.8378884252983,221.44477969603503,31.400424992735587,19.53247704443768,460.0,rolled,1.0739077931153418,1,24.04972267150879,False,0,13.0,100.0,welded
8,0.10562196,-0.41352358,-0.23675102,0.2640009,-1.0,-0.43069062,1.2220473289489746,636.676124471999,210.83708193751136,30.749732271491755,20.137132866952047,355.0,rolled,1.3035740693823463,1,-16.740602493286133,False,0,13.0,100.0,welded
9,1.0,1.0,0.5095553,-0.068737075,0.37643018,-0.9215707,1.804262638092041,681.5504931427636,235.96672839313953,32.121690508130236,19.98290621861981,620.0,rolled,0.8382957432927233,1,3.504300594329834,False,0,13.0,100.0,welded
10,-1.0,-0.1811715,0.03526204,-0.7161118,-1.0,0.97477525,1.8700453042984009,637.6851522969854,231.51632455906991,32.21449739443075,18.41228190696873,355.0,welded,1.2876529564589871,1,-11.782255172729492,False,0,13.0,100.0,welded
11,-0.11439318,-0.38512418,-0.3208394,0.5058918,-0.44439557,-0.33038154,0.9093460440635681,632.7906977429938,222.28863559278406,31.39084665038324,19.494542353695774,460.0,rolled,1.0674629419732538,1,24.41365623474121,False,0,13.0,100.0,welded
12,0.016543083,-0.43716672,-0.14486063,0.22732015,-1.0,-0.37520942,1.1852550506591797,633.4796133481051,212.09369513416772,31.02889448888736,19.96786523587721,355.0,rolled,1.2964344050819132,1,-14.87745189666748,False,0,13.0,100.0,welded
13,1.0,0.957313,0.52531034,-0.00782232,0.27097708,-0.9106614,1.759316086769104,673.9244470935472,233.77597943880698,32.30365989310386,19.952046614554572,550.0,rolled,0.8641221855432198,1,22.21338653564453,False,0,13.0,100.0,welded
14,-1.0,-0.16865909,0.15074164,-0.5136688,-1.0,0.73068434,1.6878756284713745,634.7274870271581,230.07386219223355,32.65817672807302,18.945333890408754,355.0,welded,1.2830907286990574,1,-10.797581672668457,False,0,13.0,100.0,welded
15,-0.10840727,-0.37195322,-0.5632504,0.3762493,-0.36906603,-0.33205336,0.9248703122138977,630.6180062550872,222.17790300841264,31.377081753975254,19.658473027564693,460.0,rolled,1.075094570908956,1,23.964664459228516,False,0,13.0,100.0,welded
16,0.18254566,-0.4064276,-0.1934694,0.14773978,-1.0,-0.4574856,1.2112212181091309,637.2964929408931,213.85111027690144,30.95239365141527,19.928728190832576,355.0,rolled,1.277528991979285,1,-10.240348815917969,False,0,13.0,100.0,welded
17,0.93782544,0.7637366,0.5133555,-0.13029866,0.08870119,-0.8170616,1.5552425384521484,670.3432146646205,228.92196849146322,32.03775868043773,19.6991575634557,550.0,rolled,0.8969663420324172,1,55.44498062133789,False,0,13.0,100.0,welded
18,-1.0,-0.13303447,0.2938387,-0.30829477,-1.0,0.7086879,1.6435703039169312,636.4701804893832,226.3984510918209,32.634951179370546,19.177013594189475,355.0,welded,1.301576701055737,1,-15.775595664978027,False,0,13.0,100.0,welded
19,-0.072479434,-0.0973138,-0.5435873,0.56416196,-0.098078884,-0.45669898,0.9201535582542419,634.1145988839488,224.6273400087902,31.574955891713763,20.093776792565176,500.0,rolled,1.0431403805302646,1,32.41657638549805,True,1,13.0,100.0,welded
20,0.16741192,-0.11684916,0.3698423,0.24332793,-1.0,-0.022234516,1.1127294301986694,639.3256239541183,222.5905305415022,32.265679992637004,20.472479796879483,355.0,rolled,1.1694311315468808,1,10.451789855957031,False,0,13.0,100.0,welded
21,0.32732072,-0.70142645,0.13561857,-0.65854836,-1.0,0.20351043,1.4465935230255127,649.0674728032619,210.8998966132048,32.5078600102434,19.492480922017247,355.0,welded,1.3881138727308588,1,-41.163421630859375,False,0,13.0,100.0,welded
22,0.159634,0.9634246,-0.6287437,0.7937443,0.038176153,-0.86736786,1.6531192064285278,653.6034259699364,226.23013590220555,31.43592591441297,20.620181509885004,550.0,rolled,0.9639372685579691,1,98.36576843261719,True,1,13.0,100.0,welded
23,-0.72873604,-0.017329521,0.12332743,-0.43812346,-1.0,0.5882764,1.4438101053237915,633.8603615820217,225.9672187544004,31.63639860803951,20.026695026602553,355.0,welded,1.3297012858001207,1,-23.545886993408203,False,0,13.0,100.0,welded
24,0.053413384,-0.044374533,-0.58415854,0.5513295,0.010071349,-0.42479613,0.9113619923591614,635.2385891998304,225.3260199447159,30.73201464028165,20.737993904259287,550.0,rolled,1.0481027779550234,1,28.752933502197266,True,1,13.0,100.0,welded
25,0.17943206,0.25372383,0.4635939,-0.20159937,-1.0,0.016724737,1.1629328727722168,639.6445734578042,228.81494914986115,31.415032128655668,20.490478585505365,355.0,welded,1.294915765894048,1,-14.862205505371094,False,0,13.0,100.0,welded
26,-0.09123737,-0.069738604,-0.71187925,0.041247264,0.23552053,-0.4493028,0.8826121091842651,637.5136082647983,227.9028020823147,30.417421267103443,20.53864770727208,550.0,rolled,1.0389579884049778,1,37.900245666503906,True,1,13.0,100.0,welded
27,0.26763177,0.066972725,0.46827704,-0.30026746,-1.0,-0.040146522,1.1777808666229248,643.4587154293515,228.7359229806395,31.041552862773234,20.205144273675526,355.0,rolled,1.1613737322894737,1,11.847155570983887,False,0,13.0,100.0,welded
28,0.46602896,-1.0,0.38798475,-0.45380676,-1.0,0.09260363,1.606932282447815,653.3080790024109,216.9005138542753,31.53354839303718,19.72559169094763,355.0,welded,1.3571579481047165,1,-31.583148956298828,False,0,13.0,100.0,welded
29,-0.05564768,0.6327119,-0.6118138,0.4847002,0.02521171,-0.77671456,1.2714529037475586,652.1881343431029,224.03140051654498,30.794760073929385,20.21333657042834,550.0,rolled,0.993660195497591,1,84.3274154663086,True,1,13.0,100.0,welded
30,-0.30679035,-0.0050964877,0.4299263,-0.1704642,-1.0,0.36953717,1.2019145488739014,646.2999391480059,223.97662335697163,31.28985192783662,20.049751485194253,355.0,welded,1.3236208465744854,1,-22.187429428100586,False,0,13.0,100.0,welded
31,-0.1629765,0.15606788,-0.51041305,0.48658383,0.24868758,-0.5326325,0.9453818202018738,643.310591279293,225.57969543771912,30.728125952800355,20.496002421892953,550.0,rolled,1.019090685140931,1,58.794551849365234,True,1,13.0,100.0,welded
32,0.005020432,0.02335564,0.4827258,-0.14368568,-1.0,0.17219053,1.1330887079238892,643.3988444431961,225.809611324897,31.2372702651559,20.36971134518646,355.0,welded,1.3141780586154093,1,-19.7257137298584,False,0,13.0,100.0,welded
33,-0.13043475,0.043431066,-0.5885822,0.31203717,0.24658827,-0.4985691,0.8786766529083252,641.1935337741959,226.22082255684518,30.6401870865944,20.633497996480813,550.0,rolled,1.0252024304277652,1,52.17061996459961,True,1,13.0,100.0,welded
34,0.10598927,0.07021826,0.49833786,-0.18972008,-1.0,0.08376914,1.143466591835022,642.9245619234232,226.86303736763423,31.128521561786368,20.478571551082588,355.0,welded,1.3096129565942112,1,-18.529640197753906,False,0,13.0,100.0,welded
35,-0.1265848,-0.012017466,-0.6042309,0.23319395,0.212554,-0.47155783,0.8385633230209351,640.9173687033094,226.7563265209156,30.553661946644194,20.663453669075285,550.0,rolled,1.025895234847813,1,51.446598052978516,True,1,13.0,100.0,welded
36,0.13576525,0.072534285,0.5143181,-0.22367038,-1.0,0.060794055,1.1584217548370361,643.0194936414954,227.38525500188487,31.031469427141396,20.490293351844947,355.0,welded,1.3085966595100575,1,-18.25409507751465,False,0,13.0,100.0,welded
37,-0.12660146,-0.032174684,-0.5953039,0.21390606,0.18880486,-0.4597899,0.815021276473999,641.0931949821016,227.11110563354296,30.488000285648223,20.653027253404762,550.0,rolled,1.025503895837116,1,51.8814582824707,True,1,13.0,100.0,welded
38,0.1420519,0.06551518,0.53117967,-0.23617832,-1.0,0.056954328,1.1686089038848877,643.2316368067471,227.6634123831883,30.96778130763708,20.475256456859352,355.0,welded,1.3083795599372914,1,-18.1903018951416,False,0,13.0,100.0,welded
39,-0.12768888,-0.039509453,-0.58385146,0.21067931,0.17735054,-0.45520154,0.8011213541030884,641.3163035357205,227.3315329700604,30.442314996659142,20.63326594424987,550.0,rolled,1.0250796376581381,1,52.34852981567383,True,1,13.0,100.0,welded
